item_id,sku,title,price,currency,image_url,image_count,eps_images,non_eps_images,all_eps,min_long_px,max_long_px,below_zoom_800,below_ideal,desc_html_len,desc_text_len,has_desc,is_group,variation_count,parent_image_count,child_image_count_total,status
256476123885,MCN-GADWNCLN10OZ-10OZ-HVAR,"GEAR AID Revivex Down Cleaner and Wash for Jackets and Sleeping Bags, 10 fl oz",19.99,USD,"https://i.ebayimg.com/images/g/5QcAAOSwvzpmF4nZ/s-l1600.jpg, 
https://i.ebayimg.com/images/g/s-4AAOSwpXpmF4ne/s-l1600.jpg, 
https://i.ebayimg.com/images/g/fb4AAOSwLMZmF4nb/s-l1600.jpg, 
https://i.ebayimg.com/images/g/UJEAAOSweZNmF4na/s-l1600.jpg",4,4,0,yes,1063,1500,no,yes,9377,6032,yes,no,0,4,0,OK
256476123930,SON-UTPEBS-3PC-123814I-GRY,"Universal Tool Professional Power Extension Socket Bits for Drills 3pc Set",9.99,USD,https://i.ebayimg.com/images/g/JXsAAOSwFHdmF4ln/s-l1600.jpg,1,1,0,yes,1000,1000,no,yes,8250,4903,yes,no,0,1,0,OK
256508250506,SON-AOSPROG100F-100F-ODGRN,"Survival Multi-Purpose Paracord Rope OD Green- 100 ft",12.99,USD,"https://i.ebayimg.com/images/g/HJcAAOSwQjFmPxkl/s-l1600.jpg, 
https://i.ebayimg.com/images/g/f04AAOSwPpZmPxkl/s-l1600.jpg, 
https://i.ebayimg.com/images/g/P-8AAOSwuRdmPxkk/s-l1600.jpg",3,3,0,yes,1600,1600,no,no,8991,5595,yes,no,0,3,0,OK
256508701414,SON-MINERMOSS-12X36GRY-HPNR,"SE GP-MT415-1GR 12” x 36” Grey Miner’s Moss (Sluice Box Matting)",21.99,USD,https://i.ebayimg.com/images/g/RN4AAOSwvtZmP79~/s-l1600.jpg,1,1,0,yes,1600,1600,no,no,9200,5820,yes,no,0,1,0,OK
256508701447,ASR-BFTOU-BUN-3PK-STD-SLVR,"ASR Outdoor Telescopic BBQ Fork 2 Prong Outdoor Cooking Utensil - 3 Pack",13.99,USD,"https://i.ebayimg.com/images/g/ST0AAOSw0vNmP7-r/s-l1600.jpg, 
https://i.ebayimg.com/images/g/P5EAAOSwht1mP7-r/s-l1600.jpg",2,2,0,yes,1000,1000,no,yes,8516,5165,yes,no,0,2,0,OK
256508701474,ASR-SO4BGMN-BUN-2PC-2PK-LG-BLCK,"Set of 4 Non-Stick BBQ Grill Mats Reusable Easy to Clean",15.99,USD,"https://i.ebayimg.com/images/g/07IAAOSwaKdmP7-O/s-l1600.jpg, 
https://i.ebayimg.com/images/g/6bkAAOSw5o5mP7-O/s-l1600.jpg",2,2,0,yes,1600,1600,no,no,8313,4954,yes,no,0,2,0,OK
256508701517,CHAINSAW-SHARPENING-BURR-3-16,"3/16"" File Chain Saw Blade Diamond Sharpening Burr Shank 120 Grit",9.99,USD,"https://i.ebayimg.com/images/g/NLoAAOSwaABmP79i/s-l1600.jpg, 
https://i.ebayimg.com/images/g/Nx0AAOSwZgZmP79i/s-l1600.jpg, 
https://i.ebayimg.com/images/g/TxUAAOSw8KBmP79i/s-l1600.jpg",3,3,0,yes,1600,1600,no,no,8319,4948,yes,no,0,3,0,OK
256509144716,KOL-FRUITVEGGIEPEELER-PARENT,"Universal Handy Helpers Fruit and Vegetable Peeler Dishwasher Safe (2 Colors)",9.99,USD,"https://s3.amazonaws.com/DOWS_products/1000x1000/home/gl326_green-main.jpg, 
https://s3.amazonaws.com/DOWS_products/1000x1000/home/gl326_red-main.jpg, 
https://s3.amazonaws.com/DOWS_products/1000x1000/home/gl326_red-detail.jpg, 
https://s3.amazonaws.com/DOWS_products/1000x1000/home/gl326_red-lifestyle.jpg, 
https://s3.amazonaws.com/DOWS_products/1000x1000/home/gl326_red-scale.jpg, 
https://s3.amazonaws.com/DOWS_products/1000x1000/home/gl326_red-package.jpg",6,0,6,no,,,no,no,8683,5343,yes,yes,2,0,6,OK
256509144739,SON-7SNFBT-STD-SLVR,"Sapphire Nail File Manicure Pedicure Tool Beauty and Personal Care",9.99,USD,"https://i.ebayimg.com/images/g/rtAAAOSwEclmQGfG/s-l1600.jpg, 
https://i.ebayimg.com/images/g/oh0AAOSwJPZmQGfG/s-l1600.jpg",2,2,0,yes,1000,1000,no,yes,8770,5427,yes,no,0,2,0,OK
256509144757,MCN-GATTMCFSTP-2PC-3X5-CLR-PARENT,"GEAR AID Tenacious Tape Patches Vinyl, Fabric Repair, Clear, 3"" x 5"" Patches",15.99,USD,"https://i.ebayimg.com/images/g/M8cAAOSw~cdmQGis/s-l1600.jpg, 
https://i.ebayimg.com/images/g/w-8AAOSwOc9mQGio/s-l1600.jpg, 
https://i.ebayimg.com/images/g/KrAAAOSwr7ZmQGio/s-l1600.jpg, 
https://i.ebayimg.com/images/g/o3gAAOSwJPZmQGio/s-l1600.jpg, 
https://i.ebayimg.com/images/g/3jMAAOSwC~pmQGio/s-l1600.jpg, 
https://i.ebayimg.com/images/g/rp8AAOSwY~5mQGio/s-l1600.jpg, 
https://i.ebayimg.com/images/g/gt4AAOSwtTFmQGio/s-l1600.jpg, 
https://i.ebayimg.com/images/g/4bQAAOSwOLBmQGio/s-l1600.jpg",8,8,0,yes,1500,1600,no,yes,9533,6158,yes,yes,2,8,0,OK
