item_id,position,url,width,height,host,is_eps
256508244500,9,https://i.ebayimg.com/images/g/630AAOSwkspmPxY-/s-l1600.jpg,1600,1600,i.ebayimg.com,yes
256508244506,0,https://i.ebayimg.com/images/g/OA0AAeSw469o5UPZ/s-l1600.jpg,500,500,i.ebayimg.com,yes
256508244508,0,https://i.ebayimg.com/images/g/87gAAOSwxbdmPxbK/s-l1600.jpg,1600,1600,i.ebayimg.com,yes
256508244508,1,https://i.ebayimg.com/images/g/p9gAAOSwMK1mPxbK/s-l1600.jpg,1600,1600,i.ebayimg.com,yes
256508244508,2,https://i.ebayimg.com/images/g/qowAAOSw8DRmPxbK/s-l1600.jpg,1600,1600,i.ebayimg.com,yes
256508244508,3,https://i.ebayimg.com/images/g/L4kAAOSwTTxmPxbK/s-l1600.jpg,1600,1600,i.ebayimg.com,yes
256508244508,4,https://i.ebayimg.com/images/g/iE8AAOSwQPJmPxbK/s-l1600.jpg,1600,1600,i.ebayimg.com,yes
256508244509,0,https://i.ebayimg.com/images/g/LBgAAOSwsKNmPxb1/s-l1600.jpg,1600,1600,i.ebayimg.com,yes
256508244509,1,https://i.ebayimg.com/images/g/ROYAAOSw44VmPxb1/s-l1600.jpg,1600,1600,i.ebayimg.com,yes
256508244509,2,https://i.ebayimg.com/images/g/BqEAAOSwNPNmPxb1/s-l1600.jpg,1600,1600,i.ebayimg.com,yes
256508244509,3,https://i.ebayimg.com/images/g/~3cAAOSwSHVmPxb1/s-l1600.jpg,1600,1600,i.ebayimg.com,yes
256508244509,4,https://i.ebayimg.com/images/g/U3kAAOSwWddmPxb1/s-l1600.jpg,1600,1600,i.ebayimg.com,yes
256508244509,5,https://i.ebayimg.com/images/g/ydgAAOSwHl1mPxb1/s-l1600.jpg,1600,1600,i.ebayimg.com,yes
256508244543,0,https://i.ebayimg.com/images/g/7jAAAOSwlcFmPxZK/s-l1600.jpg,1600,1600,i.ebayimg.com,yes
256508244543,1,https://i.ebayimg.com/images/g/7Z0AAOSwZkxmPxZK/s-l1600.jpg,1600,1600,i.ebayimg.com,yes
