category_id,category_path,listing_count,upc_support,ean_support,isbn_support
29509,"Home & Garden|Household Supplies & Cleaning|Cleaning Tools|Cleaning Towels & Cloths",2,ENABLED,DISABLED,DISABLED
183235,"Crafts|Scrapbooking & Paper Crafts|Scrapbooking|Scrapbooking Tools|Paper Trimmers",2,ENABLED,DISABLED,DISABLED
183080,"Crafts|Art Supplies|Collage Supplies",2,ENABLED,DISABLED,DISABLED
116496,"Crafts|Sculpting, Molding & Ceramics|Ceramics & Pottery|Pottery Tools & Sets",2,ENABLED,DISABLED,DISABLED
177895,"Sporting Goods|Tactical & Duty Gear|Tactical Patches",2,ENABLED,DISABLED,DISABLED
183161,"Crafts|Home Arts & Crafts|Woodworking|Other Woodworking Supplies",2,ENABLED,DISABLED,DISABLED
20164,"Business & Industrial|Office|Office Supplies|Paper Products|Note Pads",2,ENABLED,DISABLED,DISABLED
22700,"Sporting Goods|Hunting|Gun Smithing & Maintenance|Cleaning Supplies",2,ENABLED,DISABLED,DISABLED
75035,"Health & Beauty|Health Care|First Aid|Kits & Bags",2,ENABLED,DISABLED,DISABLED
36109,"Sporting Goods|Camping & Hiking|Hiking Backpacks|Other Camping & Hiking Backpacks",2,ENABLED,DISABLED,DISABLED
71161,"Sporting Goods|Water Sports|Scuba & Snorkeling|Masks",2,ENABLED,DISABLED,DISABLED
183319,"Crafts|Sculpting, Molding & Ceramics|Other Sculpting Supplies",2,ENABLED,DISABLED,DISABLED
29577,"Sporting Goods|Water Sports|Scuba & Snorkeling|Knives",2,ENABLED,DISABLED,DISABLED
16037,"Sporting Goods|Camping & Hiking|Flashlights, Lanterns & Lights|Flashlights",2,ENABLED,DISABLED,DISABLED
50380,"Home & Garden|Tools & Workshop Equipment|Hand Tools|Punches",2,ENABLED,DISABLED,DISABLED
106984,"Sporting Goods|Camping & Hiking|Flashlights, Lanterns & Lights|Headlamps",2,ENABLED,DISABLED,DISABLED
7306,"Sporting Goods|Hunting|Knives & Tools|Other Hunting Knives & Tools",2,ENABLED,DISABLED,DISABLED
75564,"Crafts|Multi-Purpose Craft Supplies|Other Multi-Purpose Crafting",2,ENABLED,DISABLED,DISABLED
19172,"Toys & Hobbies|Preschool Toys & Pretend Play|Dress-Up, Costumes",2,ENABLED,DISABLED,DISABLED
179793,"Sporting Goods|Boxing, Martial Arts & MMA|Martial Arts Weapons|Knives",2,ENABLED,DISABLED,DISABLED
181042,"Home & Garden|Yard, Garden & Outdoor Living|Weed & Pest Control|Insect & Grub Control|Swatters",2,ENABLED,DISABLED,DISABLED
75235,"Sporting Goods|Camping & Hiking|Camping Knives & Tools|Camping Knives",2,ENABLED,DISABLED,DISABLED
106124,"Clothing, Shoes & Accessories|Specialty|Clothing & Shoe Care|Shoe Care & Repair|Shoe Repair",1,ENABLED,DISABLED,DISABLED
177911,"Sporting Goods|Hunting|Blinds & Tree Stands|Camouflage Materials",1,ENABLED,DISABLED,DISABLED
259189,"Home & Garden|Home Improvement|Building & Hardware|Paint, Stain & Varnish|Sealants & Waterproofers",1,ENABLED,DISABLED,DISABLED
183150,"Crafts|Home Arts & Crafts|Woodworking|Wood Burning Pens",1,ENABLED,DISABLED,DISABLED
26261,"Business & Industrial|Other Business & Industrial",1,ENABLED,DISABLED,DISABLED
259621,"Home & Garden|Household Supplies & Cleaning|Cleaning Products",1,ENABLED,DISABLED,DISABLED
75669,"Home & Garden|Yard, Garden & Outdoor Living|Garden Clothing & Protective Gear|Garden Kneelers, Cushions & Seats",1,ENABLED,DISABLED,DISABLED
185171,"Business & Industrial|Healthcare, Lab & Dental|Handpieces & Instruments|Other Handpieces & Instruments",1,ENABLED,DISABLED,DISABLED
40587,"Home & Garden|Bath|Bathroom Accessories|Towels & Washcloths",1,ENABLED,DISABLED,DISABLED
20761,"Home & Garden|Tools & Workshop Equipment|Hand Tools|Clamps & Vises",1,ENABLED,DISABLED,DISABLED
46413,"Home & Garden|Tools & Workshop Equipment|Power Tools|Welding & Soldering Tools",1,ENABLED,DISABLED,DISABLED
43220,"Collectibles|Knives, Swords & Blades|Blade Parts, Supplies & Accs|Blade Sharpeners & Stones",1,DISABLED,DISABLED,DISABLED
181076,"Home & Garden|Other Home & Garden",1,ENABLED,DISABLED,DISABLED
87100,"Sporting Goods|Camping & Hiking|Outdoor Sleeping Gear|Sleeping Bags",1,ENABLED,DISABLED,DISABLED
183100,"Crafts|Art Supplies|Painting Supplies|Painting Tools & Accessories|Painting Stencils",1,ENABLED,DISABLED,DISABLED
75237,"Sporting Goods|Camping & Hiking|Camping Knives & Tools|Camping Saws",1,ENABLED,DISABLED,DISABLED
39478,"Coins & Paper Money|Publications & Supplies|Magnifiers & Loupes",1,ENABLED,DISABLED,DISABLED
29576,"Sporting Goods|Water Sports|Scuba & Snorkeling|Gear Bags",1,ENABLED,DISABLED,DISABLED
183191,"Crafts|Needlecrafts & Yarn|Embroidery & Cross Stitch|Hand Embroidery Tools & Accs|Embroidery Scissors",1,ENABLED,DISABLED,DISABLED
39665,"Collectibles|Historical Memorabilia|Police|Handcuffs & Keys",1,DISABLED,DISABLED,DISABLED
178055,"Home & Garden|Kitchen, Dining & Bar|Kitchen Tools & Gadgets|Funnels",1,ENABLED,DISABLED,DISABLED
36114,"Sporting Goods|Camping & Hiking|Outdoor Sleeping Gear|Air Mattresses & Sleeping Pads",1,ENABLED,DISABLED,DISABLED
104229,"Business & Industrial|Healthcare, Lab & Dental|Handpieces & Instruments|Scalpels, Surgical Blades & Handles",1,ENABLED,DISABLED,DISABLED
178983,"Home & Garden|Yard, Garden & Outdoor Living|Garden Hand Tools & Equipment|Shovels",1,ENABLED,DISABLED,DISABLED
85915,"Home & Garden|Yard, Garden & Outdoor Living|Outdoor Power Equipment|Chainsaw Parts",1,ENABLED,DISABLED,DISABLED
20641,"Home & Garden|Kitchen, Dining & Bar|Kitchen Tools & Gadgets|Peelers & Slicers",1,ENABLED,DISABLED,DISABLED
178960,"Health & Beauty|Nail Care, Manicure & Pedicure|Nail Care Tools|Electric Files & Tools",1,ENABLED,DISABLED,DISABLED
158951,"Sporting Goods|Fitness, Running & Yoga|Clothing & Accessories|Safety & Reflective Gear",1,ENABLED,DISABLED,DISABLED
