item_id,sku,varied_by,title,upc,ean,isbn,gtin,missing_gtin,custom_upc_specific,upc_duplicated
256510047702,MCN-PCSTUCCS-550-100-PARENT,,"GEAR AID 550 Paracord and Carabiner 7 Strand Utility Camping, Reflective, 100 ft",,,,,YES,,
256510047702,MCN-PCSTUCCS-550-BLCK-R-100FT,Color,"GEAR AID 550 Paracord and Carabiner 7 Strand Utility Camping, Reflective, 100 ft",021563806922,,,021563806922,,,
256510047702,MCN-PCSTUCCS-550-CAMO-100FT,Color,"GEAR AID 550 Paracord and Carabiner 7 Strand Utility Camping, Reflective, 100 ft",021563806908,,,021563806908,,,
256510047702,MCN-PCSTUCCS-550-ORNG-R-100FT,Color,"GEAR AID 550 Paracord and Carabiner 7 Strand Utility Camping, Reflective, 100 ft",021563806915,,,021563806915,,,
256510047704,MCN-WASH-IN-10-OZ-AMZN,,"GEAR AID Wash-in Water Repellent, Concentrated Formula for Outerwear, 10 fl oz",021563362435,,,021563362435,,,
256510047719,SON-SHOCKCORD-30FT,,"ASR Outdoor Elastic Shock Cord Natural Rubber 30 Feet 3mm Diameter - Black",855569007577,,,855569007577,,,
256510047916,MCN-PCSTUCCS-550-30-PARENT,,"GEAR AID 550 Paracord and Carabiner 7 Strand Utility, Camping, Reflective, 30 ft",,,,,YES,,
256510047916,MCN-PCSTUCCS-550-BLCK-R-30FT,Color,"GEAR AID 550 Paracord and Carabiner 7 Strand Utility, Camping, Reflective, 30 ft",021563806731,,,021563806731,,,
256510047916,MCN-PCSTUCCS-550-CAMO-30FT,Color,"GEAR AID 550 Paracord and Carabiner 7 Strand Utility, Camping, Reflective, 30 ft",021563806700,,,021563806700,,,
256510047916,MCN-PCSTUCCS-550-ORNG-R-30FT,Color,"GEAR AID 550 Paracord and Carabiner 7 Strand Utility, Camping, Reflective, 30 ft",021563806724,,,021563806724,,,
256510047921,SON-ICE-TEMPERED-SCISSOR-SP102,,"Universal Tool Ice Tempered S Steel Salon Hairdressing Barber Scissor 5.5 inch",060886496809,,,060886496809,,,
256510047923,SON-RINGSIZESTICK-10IN,,"SE JT114RS 10"" Aluminum Ring Stick",706569004953,,,706569004953,,,
256510047925,SON-155BSSMRWZSS-155E-BLCK,,"Recurved Blade Machete with Zigzag Serrated Spine and Paracord Handle 15""",,,,,YES,,
256510047926,4SN-BEAUTYTOOLKIT-9PC-BUN,,"ToolTreaux Beauty Tool Kit Nail Clipper Brush Eyelash Curler Pore Cleaner - 9pc",810058484611,,,810058484611,,,
256510047928,MCN-MBMPRK-STD-PARENT,,"GEAR AID Tenacious Tape Mesh Patches for Tent and Bug Screen Repair, 3"" Rounds",,,,,YES,,
256510047928,MCN-MBMPRK-STD-AMZN-2PK,Style,"GEAR AID Tenacious Tape Mesh Patches for Tent and Bug Screen Repair, 3"" Rounds",0021563106657,,,0021563106657,,,
256510047928,MCN-MBMPRK-STD-BLCK-AMZN1,Style,"GEAR AID Tenacious Tape Mesh Patches for Tent and Bug Screen Repair, 3"" Rounds",0021563106657,,,0021563106657,,,
256510047937,MET-WETSUITSHAMPOO-AMZN-HPN,,"GEAR AID Wetsuit Cleaner and Conditioner for Neoprene, Concentrated, 10 fl oz",021563301403,,,021563301403,,,
