product_id,handle,product_title,status,variant_id,variant_title,sku,current_barcode,gtin_state
8571407565100,3-in-1-black-mini-folding-serrated-edge-shovel-pick-and-saw-gold-prospecting-equipment-16-inches,"3 in 1 Black Mini Folding Serrated Edge Shovel Pick and Saw Gold Prospecting Equipment, 16 Inches",ACTIVE,46342558286124,"Default Title",SON-FOLDING-SHOVEL-87950MS,060886181682,has
8644958716204,19pc-complete-fine-gold-recovery-kit-gold-prospecting-equipment-with-mini-funnel,"19pc Complete Fine Gold Recovery Kit Gold Prospecting Equipment with Mini Funnel",ACTIVE,46740739653932,"Default Title",SON-ASRO-GLDPNACCKIT-19PC-BUN,810131702984,has
8791674552620,14pc-portable-gold-panning-kit-with-stackable-sifter-and-drawstring-backpack-gold-prospecting-equipment,"14pc Portable Gold Panning Kit with Stackable Plastic Sifting Screens, Drawstring Backpack and Gold Prospecting Equipment (3 Sizes)",ACTIVE,47931188707628,"1/2 Inch",SON-SIFTCLASSKIT-14PC-BUN,810131709815,has
8791674552620,14pc-portable-gold-panning-kit-with-stackable-sifter-and-drawstring-backpack-gold-prospecting-equipment,"14pc Portable Gold Panning Kit with Stackable Plastic Sifting Screens, Drawstring Backpack and Gold Prospecting Equipment (3 Sizes)",ACTIVE,47931188805932,"1/4 Inch",SON-14INCHSIFTCLASSKIT-14PC-BUN,810131703158,has
8791674552620,14pc-portable-gold-panning-kit-with-stackable-sifter-and-drawstring-backpack-gold-prospecting-equipment,"14pc Portable Gold Panning Kit with Stackable Plastic Sifting Screens, Drawstring Backpack and Gold Prospecting Equipment (3 Sizes)",ACTIVE,47931188773164,"1/8 Inch",SON-18INCHSIFTCLASSKIT-14PC-BUN,810131700225,has
8791693558060,1-2-inch-mesh-plastic-stackable-classifier-sifting-screen-gold-prospecting-equipment-green,"Heavy Duty Stackable Plastic Sifting Screens Gold Prospecting Equipment Rock Hounding (3 Sizes)",ACTIVE,47837419798828,"1/2""",SON-HALFINCHSIFTCLASS-GRN,810131701505,has
8791693558060,1-2-inch-mesh-plastic-stackable-classifier-sifting-screen-gold-prospecting-equipment-green,"Heavy Duty Stackable Plastic Sifting Screens Gold Prospecting Equipment Rock Hounding (3 Sizes)",ACTIVE,47837419733292,"1/4""",SON-14INCHSIFTCLASS-GRN,810131709587,has
8791693558060,1-2-inch-mesh-plastic-stackable-classifier-sifting-screen-gold-prospecting-equipment-green,"Heavy Duty Stackable Plastic Sifting Screens Gold Prospecting Equipment Rock Hounding (3 Sizes)",ACTIVE,47837419766060,"1/8""",SON-18INCHSIFTCLASS-GRN,810131703967,has
8791693558060,1-2-inch-mesh-plastic-stackable-classifier-sifting-screen-gold-prospecting-equipment-green,"Heavy Duty Stackable Plastic Sifting Screens Gold Prospecting Equipment Rock Hounding (3 Sizes)",ACTIVE,47856992911660,"3pc Set",SON-3PCPLASTICSIFTSET-GRN-BUN,810131708344,has
8875920785708,asr-outdoor-x-bobby-bo-assorted-paydirt-bags,"ASR Outdoor and Pan for Gold with Bobby Bo Guaranteed Gold Paydirt Bags (3oz, 1LB, 3LB, 10LB)",ACTIVE,47421057630508,3oz,DOY-GOLDPAYDIRT-3OZ,,MISSING
8875920785708,asr-outdoor-x-bobby-bo-assorted-paydirt-bags,"ASR Outdoor and Pan for Gold with Bobby Bo Guaranteed Gold Paydirt Bags (3oz, 1LB, 3LB, 10LB)",ACTIVE,48944173252908,1lb,DOY-GOLDPAYDIRT-1LB,,MISSING
