product_id,handle,product_title,product_type,variant_id,variant_title,sku,amazon upc,usurper upc,usurper:amazon_upc,BEST UPC,created via CA
8491384897836,asr-outdoor-7pc-starter-gold-panning-kit-beginner-prospecting-equipment-with-paydirt-3-colors,7pc Kids Starter Gold Panning Kit Beginner Prospecting Equipment with Paydirt (3 Colors),Gold Panning,45905790501164,Black,SON-7PCKIDSGOLDKIT-BLK-BUN,810058485359,810058485359,810058485359,810058485359,
9516421677356,9-inch-aircraft-grade-aluminum-camping-stakes-tent-pegs,9 Inch Aircraft Grade Aluminum Camping Stakes Tent Pegs,Survival/Camping,49370322141484,20-Pack,SON-ALUMTENTSTAKERD-915ATP-20PK-BUN,810058485366,810058485366,810058485366,810058485366,
8517884444972,50-inch-aluminum-folding-sluice-box-for-gold-prospecting-backpack-kit-3-colors,50 Inch Aluminum Folding Sluice Box Backpack Kit Gold Prospecting Equipment (4 Colors),Gold Panning,46030378139948,Green,SON-FOLDINGSLUICEBOXBACKPACK-BUN-GREEN,,810058485588,,810058485588,
10099832357164,wildlife-knife-collection-animal-head-fixed-blade-hunting-knife,Wild Icons Collector Fixed Blade Hunting Knife Series with Animal Head and Sheath (4 Styles),Survival/Camping,52031775539500,Howling Wolf,NPT-WOLFKNIFE-BLACK-2,810058485625,60886998853,810058485625,810058485625,
10252002165036,2-person-emergency-survival-shelter-lightweight-reflective-waterproof-tent,2 Person Emergency Survival Shelter Lightweight Reflective Waterproof Tent,Survival/Camping,52745697165612,Default Title,KOL-ASRO-EMTENT-SLVR,810058485663,810058485663,810058485663,810058485663,
9516314722604,micro-edc-ceramic-striker-survival-fire-starter-create-sparks,Micro EDC Ceramic Striker Survival Gear Fire Starter (2 Colors),Survival/Camping,52797242442028,White / 2pk,SHM-CERAMICMICROSTRIKER-2PKWHT,810058485755,810058485755,,810058485755,
8491384897836,asr-outdoor-7pc-starter-gold-panning-kit-beginner-prospecting-equipment-with-paydirt-3-colors,7pc Kids Starter Gold Panning Kit Beginner Prospecting Equipment with Paydirt (3 Colors),Gold Panning,45905790468396,Green,SON-7PCKIDSGOLDKIT-GRN-BUN,810058485823,810058485823,810058485823,810058485823,
9516314722604,micro-edc-ceramic-striker-survival-fire-starter-create-sparks,Micro EDC Ceramic Striker Survival Gear Fire Starter (2 Colors),Survival/Camping,52797242409260,Black / 2pk,SHM-CERAMICMICROSTRIKER-2PKBLK,810058486028,810058486028,,810058486028,
10049578107180,serrated-digger-beach-combing-metal-detector-accessories-backpack-kit-22-piece,"Serrated Digger Beach Combing Metal Detector Accessories Backpack Kit, 22 Piece",Metal Detecting,51717019500844,Default Title,SON-BEACHDIGGER-22PC-BUN,810058486196,810058486196,810058486196,810058486196,
8502674391340,13pc-gold-panning-backpack-kit-collapsible-bucket,"13pc Portable Gold Panning Kit with Collapsible Bucket, Mini Aluminum Sluice Box and 30L Backpack (4 Colors)",Gold Panning,51582244290860,Green,SON-13PCGOLDKIT-BUN,,810058486219,810058486219,810058486219,
8521725116716,7pc-classic-field-gold-panning-kit-with-dual-riffle-gold-pans-2-colors,7pc Classic Field Beginner Gold Panning Kit with Dual Riffle Gold Pans (2 Colors),Gold Panning,46059353702700,Green,SON-GRNGKIT2020-7PC-2,810058486646,850549505876,810058486646,810058486646,
9516465619244,southwest-navajo-style-mens-socks-1-pair-assorted-colors-one-size-fits-most,"Southwest Navajo Style Mens Socks, 1 Pair, Assorted Colors, One Size Fits Most",Survival/Camping,51582212636972,Navajo Green,SVT-SOUTHWESTSOCKS-0113-GRY,810058487179,810058487179,,810058487179,
10099746996524,13-inch-wildlife-collectors-hunting-knife-with-decorative-scabbard-sleeve-and-animal-head-many-styles,"Wildlife Collectors Hunting Knife with Decorative Scabbard, Sleeve and Animal Head (15 Styles)",Survival/Camping,52031488721196,American Flag Eagle,NPT-HUNTKNF-AMEAG-AOVAR,810058487285,810058487285,810058487285,810058487285,
10099850772780,non-metallic-covert-zirconia-ceramic-razor-blade-wear-resistant-and-non-dulling,"Non-Metallic Zirconia Ceramic Mini Survival Razor Blade, Wear-Resistant and Non-Dulling",Survival/Camping,52031811813676,2 Pack,SHM-ATNMCRB-SML-BLCK-2PK,,810058487704,,810058487704,
10165513879852,10-inch-bottom-dual-riffle-gold-pan-gold-prospecting-equipment-green,"10 Inch Bottom Dual Riffle Gold Pan Gold Prospecting Equipment, Green",Gold Panning,52434487738668,Default Title,SON-BTMRFLGP10IN-GRN,810058488091,810058488091,,810058488091,
10253903167788,natural-citronella-mosquito-repellent-bracelet-wrist-band-4-colors,Natural Citronella Mosquito Repellent Bracelet Wrist Band (4 Colors),Survival/Camping,52750554726700,Blue,KOL-BUGBRACELET-HZ110-BLU,!not on amz!,810058488251,810058488251,810058488251,
9516465619244,southwest-navajo-style-mens-socks-1-pair-assorted-colors-one-size-fits-most,"Southwest Navajo Style Mens Socks, 1 Pair, Assorted Colors, One Size Fits Most",Survival/Camping,51582212571436,Navajo Blue,SVT-SOUTHWESTSOCKS-0113-BLU,810058488381,810058488381,,810058488381,
10095730983212,compact-50-lumens-mini-zipper-light-with-keychain-camping-hiking-edc-survival-gear,"Compact 50 Lumens Mini Zipper Light with Keychain, Camping Hiking EDC Survival Gear",Survival/Camping,52008316240172,Default Title,SON-ZIPPERLIGHT-FL131ZL,810058488787,810058488787,810058488787,810058488787,
9147232583980,asr-outdoor-1-4-classifier-screen-set-with-10l-collapsible-bucket-gold-panning-kit,Classifier Screen with 10L Collapsible Silicone Bucket Gold Prospecting Equipment,Gold Panning,52712754839852,1/4 Classifier Screen & Bucket,SON-ASRO-BUCKETCLASSIFER-7PC-BUN,810058489227,810058489227,,810058489227,
