handle,title,has_hosted_video,has_external_video,has_videoobject_markup,hosted_video_url,hosted_preview,hosted_duration_ms,external_host,external_url,video_alt,url
prospecting-sand-scoop-plastic-12-5-inch-trowel,"Large Gold Panning Prospector's Sand Scoop Hand Trowel (4 Colors)",0,0,,,,,,,,https://asroutdoor.com/products/prospecting-sand-scoop-plastic-12-5-inch-trowel
8-5-inch-large-plastic-sand-scoop-for-metal-detector-treasure-hunting,"8.5 inch Large Plastic Sand Scoop for Metal Detector Treasure Hunting (3 Colors)",0,0,,,,,,,,https://asroutdoor.com/products/8-5-inch-large-plastic-sand-scoop-for-metal-detector-treasure-hunting
asr-outdoor-16pc-beginner-geology-rock-hounding-kit-with-mining-tools-and-carry-bag,"16pc Beginner Geology Rock Hounding Kit with Mining Tools and Tool Bag",0,0,,,,,,,,https://asroutdoor.com/products/asr-outdoor-16pc-beginner-geology-rock-hounding-kit-with-mining-tools-and-carry-bag
5-plastic-heavy-duty-gold-snifter-snuffer-bottle-squeeze-nozzle-multi-packs,"3oz Plastic Heavy Duty Gold Snifter Bottle with Squeeze Nozzle (Multi-Packs)",0,0,,,,,,,,https://asroutdoor.com/products/5-plastic-heavy-duty-gold-snifter-snuffer-bottle-squeeze-nozzle-multi-packs
mini-sluice-box-with-3-5-gallon-bucket-gold-panning-kit-20pc,"20pc Mini Pocket Sluice Box with 3.5 Gallon Bucket Gold Panning Kit (2 Styles)",0,0,,,,,,,,https://asroutdoor.com/products/mini-sluice-box-with-3-5-gallon-bucket-gold-panning-kit-20pc
13pc-gold-panning-backpack-kit-collapsible-bucket,"13pc Portable Gold Panning Kit with Collapsible Bucket, Mini Aluminum Sluice Box and 30L Backpack (4 Colors)",0,0,,,,,,,,https://asroutdoor.com/products/13pc-gold-panning-backpack-kit-collapsible-bucket
10pc-gold-panning-starter-set-kit-gold-rush-prospecting-tools,"10pc Beginner Gold Panning Kit Gold Prospecting Equipment (3 Colors)",0,0,,,,,,,,https://asroutdoor.com/products/10pc-gold-panning-starter-set-kit-gold-rush-prospecting-tools
4x-magnification-magnifying-tweezers-gold-panning-accessory,"4x Magnification Steel Magnifying Tweezers Gold Prospecting Equipment, 1 Pair",0,0,,,,,,,,https://asroutdoor.com/products/4x-magnification-magnifying-tweezers-gold-panning-accessory
10-inch-single-riffle-standard-gold-pan-multiple-colors,"10 Inch Traditional Single Riffle Standard Gold Pan (3 Colors)",0,0,,,,,,,,https://asroutdoor.com/products/10-inch-single-riffle-standard-gold-pan-multiple-colors
14-inch-ridge-riffle-gold-pan-with-water-guide-2-colors,"14 Inch Traditional Large Single Ridge Riffle Finishing Gold Pan with Water Guide (2 Colors)",0,0,,,,,,,,https://asroutdoor.com/products/14-inch-ridge-riffle-gold-pan-with-water-guide-2-colors
gold-panning-precision-plastic-dropper-pipette-5-5-inch-3ml-multiple-pack-sizes,"3mL Gold Panning Precision Plastic Dropper Pipettes 5.5 Inch (Multiple Pack Sizes)",0,0,,,,,,,,https://asroutdoor.com/products/gold-panning-precision-plastic-dropper-pipette-5-5-inch-3ml-multiple-pack-sizes
50-inch-aluminum-folding-sluice-box-for-gold-prospecting-backpack-kit-3-colors,"50 Inch Aluminum Folding Sluice Box Backpack Kit Gold Prospecting Equipment (4 Colors)",0,0,,,,,,,,https://asroutdoor.com/products/50-inch-aluminum-folding-sluice-box-for-gold-prospecting-backpack-kit-3-colors
asr-outdoor-black-drawstring-backpack-gym-bag-hiking-gear-20-x-16-inches,"ASR Outdoor Black Drawstring Backpack Gym Bag Hiking Gear, 20 x 16 Inches",0,0,,,,,,,,https://asroutdoor.com/products/asr-outdoor-black-drawstring-backpack-gym-bag-hiking-gear-20-x-16-inches
asr-outdoor-30l-heavy-stitch-gold-panning-backpack-camping-canvas-rucksack-3-colors,"30L Heavy Stitch Gold Panning Backpack Camping Gear Canvas Rucksack (4 Colors)",0,0,,,,,,,,https://asroutdoor.com/products/asr-outdoor-30l-heavy-stitch-gold-panning-backpack-camping-canvas-rucksack-3-colors
7pc-classic-field-gold-panning-kit-with-dual-riffle-gold-pans-2-colors,"7pc Classic Field Beginner Gold Panning Kit with Dual Riffle Gold Pans (2 Colors)",0,0,,,,,,,,https://asroutdoor.com/products/7pc-classic-field-gold-panning-kit-with-dual-riffle-gold-pans-2-colors
4pc-dual-riffle-gold-pan-set-gold-prospecting-equipment-2-colors,"4pc Dual Riffle Gold Pan Set Gold Prospecting Equipment (2 Colors)",0,0,,,,,,,,https://asroutdoor.com/products/4pc-dual-riffle-gold-pan-set-gold-prospecting-equipment-2-colors
14pc-finishing-gold-prospecting-equipment-gold-panning-kit-black,"14pc Beginner Finishing Gold Prospecting Equipment Gold Panning Kit, Black",0,0,,,,,,,,https://asroutdoor.com/products/14pc-finishing-gold-prospecting-equipment-gold-panning-kit-black
asr-outdoor-complete-gold-panning-kit-prospecting-equipment-with-classifier-screens-dual-riffle-gold-pans-11pc,"11pc Complete Gold Panning Kit with Classifier Screens, Gold Pans and Prospecting Tools, Green",0,0,,,,,,,,https://asroutdoor.com/products/asr-outdoor-complete-gold-panning-kit-prospecting-equipment-with-classifier-screens-dual-riffle-gold-pans-11pc
gold-panning-portable-compact-magnetic-pickup-tool-with-quick-release-rubber-handle,"Magnetic Pick Up Tool - Gold Prospecting Black Sand Separator Magnet with Quick Release Handle (2 Sizes)",0,0,,,,,,,,https://asroutdoor.com/products/gold-panning-portable-compact-magnetic-pickup-tool-with-quick-release-rubber-handle
2-inch-precious-metal-testing-stone-for-gold-panning,"2 Inch Natural Testing Stone Prospecting Tools, Black",0,0,,,,,,,,https://asroutdoor.com/products/2-inch-precious-metal-testing-stone-for-gold-panning
19pc-ultimate-gold-panning-kit-with-classifier-screens-gold-pans-rock-pick,"19pc Ultimate Gold Panning Kit with Classifier Screens, Gold Pans, Rock Pick",0,0,,,,,,,,https://asroutdoor.com/products/19pc-ultimate-gold-panning-kit-with-classifier-screens-gold-pans-rock-pick
miners-moss-sluice-box-matting-for-gold-prospecting-multiple-sizes-and-colors,"Miners Moss Sluice Box Matting for Gold Prospecting (Multiple Sizes and Colors)",0,0,,,,,,,,https://asroutdoor.com/products/miners-moss-sluice-box-matting-for-gold-prospecting-multiple-sizes-and-colors
metal-detector-2-in-1-plastic-black-scoop-with-steel-probe,"2 in 1 Metal Detector Sand Scoop with Built-in Steel Probe, Black",0,0,,,,,,,,https://asroutdoor.com/products/metal-detector-2-in-1-plastic-black-scoop-with-steel-probe
22pc-complete-finishing-gold-panning-kit-with-rock-pick-hammer-green,"22pc Complete Finishing Gold Panning Kit with Rock Pick Hammer, Green",0,0,,,,,,,,https://asroutdoor.com/products/22pc-complete-finishing-gold-panning-kit-with-rock-pick-hammer-green
27-compact-aluminum-sluice-box-with-flared-mouth-gold-prospecting,"27 Inch Compact Aluminum Sluice Box with Flared Mouth Gold Prospecting Equipment",0,0,,,,,,,,https://asroutdoor.com/products/27-compact-aluminum-sluice-box-with-flared-mouth-gold-prospecting
green-heavy-duty-plastic-gold-rush-gold-panning-hand-scoop-trowel,"Green Gold Rush Lightweight Hand Scoop Trowel Gold Prospecting Equipment",0,0,,,,,,,,https://asroutdoor.com/products/green-heavy-duty-plastic-gold-rush-gold-panning-hand-scoop-trowel
gold-prospecting-black-sand-5lb-magnetic-steel-pocket-separator-pen,"5lbs Magnetic Black Sand Steel Pocket Separator Pen Pick Up Tool",0,0,,,,,,,,https://asroutdoor.com/products/gold-prospecting-black-sand-5lb-magnetic-steel-pocket-separator-pen
gold-rush-prospecting-sand-scoop-beveled-riffle-edge-12-5-inch-green,"12.5 Inch Riffled Edge Prospector's Sand Scoop Gold Prospecting Equipment, Green",0,0,,,,,,,,https://asroutdoor.com/products/gold-rush-prospecting-sand-scoop-beveled-riffle-edge-12-5-inch-green
sluice-box-gold-panning-kit-with-1-2-classifier-prospecting-equipment-21pc,"21pc Folding 50 Inch Aluminum Sluice Box Gold Panning Kit with Gold Recovery Prospecting Tools",0,0,,,,,,,,https://asroutdoor.com/products/sluice-box-gold-panning-kit-with-1-2-classifier-prospecting-equipment-21pc
21pc-testing-and-finishing-gold-panning-kit-with-tool-box,"21pc Testing and Finishing Gold Panning Kit with Tool Box",0,0,,,,,,,,https://asroutdoor.com/products/21pc-testing-and-finishing-gold-panning-kit-with-tool-box
10l-collapsible-bucket-and-stand-gold-prospecting-equipment-6pc,"10L Collapsible Silicone Bucket Gold Prospecting Equipment",0,0,,,,,,,,https://asroutdoor.com/products/10l-collapsible-bucket-and-stand-gold-prospecting-equipment-6pc
3-5-or-5-gallon-white-heavy-duty-bucket-with-handle-gold-prospecting-equipment,"3.5 or 5 Gallon White Heavy Duty Bucket with Handle Gold Prospecting Equipment",0,0,,,,,,,,https://asroutdoor.com/products/3-5-or-5-gallon-white-heavy-duty-bucket-with-handle-gold-prospecting-equipment
4oz-plastic-heavy-duty-gold-snifter-snuffer-bottle-squeeze-nozzle-multi-packs,"4oz Gold Snifter Bottle Squeeze Snuffer for Fine Gold Recovery and Gold Panning (Assorted Pack Sizes)",0,0,,,,,,,,https://asroutdoor.com/products/4oz-plastic-heavy-duty-gold-snifter-snuffer-bottle-squeeze-nozzle-multi-packs
16pc-traditional-sluice-box-finishg-gold-panning-kit-with-classifier-screens-2-styles,"16pc Traditional Sluice Box Finishing Gold Panning Kit with Classifier Screens, Green",0,0,,,,,,,,https://asroutdoor.com/products/16pc-traditional-sluice-box-finishg-gold-panning-kit-with-classifier-screens-2-styles
38pc-deluxe-geology-rock-hounding-kit-with-mining-tools-and-musette-carry-bag,"40pc Deluxe Geology Rock Hounding Kit with Mining Tools and Musette Tool Bag",0,0,,,,,,,,https://asroutdoor.com/products/38pc-deluxe-geology-rock-hounding-kit-with-mining-tools-and-musette-carry-bag
magnifying-tweezer-and-glass-collection-vials-set-gold-panning-accessories-5pc,"Magnifying Tweezer and Glass Collection Vials Set Gold Panning Accessories, 5pc",0,0,,,,,,,,https://asroutdoor.com/products/magnifying-tweezer-and-glass-collection-vials-set-gold-panning-accessories-5pc
19pc-complete-fine-gold-recovery-kit-gold-prospecting-equipment-with-mini-funnel,"19pc Complete Fine Gold Recovery Kit Gold Prospecting Equipment with Mini Funnel",0,0,,,,,,,,https://asroutdoor.com/products/19pc-complete-fine-gold-recovery-kit-gold-prospecting-equipment-with-mini-funnel
14pc-portable-gold-panning-kit-with-stackable-sifter-and-drawstring-backpack-gold-prospecting-equipment,"14pc Portable Gold Panning Kit with Stackable Plastic Sifting Screens, Drawstring Backpack and Gold Prospecting Equipment (3 Sizes)",0,0,,,,,,,,https://asroutdoor.com/products/14pc-portable-gold-panning-kit-with-stackable-sifter-and-drawstring-backpack-gold-prospecting-equipment
