product_id,product_handle,product_title,skus
8644958716204,19pc-complete-fine-gold-recovery-kit-gold-prospecting-equipment-with-mini-funnel,"19pc Complete Fine Gold Recovery Kit Gold Prospecting Equipment with Mini Funnel",SON-ASRO-GLDPNACCKIT-19PC-BUN
9025218904364,19pc-metal-detector-accessories-kit-with-musette-style-field-tool-bag,"19pc Metal Detector Accessories Kit with Musette Style Field Tool Bag",SON-ASRO-METALDETECTKIT-19PC-BUN
8521825714476,19pc-ultimate-gold-panning-kit-with-classifier-screens-gold-pans-rock-pick,"19pc Ultimate Gold Panning Kit with Classifier Screens, Gold Pans, Rock Pick",DOY-PANNINGMATERIALS-KIT
10264366874924,1pc-stainless-steel-gold-prospecting-carabiner-keychain-lightweight-durable-edc-key-holder-with-split-ring-2-styles,"1pc Stainless Steel Gold Prospecting Carabiner Keychain, Lightweight Durable EDC Key Holder with Split Ring (2 Styles)","SON-ASRO-GOLDPANNER-KEYCHAIN-STD | SON-ASRO-SLUICEBOX-KEYCHAIN-STD"
8521788588332,2-inch-precious-metal-testing-stone-for-gold-panning,"2 Inch Natural Testing Stone Prospecting Tools, Black",SON-AOPMTSFGP-SML-GRY
10252002165036,2-person-emergency-survival-shelter-lightweight-reflective-waterproof-tent,"2 Person Emergency Survival Shelter Lightweight Reflective Waterproof Tent",KOL-ASRO-EMTENT-SLVR
8521901801772,metal-detector-2-in-1-plastic-black-scoop-with-steel-probe,"2 in 1 Metal Detector Sand Scoop with Built-in Steel Probe, Black",SON-PROBESCOOP-BLK
9516362629420,200-lumen-led-camping-clip-on-cap-light-black-green-orange,"200 Lumen LED Light Clip On Cap Hiking Camping Gear (3 Colors)","SON-CAPLIGHT-BLK-FL610-24CL | SON-CAPLIGHT-ORG-FL610-24CL | SON-CAPLIGHT-GRN-FL610-24CL"
10246952878380,2000-lumen-5-stage-rechargeable-flashlight-with-adjustable-beam-and-sos-mode-7-5-inches,"2000 Lumen 5-Stage Rechargeable Flashlight with Adjustable Beam and SOS Mode Camping Gear, 7.5 Inches",SON-ASRO-2000LUMENFLASHLIGHT-BUN
9983056183596,asr-outdoor-200ft-high-visibility-trail-marking-ribbon-backpacking-safety-hiking-gear-in-assorted-colors,"200ft High Visibility Marking Ribbon, Flagging Tape Backpacking Safety Hiking Gear (Assorted Colors)","SON-16FT-TRAILRIBBON-ESF2036-RED | SON-16FT-TRAILRIBBON-ESF2036-ORANGE | SON-16FT-TRAILRIBBON-ESF2036-NEONYELLW | SON-16FTHVMRNG-16F-NNGRN | SON-16FT-TRAILRIBBON-ESF2036-PINK"
8461244170540,rock-pick-hammer,"20oz Rock Pick Mining Hammer, 11-inch Pointed Tip Gold Prospectors Tool",SON-20OZERPMH-STD
10049578959148,20pc-beach-combing-metal-detector-gold-panning-kit-with-serrated-digger,"20pc Beach Combing Metal Detector Gold Panning Kit with Serrated Digger",SON-BEACHDIGBPKIT-BUN
10246636929324,20pc-complete-aluminum-storage-container-set-for-rock-hounding-gemstones-gold-prospecting-geology-1-inch-diameter,"20pc Complete Aluminum Storage Container Set for Rock Hounding Gold Prospecting Gemstones Geology",SON-SCSA-21PC-34D1D-SLVR
10006911058220,20pc-complete-gold-panning-kit-with-50-inch-folding-sluice-box-and-5-gallon-bucket-3-colors,"20pc Complete Gold Panning Kit with 50 Inch Folding Sluice Box and 5 Gallon Bucket (3 Colors)","SON-ASRO-BKTSLCGPKIT-20PC-GRN | SON-ASRO-BKTSLCGPKIT-20PC-BLK | SON-ASRO-BKTSLCGPKIT-20PC-BLU"
8502631498028,mini-sluice-box-with-3-5-gallon-bucket-gold-panning-kit-20pc,"20pc Mini Pocket Sluice Box with 3.5 Gallon Bucket Gold Panning Kit (2 Styles)","SON-MINISLUICEBKTKIT-RUB-20PC | SON-MINISLUICEBKTKIT-ALUM-20PC"
8522010329388,sluice-box-gold-panning-kit-with-1-2-classifier-prospecting-equipment-21pc,"21pc Folding 50 Inch Aluminum Sluice Box Gold Panning Kit with Gold Recovery Prospecting Tools",SON-DLXSLUICEKIT-2020-2-BUN
8919461888300,13pc-geology-rock-hounding-kit-with-mining-tools-and-deluxe-carry-bag,"21pc Geology Rock Hounding Kit with Mining Tools and Deluxe Carry Bag",DOY-GEOKIT-BUN
8522103718188,21pc-testing-and-finishing-gold-panning-kit-with-tool-box,"21pc Testing and Finishing Gold Panning Kit with Tool Box",DOY-TOOLSPERFECTOTHER-KIT
8521944531244,22pc-complete-finishing-gold-panning-kit-with-rock-pick-hammer-green,"22pc Complete Finishing Gold Panning Kit with Rock Pick Hammer, Green",ASR-AOUGPK-BUN-A-GRN-BNDL
8406498541868,asr-outdoor-deluxe-50-aluminum-folding-sluice-box-gold-panning-backpack-kit,"24pc Deluxe 50 Inch Aluminum Folding Sluice Box Gold Panning Kit with 30L Backpack","SON-FOLDINGSLUICEBACKPACK-24-BLACK | SON-FOLDINGSLUICEBACKPACK-24-GREEN | SON-FOLDINGSLUICEBOXBACKPACK-D | SON-FOLDINGSLUICEBACKPACK-24-BROWN"
8491328143660,asr-outdoor-24pc-gold-panning-kit-with-5-gallon-bucket-and-10lb-bobby-bo-paydirt-2-colors,"24pc Gold Panning Kit with 5 Gallon Bucket and 10lb Pan for Gold with Bobby Bo Paydirt (2 Colors)","DOY-10LBSBBPAYDIRTKIT-24PC-BLK | DOY-10LBSBBPAYDIRTKIT-24PC-GRN"
8521946104108,27-compact-aluminum-sluice-box-with-flared-mouth-gold-prospecting,"27 Inch Compact Aluminum Sluice Box with Flared Mouth Gold Prospecting Equipment",SON-ASRO-FIXEDSLUICE-27INCH
10069811331372,2pc-stainless-steel-flask-and-funnel-set-for-hiking-camping-outdoor-gear-2-sizes,"2pc Stainless Steel Flask and Funnel Set for Hiking Camping Outdoor Gear GIft Set (2 Sizes)","SON-ASRO-6OZFLASKFUNNEL-BUN | SON-ASRO-8OZFLASKFUNNEL-BUN"
9511355318572,2pk-zipper-pull-mini-compass,"2pk Lightweight Zipper Pull Mini Compass Hiking Camping Gear, Black",SON-ZIPPERPULLCOMPASS-BLK-2PK
