needs,product_title,variant,sku,current_gtin,current_mpn,MPN (fill in),UPC (fill in),correct GTIN-14,correct GTIN-13,handle,product_id,variant_id
4-ok (has GTIN),11 Inch Heavy Duty Single Riffle Gold Pans Made in USA (Three Colors),Green,HWK-ASRO-MADEINUSAGP-11IN-GRN,810131708849,ASRO0GPUSA,ASRO0GPUSA,810131708849,00810131708849,0810131708849,asr-outdoor-11-inch-heavy-duty-single-riffle-gold-pans-made-in-usa-three-colors,9840455614764,50620241215788
4-ok (has GTIN),11 Inch Heavy Duty Single Riffle Gold Pans Made in USA (Three Colors),Pink,HWK-ASRO-MADEINUSAGP-11IN-PNK,810131704780,ASRO0GPUSA-P,ASRO0GPUSA-P,810131704780,00810131704780,0810131704780,asr-outdoor-11-inch-heavy-duty-single-riffle-gold-pans-made-in-usa-three-colors,9840455614764,50620241248556
4-ok (has GTIN),11 Inch Pin Pointer Metal Detecting Hand Trowel Shovel with Depth Markers (2 Colors),Black,SON-NPT288-TROWEL-BLK,810131776503,ASR-HTOB,ASR-HTOB,810131776503,00810131776503,0810131776503,11-inch-pin-pointer-metal-detecting-hand-trowel-shovel-with-depth-markers-2-colors,9082999210284,48146472108332
4-ok (has GTIN),11 Inch Pin Pointer Metal Detecting Hand Trowel Shovel with Depth Markers (2 Colors),Orange,SON-HAND-TROWEL-ORANGE,060886070054,ASR-HTO,ASR-HTO,060886070054,00060886070054,0060886070054,11-inch-pin-pointer-metal-detecting-hand-trowel-shovel-with-depth-markers-2-colors,9082999210284,48146472173868
4-ok (has GTIN),11 Inch Stainless Steel Full Tang Fixed Blade Knife with Guthook for Fishing or Hunting,Default Title,NPT-G11IFTHK-2PC,624506342510,,GH-PZ,624506342510,00624506342510,0624506342510,11-inch-full-tang-hunting-guthook-knife-for-fishing-cleaning-fixed-blade,9516247875884,49369369182508
4-ok (has GTIN),11 in 1 Stainless Steel Credit Card Multitool with Black Leather Carry Case,Default Title,SON-11INSCCMT-SML-SLVR,139736812943,,11FuncTool-1,139736812943,00139736812943,0139736812943,11-in-1-multi-function-credit-card-sized-tool-with-black-sheath,9516488720684,49370659127596
4-ok (has GTIN),"11.75oz Stainless Steel and Enamel Coffee Mug Camping Essentials, Classic Speckled Blue",Default Title,SON-ASRO-ENAMELCOFFEEMUG-BLU,810131704919,,ASRO-F7SUQ6LX,810131704919,00810131704919,0810131704919,11-75oz-stainless-steel-and-enamel-coffee-mug-camping-essentials-classic-speckled-blue,9892051288364,50794926539052
4-ok (has GTIN),"11pc Complete Gold Panning Kit with Classifier Screens, Gold Pans and Prospecting Tools, Green",Default Title,SON-GOLDKIT11PC-2022-BUN,810058488886,,ASROGPK11PC22,810058488886,00810058488886,0810058488886,asr-outdoor-complete-gold-panning-kit-prospecting-equipment-with-classifier-screens-dual-riffle-gold-pans-11pc,8521757655340,46059549851948
4-ok (has GTIN),"12 Inch Full Tang Steel Axe Hatchet with Gut Hook Hex Holes Paracord Handle and Sheath, Black",Default Title,SON-MLCAHNGP-875L-GRN,801607304412,,LIGHTAXEG,801607304412,00801607304412,0801607304412,12-inch-stainless-steel-full-tang-gut-hook-hunting-knife-with-sheath,9930931896620,50915086172460
4-ok (has GTIN),"12.5 Inch Riffled Edge Prospector's Sand Scoop Gold Prospecting Equipment, Green",Default Title,SON-RIFFLESCOOP-GRN,810058482860,,ASROGSCRIFGRN1,810058482860,00810058482860,0810058482860,gold-rush-prospecting-sand-scoop-beveled-riffle-edge-12-5-inch-green,8521988899116,46060978405676
