"sku","parent.sku","name","number_of_items_amazon","character","character_amazon","theme_amazon","theme_walmart","recommendeduse_walmart","type_of_tool","model_name_amazon","handle_material_amazon","pattern_name_amazon","item_shape_amazon","shape_walmart","style","style_amazon","age_range_description_amazon","voltage_amazon","power_source_type_amazon","occasion_type_amazon","occasion_walmart","fabriccareinstruction_walmart","capacity_amazon","blade_material_type_amazon"
"LST-CATCHBALL-ORNG","LST-CATCHBALL-PARENT","TychoTyke Toss and Catch Self Stick Paddle Game Set Orange","","","","","","outdoor play, kids exercise, birthday games, kids party games, pool parties","","","","","","","","","Kid","","","","","","",""
"LST-DIECASTTRAILER-BLUE","LST-DIECASTTRAILER-PARENT","Semi Truck Transporter Trailer Race Car Auto Hauler Carrier Play Set - Blue","","","race car","","","pretend play, toddler toys, pretend racing, indoor play, pretend driving","","","","","","","","","Kid","","","","","","",""
"LST-DINOPLAYSET-6PC","","Kidplokio Dinosaur Toy Assemble Pretend Play Set for Kids Large Dino Toys 6pc","","","","dinosaurs","Dinosaurs","toys, dinosaurs","","","","","","Rectangle","","","Kid","","","","Pretend Play","","",""
"LST-FAIRYTEASET-PNK","","Kidplokio Pink Fairytale Tea Party Pretend Playset 17pc Girls Toys Ages 3 and Up","","","","fairies","Fairies","pretend play, dress up","","","","","","Rectangle","Fairytale","","Kid","","","","Tea Party","","",""
"LST-FLYINGDISC-ORG","LST-FLYINGDISC-PARENT","TychoTyke Kids Light Up 10 Inch Flying Disc Outdoor Fun Picnic Park Toys Orange","","","","","","outdoor play, camping toys, picnics, beach parties, play dates","","","","","","","","","Kid","","","","","","",""
"LST-FLYINGDISC-ORG-KPKO","LST-FLYINGDISC-PARENT-KPKO","Kidplokio Light Up 10 Inch Flying Disc Kids Outdoor Summer Toy - Orange","","","","","","outdoor play, camping toys, picnics, beach parties, play dates","","","","","","","","","Kid","","","","","","",""
"LST-FORESTTEASET-BLU","","Kidplokio 9pc Blue Enchanted Forest Tea Party Set for Little Girls, Ages 3 and Up","","","","fairies","Forest","pretend play, dress up","","","","","","Rectangle","Forest","","Kid","","","","Tea Parties","","",""
"LST-FORESTTEASET-PINK","","Kidplokio 9pc Pink Enchanted Forest Tea Party Set for Little Girls, Ages 3 and Up","","","","fairies","Forest","pretend play, dress up","","","","","","Rectangle","Forest","","Kid","","","","Tea Parties","","",""
"LST-KARAOKEMIC-PARENT","","Kidplokio Musical Microphone Pretend Play Karaoke Machine Kids MP3 Player","","","","music","Karaoke","karaoke, pretend play, music","","","","","","Rectangle","","","Kid","","","","","","",""
"LST-KIDSGOLFCADDYSET-2PK-BUNDLE","","(2 Pack) Kids Indoor Golf Club Toddler Activity Pretend Play Set, Ages 3-8","","Golf","","","","","","","","","","","","","Kid","","","","","","",""
"LST-KPKO-DANCEDINO-JQ2210-BRW","LST-KPKO-DANCEDINO-JQ2210-PARENT","Kidplokio RC Remote Control Dinosaur T Rex Toys for Boys, LED Lights Sounds, Brown, Ages 3+","","Dinosaur","Dinosuar","","","","","","","","","","","","Kid","","","","","","",""
"LST-KPKO-DANCEDINO-JQ2210-GRN","LST-KPKO-DANCEDINO-JQ2210-PARENT","Kidplokio RC Remote Control Dinosaur T Rex Toys for Boys, LED Lights Sounds, Green, Ages 3+","","Dinosaur","Dinosuar","","","","","","","","","","","","Kid","","","","","","",""
"LST-KPL-FPFIRETRUCK-8255F-RED","","Kidplokio Fire Truck Firefighter Rescue Toy Pull Back Cars, Red, Boys Ages 3+","","","","trucks","","","","","","","","","","","Kid","","","","","","",""
"LST-KPL-JUMBORACECAR-PARENT","","Kidplokio Friction Power Formula Max Jumbo Race Car, Ages 3+","","","","car-racing","","","","","","","","","","","Kid","","","","","","",""
"LST-KPL-KARAOKE-KEYBOARD-BLU","LST-KPL-KARAOKE-KEYBOARD-PARENT","Kidplokio Kids Keyboard Piano with Microphone Lights Music Sounds, Blue, Boys, Ages 3+","","Music","","music","","music","","","","","","","","","Kid","","","","","","",""
"LST-KPL-TOOLBOXTOY-YLW-XC930A","","Kidplokio 28pc Construction Toys Tool Box Work Bench Playset for Boys, Ages 3 and Up","","","Construction","construction-worker","","play pretend, tools, toys","","","","","","","","","Kid","","","","","","",""
"LST-KPL-TOUCHPADCASHREG-RED-10PC","LST-KPL-TOUCHPADCASHREG-PARENT","Kidplokio Touch Pad Cash Register for Kids Pretend Play Toy Money Microphone Red","","","","","Cash Register","pretend play","","","","","","Cash Register","","","Kid","","","","Christmas, Birthday","","",""
"LST-LUDDRDPWRCG-2PC-LG-GRN","LST-DINOCONTROL-PARENT","Dino Control Jurassic Rex RC Dinosaur Predator With Lights and Sounds - Green","","Dinosaur","Dinosuar","","","","","","","","","","","","Kid","","","","","","",""
"LST-LUDDRTDPWRC-2PC-LG-BRWN","LST-DINOCONTROL-PARENT","Light Up Dancing Dino RC T-Rex Dinosaur Predator With Radio Control - Brown","","Dinosaur","Dinosuar","","","","","","","","","","","","Kid","","","","","","",""
"LST-PICNICFOOD-XJ330Z-8","","Kidplokio Kids Pretend Play Food Set Fun Picnic Plastic Food Utensils Assorted, Multicolor, Ages 3+","","","Chef","chef","Picnic","pretend play, kids toys","","","","","","Rectangle","","","Kid","","","","Pretend Play","","",""
"LST-PPECRG-LG-GRN-3","","KidPlay Toys Pretend Cash Register with Play Money and Groceries","","pretend play","","","","Play Time","","","","","","","","","Kid","","","","","","",""
"LST-RACKETSET-PARENT","","TychoTyke Kids Tennis Racket Play Set Rackets Balls Outdoor Exercise (2 Colors)","","","","tennis","","","","","","","","","","","Kid","","","","","","",""
"LST-ROBOTDINO-GRN-Y333-11","LST-ROBOTDINO-PARENT","Kidplokio Green Walking Robot Dinosaur Dragon Space Toys Lights Sounds, Boys Ages 3 and Up","","Dragon","","dinosaurs","Dinosaurs","pretend play","","","","","","Rectangle","","","Kid","","","","Pretend Play","","",""
"LST-SHOPCARTBLU-EODS008-921","LST-SHOPCART-PARENT","Kidplokio Blue Jumbo Shopping Cart Pretend Playset Play Food Kids Ages 3 and Up","","","","chef","Shopping","pretend play, play pretend","","","","","","Rectangle","","","Kid","","","","Pretend Play","","",""
"LST-SPACEGUN-RF300-BLU","","Kidplokio Sonic Space Blaster Toy Gun with Flashing Lights and Sounds, Blue, Boys, Ages 3+","","Space Hero","","space-travel","","pretend play, indoor play, outdoor play","","","","","","","","","Kid","","manual","","","","",""
"LST-SPACEGUN-RF300-GRN","","Kidplokio Sonic Space Blaster Toy Gun with Flashing Lights and Sounds, Green, Boys, Ages 3+","","Space Hero","","space-travel","","pretend play, indoor play, outdoor play","","","","","","","","","Kid","","","","","","",""
"LST-SPACEGUN-RF300-GRNBLU-2PK","","2-Pack Kids LIGHT-UP Action Jackson Space Ranger Toy Gun for Boys, Ages 3 up","","","","","","","","","","","","","","","Kid","","","","","","",""
"LST-SPCBLSTBAG-BLU-BUN","LST-SPCBLSTBAG-PARENT","Kidplokio 2pc Space Toy Bundle Blue Blaster and Superhero Cinch Bag Boys 3 Up","","Superheroes","Superheroes","super-heroes","Space","Pretend Play","","","","","","Rectangle","","","little_kid","","","","Pretend Play","","",""
"LST-SPCBLSTBAG-GRN-BUN","LST-SPCBLSTBAG-PARENT","Kidplokio 2pc Space Toy Bundle Green Blaster and Superhero Cinch Bag Boys 3 Up","","Superheroes","Superheroes","super-heroes","Space","Pretend Play","","","","","","Rectangle","","","little_kid","","","","Pretend Play","","",""
"MCN-2PKCAMOFORM-PARENT","","2 Pack GEAR AID Camo Form Self-Cling Reusable Gun Wrap 2"" x 144"" Various Colors","","","","","","Camping, Gear Repair, Outdoor","","","","","","","","","Adult","","","","","","",""
"MCN-AQUASEAL-PARENT","","Gear Aid Aquaseal Aquaseal FD Flexible Durable Repair Adhesive Sealant","","","","","","Camping, Gear Repair, Outdoor","","","","","","","","","Adult","","","","","","",""
"MCN-CAMOFORMGEARWRAP-PARENT","","GEAR AID Camo Form Self-Cling Reusable Camouflage Wrap 2"" x 144"", Various Colors","","","","","","Camping, Gear Repair, Outdoor","","","","","","","","","Adult","","","","","","",""
"MCN-GAMEAACCRA-3PC-SML-CLR","","Gear Aid Aquaseal Cotol-240 Combo Repair Glue Adhesive Outdoor Rec","","","","","Outdoor, Camping, Hiking","gear repair, fabric repair, accelerated repairs","","","","","","","","","Adult","","","","","","",""
"MCN-GARDWR-169OZ-36226","","GEAR AID Revivex Durable Water Repellent (DWR) Spray for Reproofing Jackets, 16.9 fl oz","","","","","","Camping, Gear Repair, Outdoor","","","","","","","","","Adult","","","","","","",""
"MCN-GARNASFWAWK-4PC-2PK","","GEAR AID Revivex Suede, Nubuck Fabric Boot and Shoe Care Kit, Ideal for use on Waterproof-breathable Footwear, 2 Pack","","","","","","Camping, Gear Repair, Outdoor","","Suede Protector","","","","","Suede Nubuck Boot Care Kit, 2 Pack","Suede Nubuck Boot Care Kit, 2 Pack","Adult","","","","","","",""
"MCN-GARNASFWAWK-4PC-U","","Gear Aid ReviveX Nubuck Suede and Fabric Boot Waterproof Care Kit Shoe Repair","","","","","","","","","","","","","","","","","","","","","",""
"MCN-GATTMCFSTP-2PC-3X5-CLR","MCN-GATTMCFSTP-2PC-3X5-CLR-PARENT","GEAR AID Tenacious Tape Flex Patches for Vinyl and Fabric Repair, Clear, two 3"" x 5"" Patches","","","","","","Camping, Gear Repair, Outdoor","","","","","","","","","Adult","","","","","","",""
"MCN-GRNLINEFILTER-67013","","Aquamira Grn Line Series 3 Frontier Replacement Filter Water Treatment 50 Gallon","","","","","","water filter","","","","","","","","","Adult","","","","","","",""
"MCN-IMFRKSDWR-3PC-10X6-BLCK-2PK","MCN-IMFRKSDWR-3PC-10X6-BLCK-PARENT","GEAR AID Wetsuit Repair Kit with Iron-On Neoprene Patch, Fix Seams and Tears, 2-pk","","","","","","Camping, Gear Repair, Outdoor","","","","","","","Performance swimwear","2 Pack","Adult","","","","","","",""
"MCN-MBMPRK-STD-AMZN-2PK","","GEAR AID 2-Pack Tenacious Tape Mesh Patches for Tent and Bug Screen Repair, 3"" Rounds","","","","","","Camping, Gear Repair, Outdoor","","","","","","","2 Pack","2 Pack","Adult","","","","","","",""
"MCN-MBMPRK-STD-BLCK","","Gear Aid Bug Mesh Patch Repair Kit for Hiking Camping Outdoor Equipment - Black","","","","","Outdoor, Camping, Hiking","Bug Net Repair, repairing bug nets","","","","","","","","","Adult","","","","","","",""
"MCN-MGAAWRKWP25OZ-5PC-STD-BLCK","MCN-MGAAWRKWP25OZ-5PC-PARENT","Gear Aid Aquaseal FD and Tenacious Tape Kit for Wader and Vinyl Repair, 0.25 oz","","","","","","","","","","","","","","","","","","","","","",""
"MCN-MTCARTRC-5FT-CLR","MCN-MTCARTRC-5FT-CLR-PARENT","GEAR AID Tenacious Tape Repair and Seam Tape for Tents and Vinyl, Clear Roll, 1.5""x 60""","","","","","Outdoor, Camping, Hiking","repair, patching, outdoor fixes, indoor fixes, all purpose","","","","","","","","1 Pack","Adult","","","","","","",""
"MCN-MGAIWS-2","","Gear Aid Revivex All Purpose Instant Waterproofing Spray for Outdoor Gear","","","","","","Camping, Gear Repair, Outdoor","","","","","","","","","Adult","","","","","","",""
"MCN-MGARBDSB-1-BLCK","","GEAR AID Dual Snap Bar Buckle, 1""","","","","","Outdoor, Camping, Hiking","Replacment Parts","","","","","","","","","Adult","","","","","","",""
"MCN-MGARWRLGAC-4O-WAL-HPN-2PK","","Gear Aid Revivex 4 oz. Leather Footwear Water Repellent - 2-Pack","","","","","","","","","","","","","","","Adult","","","","","","",""
"MCN-MGATTWP-STD-BLCK","","Gear Aid Repair Tape Long Lasting Wildlife Camping Hiking Supplies - Black","","","","","Outdoor, Camping, Hiking","indoors, outdoors, camping, hiking, tent repair","","","","","","","","","Adult","","","","","","",""
"MCN-MGAUCA25O-SML","","GEAR AID Aquaseal UV Adhesive for Instant Wader and Drysuit Repair, 0.25 oz","","","","","Outdoor, Camping, Hiking","camping, hiking, fishing, gear repair","","","","","","","","","Adult","","","","","","",""
"MCN-MMEBLBCC10O-10OZ","","BC Life BCD Cleaner and Conditioner Household Maintenance - 10 oz","","","","","Outdoor, Camping, Hiking","Camping, Gear Repair, Outdoor","","","","","","","","","Adult","","","","","","",""
"MCN-MMESBDMPT125OZ","","Gear Aid Sea Buff Dive Mask Visor Cleaner Anti-Fog Lens Water Sport - 1.25oz","","","","","Outdoor, Camping, Hiking","Camping, Gear Repair, Outdoor","","","","","","","","","Adult","","","","","","",""
"MCN-MMESC4OZNCB","","GEAR AID Aquaseal NEO Contact Cement for Neoprene and Wetsuit Repair, 4 fl oz","","","","","Outdoor, Camping, Hiking","Camping, Gear Repair, Outdoor","","","","","","","Performance swimwear","","Adult","","","","","","",""
"MCN-MMESDAALCD125O-C-WHT","","GEAR AID Sea Drops Anti-fog and Cleaner for Dive and Snorkel Masks, 1.25 fl oz, Bulk","","","","","","Camping, Gear Repair, Outdoor","","","","","","","","","Adult","","","","","","",""
"MCN-MMESG14OPMARL","","Silicone O Ring Valve Protection Grease for Diving Gear - 1/4 oz","","","","","Outdoor, Camping, Hiking","Camping, Gear Repair, Outdoor","","","","","","","","","Adult","","","","","","",""
"MCN-MMESGAALCS125O-C","","Sea Gold Anti Fog Gel Mask Visor Cleaning Solution Outdoor - 1.25oz","","","","","Outdoor, Camping, Hiking","scuba, watersports, diving, snorkeling","","","","","","","","","Adult","","","","","","",""
"MCN-MMESQAS12O-12OZ-CLR","","GEAR AID Anti-Fog Spray for All Goggles, Masks and Eyewear, 0.5 fl oz","","","","","Outdoor, Camping, Hiking","defogging, cleaning, anti-fog","","","","","","","","0.5 fl oz","Adult","","","","","","",""
"MCN-MMEUTPAR4OZS-SML-CLR","","UV Tech Protectant and Rejuvenator Marine Gear 4oz","","","","","","Camping, Gear Repair, Outdoor","","","","","","","","","Adult","","","","","","",""
"MCN-MRLBCCC-4OZ","","ReviveX Leather Boot Care Waterproof Cleaner Outdoor Recreation Repair - 4 oz","","","","","Outdoor, Camping, Hiking","boot cleaner","","","","","","","","","Adult","","","","","","",""
"MCN-MTODLCS25OWCC-2PC-C-CLR","","GEAR AID Op Drops Anti-Fog and Lens Cleaner for Eyewear and Optics, 0.25 oz","","","","","Outdoor, Camping, Hiking","Camping, Gear Repair, Outdoor","","","","","","","","","Adult","","","","","","",""
"MCN-MTODLCS25OWCC-2PC-C-CLR-2","","Gear Aid Tactical Op Drops Anti-Fog and Lens Cleaning System .25 oz","","","","","","Camping, Gear Repair, Outdoor","","","","","","","","","Adult","","","","","","",""
"MCN-MTODLCS25OWCC-2PC-C-CLR-3","","Gear Aid Tactical Op Drops Anti-Fog and Lens Cleaning System .25 oz","","","","","","Camping, Gear Repair, Outdoor","","","","","","","","","Adult","","","","","","",""
"MCN-ODORELIMINATOR-GALLON","","Gear Aid Revivex Odor Eliminator for Tents, Footwear and Sports Gear, 1 Gallon","","","","","Outdoor, Camping, Hiking","Camping, Gear Repair, Outdoor","","","","","","","1 Gallon","1 Gallon","Adult","","","","","","",""
"MCN-POSHDFGCMWS-2PC-C-BLCK","","Gear Aid Plastic Snap Hook for Camping Hiking Webbing Strap Customization -Black","","","","","Outdoor, Camping, Hiking","camping, outdoors, camping, diy repair","","","","","","","","","Adult","","","","","","",""
"MCN-REVIVX-SEAMGRIPFC-BUNDLE-HPNR","","GEAR AID 2pk Tent Waterproofing Spray and Sealer for Nylon Tents, Fast Cure Kit","","","","","","Camping, Gear Repair, Outdoor","","","","","","","","","Adult","","","","","","",""
"MCN-SSTSHDWS15OZ-SML-CLR","","Seam Grip SIL Silicone Sealant for Silnylon Tents and Tarps, Clear, 1.5 oz","","","","","Outdoor, Camping, Hiking","silicone, patch, sealant, sealer, seams","","","","","","","","","Adult","","manual","","","","",""
"MCN-TENACIOUSTAPE-PARENT","","Gear Aid Tenacious Tape Repair Tape for Fabric and Vinyl, 3"" x 20""","","","","","Outdoor, Camping, Hiking","Camping, Gear Repair, Outdoor","","","","","","","","","Adult","","","","","","",""
"MCN-TTAPE-HEXPATCH-PARENT","","GEAR AID Tenacious Tape Repair Patches for Jackets, Outdoor Gear, 2.5"" 1.5"" Hex","","","","","","","","","","","","","","","","","","","","","",""
"MCN-TTAPEREPAIRPATCHES-AMZ-PARENT","","GEAR AID Tenacious Tape Mini Patches to Repair Jackets, Tents and Rain Gear, 1.5""x2.5""","","","","","","Camping, Gear Repair, Outdoor","","","","","","","","","Adult","","","","","","",""
"MCN-UVTECH4OZ-HPN","","UV Tech Neoprene Protectant And Rejuvenator Detergent 4oz","","","","","","Camping, Gear Repair, Outdoor","","","","","","","","","Adult","","","","","","",""
"MCN-ZIPPER-LUBE-91120","","GEAR AID Zipper Lubricant Wax for Tents, Drysuits, Soft Coolers and more, includes 2 sticks","","","","","","Camping, Gear Repair, Outdoor","","","","","","","","","Adult","","","","","","",""
"NPT-10INDAMASKNF-PAERENT","","ASR Outdoor 10 Inch Full Tang Hunting Knife Wooden Handle Damascus Etched Design","","","","","","hunting, camping, knife collections, outdoor activities, boating","","","","","","","","","Adult","","","","","","",""
"NPT-11INHUNTINGKNIFE-BK","","ASR Outdoor Full Tang Hunting Knife ABS Handle Fixed Blade Matte Black Design","","","","","","camping, hunting, hiking, fishing, utility tools","","","","","","","","","Adult","","","","","","",""
"NPT-11INHUNTINGKNIFE-GA","","ASR Outdoor Full Tang Hunting Knife ABS Handle Fixed Blade Space Galaxy Design","","","","","","camping, hunting, hiking, fishing, utility tools","","","","","","","","","Adult","","","","","","",""
"NPT-11INHUNTINGKNIFE-RW","","ASR Outdoor Full Tang Hunting Knife ABS Handle Fixed Blade Rainbow Design","","","","","","camping, hunting, hiking, fishing, utility tools","","","","","","","","","Adult","","","","","","",""
"NPT-65THROWINGKNIVES-EAG","","ASR Outdoor Ninja Throwing Knives American Flag Bald Eagle Design 6.5 Inch","","Patriotic Eagle","Eagle","","","","","","","","","","","","Adult","","","","","","",""
"NPT-8INPOCKETKNIFE-EAG","NPT-8INPOCKETKNIFE-PARENT","ASR Outdoor Back Lock Folding American Eagle Pocket Knife Collectible Gift, 8 inch","","Eagle","Eagle","","","","","","","","","","","American Flag Knife","Adult","","","","","","",""
"NPT-8INPOCKETKNIFE-WLF","NPT-8INPOCKETKNIFE-PARENT","ASR Outdoor Lockback Folding Wolf Pocket Knife Collectible Gift, 8 inch","","Wolf","Wolf","","","","","","","","","","","Wolf Pocket Knife","Adult","","","","","","",""
"NPT-ANIMALHANDLEDAGGER-PARENT-2","","ASR Outdoor 13.5 Inch Collectors Hunting Knife Decorative Scabbard and Handle","","","","","","","","","","","","","","Decorative Wildlife Knife","Adult","","","","","","",""
"NPT-BEARKNIFE-BLACK","","ASR Outdoor Collectible Dagger Bowie Knife Etched Bear Sheath Ergonomic Handle","","Bear","Bear","","","","","","","","","","","","Adult","","","","","","",""
"NPT-BLKKNIFE-HWT258RW","","ASR Tactical Full Tang Clip Point Blade Slim Kydex Sheath Hook Handle - Rainbow","","","","","","self defense, camping, hunting","","","","","","","","","Adult","","","","","","",""
"NPT-BLKTHROWKNIVES-3PC-A1030-3-B","","ASR Tactical Black Stainless Steel Throwing Knife Set with Nylon Sheath 3 Pieces","","","","","","","","","","","","","","","Adult","","","","","","",""
"NPT-CHRKNIFE-HWT257CH","","ASR Tactical 8.25"" Spear Point Full Tang Hunting Knife, Chrome","","","","","","","","","","","","","","","Adult","","","","","","",""
"NPT-CHRKNIFE-HWT258CH","","ASR Tactical Full Tang Clip Point Blade Slim Kydex Sheath Hook Handle - Chrome","","","","","","self defense, camping, hunting","","","","","","","","","Adult","","","","","","",""
"NPT-CHRKNIFE-HWT270CH","","ASR Tactical Double Edge Full Tang Spear Point Blade Dagger with Sheath - Chrome","","","","","","","","","","","","","","","Adult","","","","","","",""
"NPT-DEERKNIFE-BLACK","","ASR Outdoor Collectible Dagger Bowie Knife Etched Deer Sheath Ergonomic Handle","","Deer","Deer","","","","","","","","","","","","Adult","","","","","","",""
"NPT-EAGLEKNIFE-BLACK","","ASR Outdoor Collectible Dagger Bowie Knife Etched Eagle Sheath Ergonomic Handle","","Patriotic Eagle","Eagle","","","","","","","","","","","","Adult","","","","","","",""
"NPT-FANFC-2PC-45X1-BLCK","","Fully Adjustable Ninja Shoe Attachment Claws","","","","","","wall climbing, martial arts","","","","","","","","","Adult","","","","","","",""
"NPT-FLGKNIFE-HWT258A","","ASR Tactical Full Tang Clip Point Blade Slim Kydex Sheath Hook Handle - Flag","","","","","","self defense, camping, hunting","","","","","","","","","Adult","","","","","","",""
"NPT-HUNTKNF-AMEAG-PARENT","","ASR Outdoor American Flag Fixed Blade Hunting Knife Patriotic Gift (3 Styles)","","","","","","","","","","","","","","","Adult","","","","","","",""
"NPT-PARACORDBELT-PARENT","","ASR Outdoor Survival EDC 550 Paracord Belt with Stainless Steel Buckle","","","","","","","","","","","","","","","Adult","","","","","","",""
"PARANECK-KNIFE-NEONGREEN","PARANECK-KNIFE-PARENT","ASR Tactical 6"" Survival Knife with Sheath 550 Paracord Wrapped Handle Full Tang Drop Point Fixed Blade, Green","","","","","","","","","","","","","","","Adult","","","","","","",""
"PF-POSTER-MUSCLEDIA-MALE-LAM","PF-POSTER-MUSCLEDIA-PARENT","Productive Fitness Exercise Poster Series - Muscle Diagrams (Male & Female)","","","","","","muscle poster, home exercise, male muscles, home gym, education","","","","","","","","","Adult","","","","","","",""
"PLC-PARACORD-BELT-PARENT","","ParaLace EDC Survival 550 Paracord Belt with Stainless Steel Buckle, 52 inch (Universal Fit, 3 colors)","","","","","","","","","","","","","","","Adult","","","","","","",""
"SHM-60FTRDKSC-60FT-BL","","60ft Rapid Deployment Portable Kevlar Survival Trip Cord 200lb Breaking Strength","","","","","","hunting, camping, rope, cord","","","","","","","","","Adult","","","","","","",""
"SHM-ATNMCRB-SML-BLCK1","","ASR Tactical Non-Metallic Covert Zirconia Ceramic Razor Blade (Wear-Resistant Non-Dulling)","","","","","","","","","","","","","Escape Knife","","Adult","","","","","","",""
"SHM-ATNMCRB-SML-BLCK-2PK","SHM-CRB-PARENT","ASR Tactical 2 Pack Non-Metallic Ceramic Razor Blade (Wear-Resistant Non-Dulling)","","","","","","","","","","","","","Escape Knife","Ceramic Razor Blade","Adult","","","","","","",""
"SHM-CFRTBATNM-SML-BLCK-STD","","ASR Tactical Folding Ceramic Razor Blade, Micro EDC Escape Knife Survival Tool","","","","","","","","","","","","","","","Adult","","","","","","",""
"SHM-DS85IX55IDNPLJ-BL-Prez-Paper","","Disappearing Presidential Paper Dissolving Message Memo Pad","","","","","","spy gadgets","","","","","","","","","Adult","","","","","","",""
"SHM-KEVTRIPLINE-85FT","","ASR Tactical Kevlar Trip Wire on Rapid Deployment Spool, 85 Feet","","","","","","home security, personal security, yard security, preventing trespassers, preventing intruders","","","","","","","","","Adult","","","","","","",""
"SHM-KIDFUN-NOTEBOOK","SHM-SPYPAPERPAD-PARENT-2","32 Sheet Disappearing Note Pad Dissolving Message Notebook Paper - Spy Journal","","","","","","spy gadgets","","","","","","","Spy Journal","","Adult","","","","","","",""
"SHM-KIDFUN-REFLECTIONPAPER","SHM-SPYPAPERPAD-PARENT-2","32 Sheet Disappearing Notebook Dissolving Message Note Pad - Reflection Paper","","","","","","spy gadgets","","","","","","","Reflection Paper","","Adult","","","","","","",""
"SHM-PRISONPENSMULTI-PARENT","","Bendable Mental Health Non-Lethal Flexible Ball Point Pen (Multi-Packs)","","","","","","","","","","","","","","","Adult","","","","","","",""
"SHM-UVSPYPEN-PARENT-EBAY","","Ultraviolet UV Theft Detection Pen Invisible Ink Security Marker 3 Colors","","","","","","","","","","","","","","","Adult","","","","","","",""
"SON-100PKZIPTIES-PARENT","","100pk 12"" Universal Utility Cable Zip Ties (Many Sizes | Thickness)","","","","","","","","","","","","","","","Adult","","","","","","",""
"SON-144PCGLASSVIALS-PARENT","","144pk Small Glass Vials with Screw On Cap, Hobby and Craft Lab Sample Vial Set","","","","","","","","","","","","","","","Adult","","","","","","",""
"SON-155BSSMRWZSS-155E-BLCK-EBAY","","15.5"" Black Stainless Steel Machete, Recurved Blade with Zigzag Serrated Spine","","","","","","","","","","","","","","","Adult","","","","","","",""
"SON-15LBPUTOOL-8036TM","","ToolTreaux 30 Inch Telescoping Magnetic Pickup Tool for 15lb Magnetic Strength","","","","","","metal detecting, foraging, mining, prospecting. rock hounding","","","","","","","","","Adult","","","","","","",""
"SON-16FTHVMRR-16F-RD","SON-MARKINGRIBBON-PARENT","ASR Outdoor Hiking Gear 200ft High Visibility Marking Ribbon, Red","","","","","","marking trees, making a path, hiking, camping, parties","","","","","","","","","Adult","","","","","","",""
"SON-20OZERPMH-STD-EF","","32oz Ergonomic Rock Pick Mining Masonry Hammer by ASR Outdoor","","","","","","","","","","","","","Rock Pick Hammer","","Adult","","","","","","",""
"SON-32DBEARPLUGS-YELLOW","SON-DBEARPLUGS-PARENT","ASR Outdoor 32 dB Noise Reduction Rated Safety Ear Plugs (10 Pairs) Protect Ears","","","","","","","","","","","","","","","Adult","","","","","","",""
"SON-35ISTSSSTS-35-GOLD","","Stainless Steel Tailors Stork Craft Scissors Straight Sharp Tip 3.5 inch - Gold","","","","","","hobby crafts","","","","","","","","","Adult","","","","","","",""
"SON-COLLAPSBUCKET-10L-OD-CB10L","","ASR Outdoor Grey and White Silicone Collapsible 10L Water Container Gold Panning Bucket","","","","","","gold rush, gold panning, composting, fishing, fermenting","","","","","","","","","Adult","","","","","","",""
"SON-ASRO-FIXEDSLUICE-27INCH","","ASR Outdoor 27"" Compact Aluminum Sluice Box with Flared Mouth Gold Prospecting","","","","","","","","","","","","Rectangle","","","adult","","","","","","",""
"SON-35STORK-SCISSORS-IR-TT","","ToolTreaux Straight Blade Stainless Steel Stork Embroidery Scissors - 3.5 Inch","","","","","","embroidery, sewing","","","","","","","","","Adult","","","","","","",""
"SON-3I1HHPB-BLCK","","Universal Multitool Hatchet Hammer Pry Bar Utility Axe for Emergency Survival","","","","","","","","","","","","","","","Adult","","","","","","",""
"SON-45IPT-45-SLVR","","5 Prong Spring Loaded Jewelry Repair Tool Pen Style Arts and Crafts - 4.5 inch","","","","","","","","","","","","","","","Adult","","","","","","",""
"SON-45IPT-45-SLVR-2","","4.5 Inch 4 Prong Metal Pick-Up Tool Hobby Crafts Jewelry Making with Case","","","","","","Crafts, Beading, Hobbies, Picking Up Small Items","","","","","","","","","Adult","","","","","","",""
"SON-5PC-ARTSPATULA-TT","","ToolTreaux Steel and Polished Wood Assorted Soft Medium Sculpting Painting Spatula Tools Set, 5pc","","","","","","hobby crafts","","","","","","","Crafts","","Adult","","","","","","",""
"SON-6IBSPSSS-6-SLVR","","Stainless Steel Scissors Heavy Duty 6 inch Blade Blunt Tip","","","","","","cutting, art, crafts","","","","","","","","","Adult","","","","","","",""
"SON-6MMWBHWBACA-BL","","ASR Outdoor Universal Water Bottle Holder With Blue Aluminum Carabiner Clip Attachment","","","","","","water bottle holder, gym accessories, hiking gear","","","","","","","","","Adult","","","","","","",""
"SON-7DCFFS6DG-6PC-7E-RD","","ToolTreaux 6 Piece Diamond Coated Flat File Set, Steel Files Assorted Grits 6pc","","","","","","","","","","","","","","","Adult","","","","","","",""
"SON-7I1SWMWLF-SML-SLVRORGRN-3","","7 in 1 Survival Whistle Multi-Case with LED Flashlight","","","","","","","","","","","","","Survival Kits","","Adult","","","","","","",""
"SON-7INFISHINGKNIFE-BLK-PK-FISH-7SH","","ASR Outdoor Fixed Blade Utility Fishing Fillet Knife, 6 Inch","","","","","","fishing, survival, hunting, baiting, filleting","","","","","","","","","Adult","","","","","","",""
"SON-82SSSS","","SE SS8 8"" Dual Grit Sharpening Stone","","","","","","","","","","","","","","","Adult","","","","","","",""
