"sku","parent.sku","name","character_walmart","modelnumber_walmart","pattern_walmart","theme_walmart","special_features_amazon","mpn_amazon","number_of_pieces_amazon","style_name_amazon","scale_name_amazon","light_source_type_amazon","outer_material_type_amazon","color_amazon","capacity_walmart","frame_material_type_amazon","recommendedroom_walmart","mounting_type_amazon","team_name_amazon","size","design_amazon","vehicletype_walmart","auto_part_position_amazon","sportvalue_walmart"
"4SN-PANDABACKPACK-43193","","Kidplokio Kids School Backpack Critter Panda Face for Children","","","","","","","","","","","","Green","","","","","","16\""","","","",""
"4SN-PINCHBOWL-47332-PARENT","","Beille Cooking Baking Supplies Glass Pinch Bowl Ramekin Kitchen Essentials Set","","","","","Perfect Size for Spices","","","pinch bowl","","","","Clear","","","","","","","","","",""
"4SN-SAVBANK-CHARACTER-PARENT","","Licensed Kids Coin Tin Piggy Bank Learning Savings Tools for Kids","","","","","","","","","","","","","","","","","","","","","",""
"4SN-SPORTSBOTTLE-PARENT","","ASR Outdoor Pop Top Sports Water Bottle 33oz Fitness Daily Hydration","","","","","reusable","","","","","","","","","","","","","33oz","","","",""
"4SN-STICKERACTIVITY-BATMAN-HPNR","","Batman Reward Stickers Activities Mini Coloring Book with Rewards Coloring Page","","","","","","","","dimensional","","","","Batman Stickers for Kids","","","","","","medium","","","",""
"4SN-TOTE-BABYYODA-2PK-BUN","","Star Wars Baby Yoda 2 Pack Non Woven Tote Bag Kids Travel Bag Ages 3 and Up","","","","","","","","","","","","","","","","","","2pk","","","",""
"4SN-TOUCHWATCH-56920-PARENT","","Licensed Girls LED Display Digital Touch Screen Watch for Kids (18 Styles)","","","","","","","","","","","","","","","","","","One Size Fits Most","","","",""
"4SN-VASELINE-LIPTHER-48268-BUN","","Vaseline Lip Therapy Cocoa Butter Lip Balm Pure Petroleum Jelly Stick .16oz","","","","","","","","","","","","","","","","","",".16oz","","","",""
"4SN-VASELINE-LIPTHER-COCOABUTTER-1PK","","Vaseline Lip Therapy Cocoa Butter | Lip Balm with Petroleum Jelly","","","","","","","","","","","","","","","","","","small","","","",""
"4SN-VASELINE-LIPTHER-OR-5PK-44551-BUN","","5 Pack Vaseline Lip Therapy Original Lip Balm Petroleum Jelly Moisturizing .16oz","","","","","","","","","","","","","","","","","",".16oz","","","",""
"4SN-VASELINE-LIPTHER-ORIGNAL-2PK-HPN-WAL","","(2 Pack) Vaseline Lip Therapy Original Lips With Petroleum Jelly","","","","","","","","","","","","","","","","","","small","","","",""
"4SN-WALLCLOCK-PARENT","","Kids Licensed Character Analog Wall Clock Kids Bedroom Home Decor Wall Art","","","","","","","","","","","","","","","","","","Large","","","",""
"4SN-WOMENSRAZORS-2PC-37693","","All Pure Womens 3 Blade Swivel Razor Pack 2 Pieces Lubricating Strip for Comfort","","","","Shaving, personal care","","","","","","","","","","","bathroom","","","Standard","","","",""
"ABC-FIRETRUCKPOLCAR-PARENT","","Kidplokio 360 Degree Bump and Go Emergency Responders Fire Truck Police Car Toy","","","","First Responders","","","","","","","","","","","","","","","","","",""
"ALUMCASE-CONTAINERS-PARENT","","Universal Hobby Aluminum Storage Display Container Set & Case (Various Packs)","","","","","","","","","","","","","","","","","","","","","",""
