"sku","parent.sku","name","brand_ebay","color","country_of_origin","type","model","features_ebay","theme","pattern","shape","prop65_warn_type","suitable_for","warranty","department_ebay","material","height","length","package_includes","number_of_pieces","weight","width","mpn","mpn_ebay"
"4SN-FINGERLINGS-DIARY-10408","","KidPlay Products Fingerlings Friendship at your Fingertips Secret Diary 7 Pieces","","Purple","China","","","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","30 Day Limited Against Defects","","Paper","2.25","8.75","(1) Diary(1) Lock(1) Pen(1) Stamp Ink Pad(1) Stamp(2) Keys(2) Sticker Sheets","","0.6","9","FSD",""
"4SN-FLYRIBBONS-4PK-44487","","PIC Fly Ribbons Attracts and Traps Flying Insects No Mess No Vapors - 4 Pack","PIC","Yellow","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Adhesive","1","3","(4) Fly Ribbons","","0.2","5","PC4PKFRIB",""
"4SN-FLYTRAPS-2PK-27804","","PIC Fly Traps Glue Attracts and Traps Flying Insects No Mess No Vapors - 2 Pack","PIC","Yellow","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Adhesive","9","3","(2) Fly Traps","","0.3","2","PC2PKFTRP",""
"4SN-JOJOTOOTHBRUSH-CAP","","JoJo Siwa Brush Buddies Kids Toothbrush Ultra Soft Bristles with Plastic Cap","Brush Buddies","Pink","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Plastic","0.5","6","(1) Assorted JoJo Siwa Toothbrush","","0.04","1.5","BBJOJOBCAP4STY",""
"UPD-MINCHARMRING-PNK","","Disney Minnie Mouse Girls Beaded Ring Bracelet Glitter Charm Jewelry Gift","HER Accessories","Minnie Mouse","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Plastic","0.25","7.75","(1) Disney Jewelry Set","","0.08","3","DMMCHRSET",""
"UPD-MINNIE-FAUXHAIR","","Disney Minnie Mouse Purple Blue Faux Hair Braid Ponytail Extension with Pink Bow Elastic","Disney","Blue","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","plastic","1","12","(1) Minnie Mouse bow with Hair bread","","0.1","3","MINFX",""
"UPD-TS4EARRINGSET-14PC","","Disney Pixar Toy Story 4 Days of the Week Stick On Earrings and Rings Set","","Multi","China","","","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Plastic","0.5","7","(7) Stick-on Earring Pairs(7) Rings","","0.2","4","14PCWEEKEARRING",""
"UPD-TS4NOTEPEEP-1023670477","","Disney Pixar Toy Story 4 Shaped Spiral Notebook with Pink Pen - Bo Peep","Toy Story","Blue","China","","","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Paper","0.5","6","(1) Die-Cut Bo Peep Notebook(1) Pink Ballpoint pen","","0.15","5.5","2PCTS4NTPEEP",""
"4SN-STICKERACTIVITY-CAPUSA","","80pg Avengers Jumbo Coloring & Activity Book","","Captain America","","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","paper","1","6.5","(1) Activity Book","","0.1","4.3","45021",""
"ABC-RESCGUN-7636","","Kidplokio Camo Rescue Mission Toy Blaster with Lights Sounds Boys Ages 3 and Up","","Green","","","","Toy Guns","","","","About California Proposition 65 Proposition 65, officially the Safe Drinking Water and Toxic Enforcement Act of 1986, is a law that requires warnings be provided to California consumers when they might be exposed to chemicals identified by California as causing cancer or reproductive toxicity. The warnings are intended to help california consumers make informed decisions about their exposures to these chemicals from the products they use. The California Office of Environmental Health Hazard Assessment (OEHHA) administers the Proposition 65 program and publishes the listed chemicals, which includes more that 850 chemicals. In August 2016, OEHHA adopted new regulations, effective on August 30, 2018, which change the information required in Proposition 65 warnings. This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Plastic","1.5","13","(1) Rescue Mission Blaster","","0.5","7","KPLRESCGN1",""
"ABC-SWATELITESET-DF42218A","","Kidplokio Swat Elite Police Toys Kids Blaster and Cuffs Set Boys Ages 3 and Up","","Blue","","","","Kids Action Sets","","","","About California Proposition 65 Proposition 65, officially the Safe Drinking Water and Toxic Enforcement Act of 1986, is a law that requires warnings be provided to California consumers when they might be exposed to chemicals identified by California as causing cancer or reproductive toxicity. The warnings are intended to help california consumers make informed decisions about their exposures to these chemicals from the products they use. The California Office of Environmental Health Hazard Assessment (OEHHA) administers the Proposition 65 program and publishes the listed chemicals, which includes more that 850 chemicals. In August 2016, OEHHA adopted new regulations, effective on August 30, 2018, which change the information required in Proposition 65 warnings. This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Plastic","2.1","12.2","(1) Swat Elite Police Toy Set","","1","7.7","KPLPOLELST4",""
"ALI-PARANECK-PARENT","","ASR Outdoor Paracord Necklace Fire Starter Striker Tool (2 Colors and Styles)","","","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Paracord","0.25","16","(1) ASR Outdoor Paracord Necklace with Fire Starter","","0.05","1","",""
"SON-DSSWCCPASSWC-625X25-SLVR","","Dual Sided 12pc Wax Clay Carving Pick Spatula Tool Set with Case Arts and Crafts","Universal Hobby","Silver","India","","12WCPS","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Stainless Steel","0.5","8","(12) Pick and Spatula Carvers(1) Carrying case","13","0.51","2.5","12WCPS",""
"ALUMCASE-CONTAINERS-PARENT-TT","","ToolTreaux Aluminum Jar Storage Tin, 1/2 Oz Container and Display Set","","","","","UHASC-VAR-199","","","","","","","","","Aluminum","3","9.25","(1) Aluminum Storage Container Set","","0.55","6.5","UHASC-VAR-199",""
"ASR-ADTMGBKC-BUN-12PK-STD-ASSRTD","","12 Pack Bulk Dog Tag Keychain Blank Aluminium Metal Military ID Dog Tags Key Ring","ASR Outdoor","Blue","China","","12PADT-875","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Aluminum","1","5","*(12) Assorted Aluminum Dog Tag Key Chains","","0.14","1","12PADT-875",""
"ASR-ALUMINUMDOGMILITARYBLANK","","(6 Pack) Aluminum Dog Tag Military GI Blank Key Chain","ASR Outdoor","Blue","China","Key Chain","","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","Men","Aluminum","1","2","6 Pack Aluminum Dog Tags","","0.14","1","89164",""
"ASR-AOCSK-BUN-30PC-8X5-ASSRTD-BNDL","","ASR Outdoor Camping Survival Safety and Emergency Preparedness Kit, 12pc","ASR Outdoor","Multi-color","China","","12TOWSK","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Varies","2","8","(1) Microfiber Towel (Colors May Vary)(1) Mesh Carrying Case(1) Emergency Blanket(1) 7"" Full Tang Hunting Knife w/ Fire Starter & Nylon Sheath(1) 11 Function Credit Card Tool(1) Floating Whistle(3) Safety Pins","","1.5","5","12TOWSK",""
"ASR-ASROUTDOORGREENGLOW","","(3 Pack) ASR Outdoor Emergency Glow Stick BOB High Visibility Safety Light","ASR Outdoor","green","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Plastic","2","6","","","0.3","1","ASROFGGL",""
"ASR-COTTERPIN-PARENT","","ASR Tactical Replacement Safety Pin for Trip Wire Perimeter Alarm Signal Device (Pin Only)","ASR Tactical","Silver","United States","","","","personal security","","","","","","","Steel","0.1","1.25","(1) Alarm Signaling Device Cotter Pin","","0.08","0.25","ASRCOTPIN1",""
"ASR-EDACS-BUN-3PC-MED-BNDL","","Bald Eagle Dagger 3pc American Flag Knife Collector Set","ASR Outdoor","3pc Eagle","China","","ASR-CBEDAG3PC","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Steel","3","14","* (3) Bald Eagle Etched Daggers
* (3) Scabbards with Matching Design","","2.25","9","ASR-CBEDAG3PC",""
"ASR-ETB84X-BUN-10PK","","ASR Outdoor Emergency Mylar Outdoor Blanket Insulated Thermal Reflector Camping Gear, 10pk","ASR Outdoor","Chrome","United States","","EB_TB215-275","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Mylar","10","18","(10) Emergency Blankets - 84"" X 52""","","1","10","EB_TB215-275",""
"ASR-ETB84X-BUN-24PK-84X52-SLVR","","ASR Outdoor Emergency Mylar Outdoor Blanket Insulated Thermal Reflector, 24pk","ASR Outdoor","Silver","China","","EB_TB3","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Mylar","5","8","(24) Emergency Blankets - 84"" X 52""","","2.4","13","EB_TB3",""
"SON-SCSA-21PC-34D1D-SLVR","","20pc Universal Hobby Complete Aluminum Storage Container Set 1 Inch Diameter","","Silver","China","","AC_20P-627","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Aluminum","3","8","(1) Aluminum Case(20) Small Aluminum Display Cases 1\"" x 3/4\""","","0.55","5","AC_20P-627",""
"SON-MSPT-8LBS","","ASR Outdoor Gold Panning Portable Compact 8lb Magnetic Pickup Tool with Quick Release Rubber Handle - Black","ASR Outdoor","Black","China","","","","gold panning","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Metal","2","5.5","(1) Magnetic Pick-Up Tool","1","0.15","4","MSPUT8LBS","MSPUT"
"SON-ADTMGBKC-SML-ASSRTD","","Aluminum Dog Tags Engraveable Blank Key Chains Military Identification - 1 pc","ASR Outdoor","Multi-Color","China","","","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Metal","1","2","(1) Assorted Aluminum Dog Tag Key Chains","1","0.1","1","122DT12-1",""
"SON-AOCEP-MED-CLR","","ASR Outdoor Emergency Poncho Clear Polyethylene Rain Gear Camping","ASR Outdoor","Clear","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Plastic","1","5","(1) Clear Emergency Poncho","1","0.12","3","1PKCLP",""
"SON-HWW8HP-SML-ORNG","","Hand Warmers 8 Hour Protection Heat Pads for Outdoor Activities","ASR Outdoor","Orange","China","","","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Cotton","1","3","*(1) Hand Warmer","","0.05","2","HWHP8HR1-12",""
"SON-MSPT-35X9","","Magnetic Separator Pick Up Tool Quality 16 lbs Quick Release Handle - Large","ASR Outdoor","Black","China","","MSPUT","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Metal","9","3.5","*(1) Magnetic Pick-Up Tool","","0.66","3.5","MSPUT","MSPUT"
"SON-AOPMTSFGP-SML-GRY","","ASR Outdoor 2 Inch Precious Metal Testing Stone for Gold Panning","ASR Outdoor","Gray","China","Tester","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Metal","1","2","*(1) ASR Outdoor Testing Stone","","0.08","2","ASRGTS",""
"SON-HAND-TROWEL-ORANGE","","ASR Outdoor - 11 inch Heavy Duty Hand Trowel - Orange","ASR Outdoor","Orange","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","30 Day Limited Against Defects","","Nylon","1.5","11","(1) Hand Trowel","","0.14","3","TROWELORANGE",""
"SON-CMHN-ONE-CM","","ASR Outdoor Unisex Mosquito Head Net, Insect Repellant Bug Hat for Camping","ASR Outdoor","Camo","China","","","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Polyester","1","4","(1) Mosquito Head Net","1","0.06","4","Mos-Net-1",""
"SON-AO40LWRDS","","ASR Outdoor Ultimate Dry Sack 40L PVC Water Resistant 9 Inch Diamater","ASR Outdoor","Red","China","","40LMDS","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","PVC","2","18","*(1) 40L Water Resistant Dry Sack","","2","4","40LMDS",""
"SON-HDMETRSB-2PC-LG-SLVRORNG","","ASR Outdoor Reusable Thermal Mylar Emergency Blanket Sleeping Bag Bivvy Sack 40um Thickness","ASR Outdoor","Orange","China","","HDMESB","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Mylar","3","6","*(1) Emergency Sleeping Bag*(1) Draw String Carry Case","","0.4","3","HDMESB",""
"SON-SSESM-SML-SLVR","","ASR Outdoor Stainless Steel Emergency Signaling Mirror Camping Hiking Emergency Tool","","Silver","China","","","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Metal","1","3","*(1) Stainless Steel Signalling Mirrors","","0.3","1","SM-1PK",""
"ASR-ETB84X-BUN-4PK-84X52-SLVR","","ASR Outdoor Emergency Winter Blanket Insulated Thermal Reflector 4pk","ASR Outdoor","Silver","China","","EB_TB2","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Mylar","2","5","(4) Emergency Blankets - 84"" X 52""","","0.4","2","EB_TB2",""
"ASR-FBPWP-BUN-100PK-SML-BLCK","","Bendable Pen Flexible Ball Point Writing Pen Tool Non Lethal 100pk","ASR Federal","Black","United States","","100PPP-1","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Rubber","4","4","*(100) Prison Pen","","0.58","6","PP100-4",""
"SHM-SHK-175-SLVR","","Universal Fit Standard Issue Law Enforcement Standard Handcuff Key - 1pk","ASR Tactical","Silver","United States","","SHK","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Steel","0.2","1.75","*(1) Handcuff Key","","0.1","0.5","SHK",""
"ASR-MEDIUMSIZECARABINERSKEEP","","Aluminum Colored Carabiner Key Chain Spring Clip Medium Size Assorted Colors 6pk","ASR Outdoor","Multi-Color","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","","0.5","2","*(6) Colored Carabiner Key Chain - Medium","","0.5","1","ACK-275x7-6PK",""
"ASR-NONMETALLICHANDCUFFKEY","","Lot of 5 Universal Standard Fit Handcuff Keys Standard Issue Covert Spy","Universal","Black","","Non-Metallic","SG12","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Stainless Steel","1","2","(5) Non-Metallic Handcuff Keys","","0.1","2","SG12",""
"SON-EOESPTC-2P-RD","","ASR Outdoor Emergency Essential Survival Pop Tent Canopy for Camping Hiking - Red","ASR Outdoor","Red","China","","POPTENT","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Polyethylene","5","12","(1) Camping Tube Tent","1","0.8","10","POPTENT",""
"SON-UFDSVHVO-29-ORNG","","Universal Safety Disposable Vest High Visibility One Size Fits Most Orange","","Orange","China","","DOSF","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","PVC","1","4","*(1) Disposable Orange Safety Vest","","0.1","4","DOSF",""
"SON-ACCKCSCMS-275-ASSRTD","","Aluminum Colored Carabiner Key Chain Spring Clip Medium Size Assorted Colors","","Multi-Color","China","","ACK-275x7-389","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Aluminum","0.5","2","(1) Colored Carabiner Key Chain - Medium","","0.2","1","ACK-275x7-389",""
"SON-AO11NUBAP-11-BLCK","","ASR Outdoor 11"" Utility Belt and Pouch Heavy Duty Nylon 3 Pockets Carabiners","ASR Outdoor","Black","China","","ASRHDUB","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Plastic","3","10","*(1) Black Nylon Utility Belt","","0.75","6","ASRHDUB",""
"ASR-SURVIVALCAMPINGBASICSKILLS","","(2 Pack) 5 in 1 Survival Whistle Orange","Universal","Orange","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Plastic","1","7","(2) ASR Outdoor Emergency Survival 5 in 1 Whistle","","0.2","3","ASR-00314",""
"CHAINSAW-SHARPENING-BURR-5/32","","5/32"" Chain Saw Diamond Sharpening Burr 1/8"" Shank ASR Outdoor","ASR Outdoor","Silver","China","","FDS9826","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Stainless Steel","5","2.5","*(1) Diamond Sharpening Burr Shank","1","0.02","0.5","FDS9826",""
"CHAINSAW-SHARPENING-BURR-7/32","","ASR Outdoor 7/32"" Chain Saw Diamond Sharpening Burr 1/8"" Shank 120 Grit","ASR Outdoor","Silver","China","","FDS98266","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Stainless Steel","5","2.5","*(1) Diamond Sharpening Burr Shank","1","0.02","0.5","FDS98266",""
"COLLAPSIBLE-WATER-CARRIER-3-75-GALLON","","ASR Outdoor Collapsible Water Carrier with Handle 3.75 Gallon Hiking Camping","ASR Outdoor","clear","","","","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","PVC","9.25","15","*(1) ASR Outdoor Collapsible Water Carrier- 3.75 Gallon","1","0.46","1.5","SDFN8202",""
"SON-FSMPFWSS-SML-BLCK","","Fire Starter Camping Survival Magnesium Pocket Flint Grip Handle","","Black","China","","","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Magnesium","1","4","*(1) Magnesium Fire Starter","","0.15","2.5","FS374",""
"SON-CEGRKCFFAKOG-11PC-SML-CLR","","Universal Compact Eye Glasses Repair Kit with Screwdriver, 11pc","Universal Tool","Clear","China","","G_RK1-135","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Metal","1","6","(1) 11 Piece Glasses Repair Kit","11","0.1","3","G_RK1-135",""
"SON-WBSTAS-28PC-28PC-BRNZ","","28pc Wood Burning Wood Working and Assorted Soldering Tips Stencil Set Crafting","Universal Tool","Bronze","China","","28WBTS-750","","","","","WARNING: This product may contain chemicals including lead and lead compounds known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Metal","1","6","(10) Assorted Wood Carving Tips(5) Assorted Wood Embossing Tips(10) Assorted Wood Burning & Soldering Tips(1) Hot Knife Chuck(1) Blade(1) Letters Stencil(1) Number & Basic Symbols Stencil","29","0.3","3","28WBTS-750",""
"SON-PHWWKS-16PC-STD-BL","","Hobby Knife Precision Set 16pc Exacto Blades Cutting Sculpting Craft Hobby DIY","","Blue","China","","16HKS-677","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Steel","1","8","(3) Precision Knives(2) #2 Blades(1) #7 Blade(1) #10 Blade(3) #11 Blades(1) #12 Blade(1) #17 Blade(1) #19 Blade(1) #20 Blade*(1) #21 Blade*(1) #22 Blade","16","0.3","8","16HKS-677",""
"MCN-GARPC10OZ-10OZ","MCN-REVIVEXPROCLEANER-PARENT","Gear Aid ReviveX Pro Cleaner 4x Concentrate Outdoor Equipment Clothing - 10 oz","Gear Aid","Whites","United States","","","","","","","","","","","Plastic","2.5","8","(1) Gear Aid Pro Cleaner","","0.88","2.5","GARPC",""
