"sku","parent.sku","name","brand_ebay","color","country_of_origin","type","model","features_ebay","theme","pattern","shape","prop65_warn_type","suitable_for","warranty","department_ebay","material","height","length","package_includes","number_of_pieces","weight","width","mpn","mpn_ebay"
"DLX-NAILFILES-18PC","","Home Essentials Nail Files Buffers Emery Boards Beauty Tools Set Mani Pedi 18pc","Home Essentials","Pink","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Emery Board","0.25","8","(18) Assorted Nail Files","","0.08","5","HE18NFSAS",""
"DLX-NAILTOOLSET-3PC","","Home Essentials Professional Manicure Pedicure Nail Art Tool Set 3 Pieces","Home Essentials","Blue","China","Manicure Tool","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Stainless Steel","0.25","7.25","(1) 3 Piece Nail Care Tool Set","","0.08","4","HE3PCNTS",""
"UPD-FLOWERCLIP-11496446-PRINCESS","","Disney Princess Purple Flower Hair Clip Accessory for Girls Dress Up","Disney","Purple","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Polyester","1","5","(1) Disney Princess Flower Clip","","0.04","4","11496446",""
"UPD-FIDGETTOY-PW418-PNK","UPD-FIDGETTOY-PW418-PARENT","Paw Patrol Push Pop It Sensory Fidget Toy Stress Relief for Kids Keychain - Pink","","Pink","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Rubber","0.5","4.5","(1) Paw Patrol Fidget Toy","","0.1","4.5","PPFTPNK1",""
"DOY-4PRONGCLOCKKEY-EVEN","","Universal Tool Antique Grandfather Brass Clock Key 4 Prongs - Even Numbers","Clock","Gold","China","Master Clock","","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Brass","1","2","(1) 4 Way Brass Clock Key (Even)","1","0.1","2","ATGFCKEVN",""
"DOY-4PRONGCLOCKKEY-ODD","","Universal Tool Antique Grandfather Brass Clock Key 4 Prongs - Odd Numbers","Clock","Gold","China","Clock","","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Brass","1","2","(1) 4 Way Brass Clock Key (Odd)","1","0.1","2","ATGFCKODD",""
"DOY-GARDENKIT-BUN","","ToolTreaux Garden Tools Set with Fork Hoe Rake Shovel Spade Digger Gloves 9pc","ToolTreaux","Black","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Nylon","10","15","(1) Tool Bag(1) 9 Piece Gardening Tool Set","","4","9","TTGARD9PCBUN",""
"DOY-NORALACE-2500-PARENT","","ASR Tactical TitanLace 2500 Technora Work Boot Lace (Multiple Sizes and Colors)","ASR Tactical","","United States","","","","","","","","","","","2500lb Technora Cord","1","3","(2) Technora Boot Laces","","0.1","1","",""
"SON-FOLDING-SHOVEL-87950MS","","ASR Outdoor 16"" 3 IN 1 Emergency Preparedness Mini Folding Shovel Pick and Saw","","","","","","","","","","","","30 Day Limited Against Defects","","","3.8","16.1","","","1.35","9.5","MFSPS",""
"SON-STRETCHLAMP-200L","","ASR Outdoor 3 in 1 Head Lamp 1.5 Watt COB Bulb 200 Lumen LED Light 3 Stages","ASR Outdoor","White","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Plastic","0.5","2.5","(1) ASR Outdoor Headlamp","","0.08","1.5","ASROSHL200L",""
"SHM-UV9LF-SML-BLCK","","ASR Federal 51 LED UV Black Light 395nm Dual Mode Flashlight 6 Inch","ASR Federal","Black","China","","9LEDUV-957","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Metal","1","4","(1) Flashlight(1) Carrying Case(3) AAA Batteries","5","0.3","4","9LEDUV-957",""
"HWK-CARRYALLBAG-13PCKT","","ASR Outdoor 13 Pocket Treasure Hunter Metal Detector Bag for Rock Hounding, Gold Prospecting","","Green","China","","Metal Detector Bag","ASR Outdoor","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Nylon","5","15","(1) Nylon Tote Bag","","1.8","13","NYLCOTB13",""
"DOY-STORCONT-4COMP","","ToolTreaux Clear 4 Compartment Plastic Pop Top Storage Organizer","","Clear","","","","4 Compartments","Hobby","","","About California Proposition 65 Proposition 65, officially the Safe Drinking Water and Toxic Enforcement Act of 1986, is a law that requires warnings be provided to California consumers when they might be exposed to chemicals identified by California as causing cancer or reproductive toxicity. The warnings are intended to help california consumers make informed decisions about their exposures to these chemicals from the products they use. The California Office of Environmental Health Hazard Assessment (OEHHA) administers the Proposition 65 program and publishes the listed chemicals, which includes more that 850 chemicals. In August 2016, OEHHA adopted new regulations, effective on August 30, 2018, which change the information required in Proposition 65 warnings. This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Plastic","1","4","(1) 4 Compartment Storage Container","","0.2","3.3","TT4COMPORG",""
"EVR-CANVAS-BACKPACK-PARENT","","ASR Outdoor 30L Heavy Stitch Gold Panning Backpack Camping Canvas Rucksack","ASR Outdoor","Black","China","","","","","","","","","","","Canvas","19.5","12.5","(1) Black Canvas Backpack","","1.86","7","",""
"EVR-GRIPTAPEBP-ODGRNNVY","","ASR Outdoor 19L Griptape Backpack Dual Zip Two Tone Navy OD Green Travel Bag","ASR Outdoor","Green","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","None","Men","600D Polyester","6.5","17","(1) ASR Outdoor Two Tone Backpack","","0.92","12","ASRODTGTBPGRNNVY",""
"EVR-ROUNDDUFFE23L-BLK","","ASR Outdoor Round Duffel Bag Adjustable Shoulder Strap Travel 16 Liter","ASR Outdoor","Black","China","","","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","None","Men","600D Polyester","9","16","(1) ASR Outdoor Classic Round Duffel Bag","","0.9","9","ASRO21RDBBLK",""
"FLL-BOSDTBO-L375LD5-BLCK","","Battle Round Personal Bottle Opener Stealth Key Chain","Flatline Ops","Black","United States","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","6061-T6 Aircraft Aluminum","2","4","*(1) Battle Opener Bottle Opener Self Defense Tool Key Chain","","0.1","4","BOBO1",""
"FLL-FOHHAM30MM-30MM-BLCK","","Flatline Ops 30mm Rifle Scope Mount ADI/ACI Ring System for Scopes","Flatline Ops","Black","United States","","FOHH30MM","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Alloy Steel","2","4","*(1) Hitch-Hiker ADI/ACI Mounting System for 30mm","","0.1","4","FOHH30MM",""
"FLL-HALOXLEVEL-PARENT","","Flatline Ops Halo-X Ultra Precision Rigid Scope Level Bubble (Multiple Sizes)","","","United States","","","","Shooting Accuracy","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Aluminum","1","2","","","0.1","1.5","30030-HXB",""
"FLL-HNHSTBAT","","Flatline Ops Nylon Hanging Strap Bag Attachment Snap Hook (Tan)","Flatline Ops","","United States","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Nylon","5","4.5","*(1) Tan Hooker Nylon Hanging Strap","","0.1","5.5","HSA-T",""
"FLL-SLIDECOVERPLATE-PARENT","","Flatline Ops Rear Slide Gun Back Butt Plate Cover for Glock Firearm Accessory","Flatline Ops","","United States","Rails & Covers","FLOSGP0000-523","","","","","","","","","","1","1","","","0.1","1","FLOSGP0000-523",""
"SON-DHDCUT-2PC-4-SLVR","","7 Function Small Pocket Camping Utensil Flatware, Spoon Fork Knife","Universal Tool","Silver","China","Multi-Tools","MTU3","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Stainless Steel","1.5","4.5","*(1) Camping Utensil*(1) Carrying Case","","0.36","2","7DCUT",""
"NPT-STK440SS-3PC-6-SLVR","","ASR Tactical 3 Piece Throwing Knife Set 440 Stainless Steel with Compact Carrying Case","ASR Tactical","Silver","China","","3TKSS-247","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Stainless Steel","1","7","*(3) 440 Stainless Steel Throwing Knives*(1) Black Carrying Case","","0.34","2","3TKSS-247",""
"SON-SFKFHSS-P-GRY","","Small Field Knife Pocket Fishing Tackle Box Grooved Angle Sharpening Stone","","Grey","China","","FH_SS-23","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Stone","2","8","(1) Sharpening Stone","","0.1","5","FH_SS-23",""
"SON-35ISTSSSTS-35-SLVR","","Stainless Steel Tailors Stork Craft Scissors Straight Sharp Tip, 3.5 inch","Universal Hobby","Silver","China","","SSSS-1-900","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Stainless Steel","1","7","*(1) Tailor's Stork Scissors","","0.1","3","SSSS-1-900",""
"HWC-AFLDIH-STD-BLCK","HWC-ASRF-DOUBLEIDHOLDER-PARENT","ASR Federal Leather Bifold Minimalist Double ID Card Holder, Black","ASR Federal","Black","United States","","ASRTDIDH-83100-000","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Leather","0.2","7","(1) Black Leather Double ID Holder","1","0.12","5","ASRTDIDH-83100-000",""
"HWC-AFLENCBAIH-STD-BLCK","","ASR Federal 3 in 1 Leather ID Badge Holder Police Gear with Lanyard Neck Chain, Belt Clip Attachment, Black","","","","","","","","","","","","","","","0.2","3","","","0.12","3","BLBNC2",""
"HWC-HIDDENBADGERFID-PARENT","","ASR Federal Leather Police Bifold RFID Wallet Badge Holder with Removable ID Card Holder (Round, Shield, Oval), Black","","Black","United States","","","","","","","","","","","","0.2","4.5","","","0.24","3.5","18208",""
"HWC-LEATHERBADGEHOLDER-BLACK","","ASR Federal 2 in 1 Leather ID Badge Holder Police Gear with Lanyard Neck Chain, Black","ASR Federal","Black","United States","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","Men","Leather","0.5","4.5","(1) Badge Holder (1) Neck ChainPlease Note: Does Not Include Badge","","0.25","3.25","LBH001",""
"HWK-10POCKETTOOLBELT-PARENT","","Deluxe Carpenter Tool Belt Pouch Heavy Duty Suede Leather Fits Hammer And Nails","","","China","","","","","","","WARNING: This product may contain chemicals known to the State of California to cause, cancer, birth defects or other reproductive harm","","","","","7","13","","","1","10","33050",""
"HWK-10POCKETTOOLBELT-PARENT-TT","","ToolTreaux 10 Pocket Suede Leather Tool Pouch Hammer Drill Tool Bag","","","China","","","","","","","WARNING: This product may contain chemicals known to the State of California to cause, cancer, birth defects or other reproductive harm","","","","","7","13","","","1","10","33050",""
"HWK-ATESB-144PC","","144pk ASR Tactical Escape Saw Blades Outdoor Emergency and Personal Defense","ASR Tactical","Black","China","","TZ3144-674","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Steel","0.5","5","(1) Pack of 144 ASR Tactical Escape Saw Blades","144","0.05","4","TZ3144-674",""
"HWK-CAMPINGVEST-8PKTS","","ASR Outdoor Nylon Camping Vest Gold Panning Adjustable Hunting Fishing Jacket","","Brown","China","","","ASR Outdoor","","","","About California Proposition 65 Proposition 65, officially the Safe Drinking Water and Toxic Enforcement Act of 1986, is a law that requires warnings be provided to California consumers when they might be exposed to chemicals identified by California as causing cancer or reproductive toxicity. The warnings are intended to help california consumers make informed decisions about their exposures to these chemicals from the products they use. The California Office of Environmental Health Hazard Assessment (OEHHA) administers the Proposition 65 program and publishes the listed chemicals, which includes more that 850 chemicals. In August 2016, OEHHA adopted new regulations, effective on August 30, 2018, which change the information required in Proposition 65 warnings. This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","Unisex Adults","Nylon","2","23.5","(1) ASR Outdoor Nylon Camping Vest","","1","20","ASRONCVST23",""
"HWK-LEATHAPRON-PARENT","","ToolTreaux Unisex Large Leather Workshop Apron Full Body with Pockets","","","","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Leather","1","36","(1) Leather Workshop Apron","","1.22","25","TTLEATHAPRNBLK",""
"HWK-TAILORSSCISSORS-12IN","","ToolTreaux Stainless Steel Heavy Duty Fabric Scissors Sewing Supplies, 12 Inch","ToolTreaux","Silver","Pakistan","","","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","30 Day Limited Against Defects","","Stainless Steel","0.5","12","(1) ToolTreaux 12\"" Fabric Scissors","","0.96","3","TTFSSS12IN",""
"HWK-TAILORSSCISSORS-PARENT","","ToolTreaux Stainless Steel Heavy Duty Fabric Scissors Sewing Supplies (3 Sizes)","","","China","","","","","","","","","","","","","","","","","","",""
"HWK-TOOLBELT-PARENT","","9 Pocket Carpenter Tool Belt Heavy Duty Suede Leather Fits Hammer And Nails","","","China","","","","","","","","","","","","9","22","","","2","8","67105",""
"HWK-TOOLBELT-PARENT-HPN","","7 Pocket Suede Leather Tool Belt with Heavy Duty Nylon Belt with Quick Release","","","China","","","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","","9","22","","","","8","67105",""
"HWK-TOOLBELT-PARENT-TT","","ToolTreaux 9 Pocket Leather Tool Belt Large Hammer Drill Tool Pouch","","","China","","","","","","","","","","","","4","9","","","1.5","8","67105",""
"HWK-TT-10PCKTTOOLPOUCH-TAN","HWK-TT-TTOOLBELT-TAN-PARENT","ToolTreaux 10 Pocket Heavy Duty Leather Tool Pouch DIY Woodworking, 12 x 10 Inch","","Brown","","","","Heavy Duty Leather Fabrication","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Leather","4","12","(1) Tool Pouch","","1.6","10","10TTTBP",""
"HWK-TTX-METALSIFTSET-5PC","","ToolTreaux Interchangeable Fine Mesh Sieve Set Gardening Composting Tools, 5pc","","Silver","","","","Interchangeable Sifting Screens","","","","About California Proposition 65 Proposition 65, officially the Safe Drinking Water and Toxic Enforcement Act of 1986, is a law that requires warnings be provided to California consumers when they might be exposed to chemicals identified by California as causing cancer or reproductive toxicity. The warnings are intended to help california consumers make informed decisions about their exposures to these chemicals from the products they use. The California Office of Environmental Health Hazard Assessment (OEHHA) administers the Proposition 65 program and publishes the listed chemicals, which includes more that 850 chemicals. In August 2016, OEHHA adopted new regulations, effective on August 30, 2018, which change the information required in Proposition 65 warnings. This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Stainless Steel","2","8.5","5pc","","0.82","8.5","5004300",""
"HWK-TTX-SIFTSETBACKPACK-6PC-BUN","","ToolTreaux Interchangeable Fine Mesh Sieve Set with Drawstring Backpack, 6pc","","Black","","","","Interchangeable Screens","","","","About California Proposition 65 Proposition 65, officially the Safe Drinking Water and Toxic Enforcement Act of 1986, is a law that requires warnings be provided to California consumers when they might be exposed to chemicals identified by California as causing cancer or reproductive toxicity. The warnings are intended to help california consumers make informed decisions about their exposures to these chemicals from the products they use. The California Office of Environmental Health Hazard Assessment (OEHHA) administers the Proposition 65 program and publishes the listed chemicals, which includes more that 850 chemicals. In August 2016, OEHHA adopted new regulations, effective on August 30, 2018, which change the information required in Proposition 65 warnings. This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Stainless Steel","2","8.5","(1) Sieve Set, (1) Backpack","","0.85","8.5","0043U210DSB",""
"IGE-BSHCDSTU-36W","","Brief Safe Travel Security Hidden Contents Diversion Safe Wallet Passport Protector","IGE Innovative Internet Products","White","United States","","TBS-A-889","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Cotton","1.2","6.1","(1) Brief Safe","","0.3","5.3","TBS-A-889",""
"KEVLAR-200-CORD-PARENT","","Cord Made with Kevlar Survival Paracord Rope 200lbs Strength (Various Lengths)","ASR Tactical","","","","ASRKEV013-408","","","","","","","","","Kevlar","6","12","(1) Kevlar Survival Cord Rope","","1","6","ASRKEV013-408",""
"KOL-ASRO-EMTENT-SLVR","","ASR Outdoor 2 Person Reflective Emergency Shelter Lightweight Waterproof Tent","","Silver","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Reflective","0.5","9","(1) ASR Outdoor Emergency Shelter","","0.35","6","ASROEMTSLV1",""
"KOL-CAMPUTENSILS-HI006","","ASR Outdoor 3pc Reusable Backpacking Camping Travel Cutlery Plastic Utensils Set","ASR Outdoor","Grey","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Plastic","0.25","6","(1) 3pc Camping Cutlery Set","","0.05","1","CCS3PCGRY",""
"KOL-FRUITVEGGIEPEELER-PARENT","","Universal Handy Helpers Fruit and Vegetable Peeler Dishwasher Safe (2 Colors)","Universal","","","","","","","","","","","","","Plastic","1","7","","1","0.1","1","FRVEPEPAR",""
"LST-48PCTRUCK-MY020-PARENT","","Kidplokio Giant Engines 1:32 Scale Semi Truck Construction Cargo Carrier Toy Set, Ages 3-12, Blue or Red","Kidplokio","","China","","","","","","","","","","","","","","","","","","",""
"LST-BOATHAULER-YX5899-KPKO","","Kidplokio Friction Power Off Road Monster Truck Toy Boat Trailer Hitch, Red, Boys Ages 3 and Up","Kidplokio","Red","China","","","","Monster Truck","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Plastic","7","22","(1) Monster Truck Speed Boat Hauler","","1.75","7","KPKO-TMBH21",""
"LST-CONSTRUCTION-RED","LST-CONSTRUCTION-PARENT","TychoTyke Construction and Rescue Tools Truck with Light and Sound Red","TychoTyke","Red","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Plastic","8.25","15","(1) Transport truck","","2.2","6.25","CRTR",""
"LST-CONSTRUCTION-YLW","LST-CONSTRUCTION-PARENT","TychoTyke Construction and Rescue Tools Truck with Light and Sound Yellow","TychoTyke","Yellow","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Plastic","8.25","15","(1) Transport truck","","2.2","6.25","CRTY",""
"LST-DIECASTCARSET-PARENT","","KidPlay Deluxe Die Cast Car City Set Racing Airport Military Fire Construction","KidPlay Products","multi-colored","","","DCC-0023","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Diecast","1","18.5","Die Cast Race Cars","","1.34","14","DCC-0023","KPDCCS"
"LST-DINOTRUCK-ORG","LST-DINOTRUCK-PARENT","TychoTyke 12pc Dinosaur Toys Action Figures with Toy Truck Storage Playset, Lights Sounds, Orange, Boys Ages 3+","TychoTyke","Orange","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Plastic","8.5","15","(1) Toy Truck(5) Dinosaurs(6) Accessories(3) Batteries","12","2.3","6.25","JPDT",""
"LST-GALAXYSRD-PARENT","","Kidplokio Galaxy Space Sword Interactive Toy Real Lights and Sounds (2 Colors)","","","","","","Toy Sword","","","","About California Proposition 65 Proposition 65, officially the Safe Drinking Water and Toxic Enforcement Act of 1986, is a law that requires warnings be provided to California consumers when they might be exposed to chemicals identified by California as causing cancer or reproductive toxicity. The warnings are intended to help california consumers make informed decisions about their exposures to these chemicals from the products they use. The California Office of Environmental Health Hazard Assessment (OEHHA) administers the Proposition 65 program and publishes the listed chemicals, which includes more that 850 chemicals. In August 2016, OEHHA adopted new regulations, effective on August 30, 2018, which change the information required in Proposition 65 warnings. This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Plastic","2","20","(1) Galaxy Space Sword","","0.95","7.5","KPLGLXSRDGRN1","LSTKPLGSGR"
"LST-TWTTDRCCS-7PC-LG-RD","","7pc Thunder Wheels Die Cast Auto Hauler Toy Truck Diecast Race Car Carrier, Ages 3-12","KidFun Products","Red","China","","TT-01-343","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Plastic","5","14","*(1) Auto Hauler Car Carrier Toy Truck*(6) Diecast Colored Race Cars*Handle on truck","","1.06","3","TT-01-343",""
"LST-KIDSGOLFCADDYSET-BLUE","","KidPlay Products Kids Toddler Outdoor Golf Club Pretend Play Set - Blue","","Blue","China","","KPPPPGS-B","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Plastic","5","20","(1) KidPlay Products Pretend Play Golf Caddy Set - Blue","9","0.8","5","KPPPPGS-B",""
"LST-KIDSGOLFCADDYSET-RED","","KidPlay Products Kids Toddler Outdoor Golf Club Pretend Play Set - Red","","Red","China","","KPPPPGS-R","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Plastic","5","20","(1) KidPlay Products Pretend Play Golf Caddy Set - Red","9","0.8","5","KPPPPGS-R",""
"LST-KPL-DIECASTCARSET-50PC","LST-KPL-FASTLANE-PARENT-PZ-AMZ","Kidplokio Ultimate Fleet 50pc Multicolor Diecast Toy Cars Playset for Boys, Ages 3+","Kidplokio","Multicolor","China","","","","Toy Cars","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Metal","1","18.5","(50) Die Cast Race Cars","","1.75","14","KPL50729905",""
"LST-KPL-DIYPOLCESTATIONKIT-BLU-660A2","LST-KPL-DIYKIT-PARENT","Kidplokio 8pc City Transport Playmat Set Friction Power Police Cars Boys 3 and Up","","Police Station","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Plastic","16","11","(1) 8pc Police Cars Play Set","","1.02","3","KP2A066BLPS",""
"LST-KPL-PIRATESHIP-RED","LST-KPL-PIRATESHIP-PARENT","Kidplokio Pirate Ship Ocean Adventure Playset with Lights Sounds Action Figures, Red, Boys, Ages 3+","Kidplokio","Red","China","","","","Pirate","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","30 Day Limited Against Defects","","Plastic","9","11","(1) Pirate Ship(3) Pirate Action Figures","","1.24","4","C019080RD",""
"LST-LUFERTWFUB-RD-BUN","","Fire Engine Rescue Truck with Firefighter Utility Bucket","KidFun Products","Red","China","","FERT27","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","plastic","5","14","*(1) Fire Engine Rescue Truck and Ladder with Bucket*(4) 1.5V LR44G Batteries","","1","4","FERTFUB",""
"LST-MONSTERATV-PARENT","","Kidplokio Monster Trucks ATV Off Road Friction Toys Trailer Pull Back Cars","","","","","","Friction Toys","","","","About California Proposition 65 Proposition 65, officially the Safe Drinking Water and Toxic Enforcement Act of 1986, is a law that requires warnings be provided to California consumers when they might be exposed to chemicals identified by California as causing cancer or reproductive toxicity. The warnings are intended to help california consumers make informed decisions about their exposures to these chemicals from the products they use. The California Office of Environmental Health Hazard Assessment (OEHHA) administers the Proposition 65 program and publishes the listed chemicals, which includes more that 850 chemicals. In August 2016, OEHHA adopted new regulations, effective on August 30, 2018, which change the information required in Proposition 65 warnings. This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Plastic","6","18","(1) Monster Truck Playset","","1.5","6","KPMONATVBLU1","KPMONATV"
"LST-SEMITRUCK-666-10K-ASST","LST-KPL-FASTLANE-PARENT-PZ-AMZ","Kidplokio 1:24 Scale Diecast Hot Rod Car Carrier for Toy Race Cars, Boys Ages 3-8","Kidplokio","Assorted","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Plastic","5","18","(1) Mighty Transporter Truck Toy","","1.76","6.5","KPSEMTRKLRED",""
"LST-SMKFPMTSBHPS-KPP-BUN","","Path Blazer Friction Power Monster Truck Speed Boat Hauler With Trailer","KidPlay Products","Red","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Plastic","7","22","*(1) Path Blazer Friction Monster Truck*(1) Detachable Trailer with Speed Boat","2","1.75","7","SKBH-1NWKP","YX5899 (Red Truck)"
