"sku","parent.sku","name","character_walmart","modelnumber_walmart","pattern_walmart","theme_walmart","special_features_amazon","mpn_amazon","number_of_pieces_amazon","style_name_amazon","scale_name_amazon","light_source_type_amazon","outer_material_type_amazon","color_amazon","capacity_walmart","frame_material_type_amazon","recommendedroom_walmart","mounting_type_amazon","team_name_amazon","size","design_amazon","vehicletype_walmart","auto_part_position_amazon","sportvalue_walmart"
"ASR-SURVIVALCAMPINGBASICSKILLS","","(2 Pack) 5 in 1 Survival Whistle Orange","","","","","","","","","","","","","","","","","","","","","",""
"CHAINSAW-SHARPENING-BURR-5/32","","5/32"" Chain Saw Diamond Sharpening Burr 1/8"" Shank ASR Outdoor","","","","","","","","","","","","Silver","","","","","","5/32""","","","",""
"CHAINSAW-SHARPENING-BURR-7/32","","ASR Outdoor 7/32"" Chain Saw Diamond Sharpening Burr 1/8"" Shank 120 Grit","","","","","","","","","","","","Silver","","","","","","3/16""","","","",""
"COLLAPSIBLE-WATER-CARRIER-3-75-GALLON","","ASR Outdoor Collapsible Water Carrier with Handle 3.75 Gallon Hiking Camping","","","","","","","","","","","","clear","","","","","","","","","",""
"SON-FSMPFWSS-SML-BLCK","","Fire Starter Camping Survival Magnesium Pocket Flint Grip Handle","","","","","","","","","","","","","","","","","","Small","","","",""
"SON-CEGRKCFFAKOG-11PC-SML-CLR","","Universal Compact Eye Glasses Repair Kit with Screwdriver, 11pc","","","","","","","","","","","","Clear","","","","","","Small","","","",""
"SON-WBSTAS-28PC-28PC-BRNZ","","28pc Wood Burning Wood Working and Assorted Soldering Tips Stencil Set Crafting","","","","","","","","","","","","Bronze","","","","","","28pc","","","",""
"SON-PHWWKS-16PC-STD-BL","","Hobby Knife Precision Set 16pc Exacto Blades Cutting Sculpting Craft Hobby DIY","","","","","","","","","","","","Blue","","","","","","Standard","","","",""
"MCN-GARPC10OZ-10OZ","MCN-REVIVEXPROCLEANER-PARENT","Gear Aid ReviveX Pro Cleaner 4x Concentrate Outdoor Equipment Clothing - 10 oz","","","","Outdoor, Camping, Hiking","","","","","","","","","","","","","","12 oz","","","",""
"SON-JEL14XMFPHCP-14X-BLCK","","Jewelers Eye Loupe 14X Magnification for Precision Hobby Arts and Craft Projects","","","","","","","","","","","","Black","","","","","","14x","","","",""
"MCN-SCNRKFDGWPAB-2OZ-BLCK","","GEAR AID Aquaseal NEO Contact Cement for Neoprene and Wetsuit Repair, 1.5 fl oz","","","","Outdoor, Camping, Hiking","","","","1.5 fl oz","","","","Black","","","","","","2oz","","","",""
"SON-HDLHPS-6PC-C-SLVR","","6pc Universal Heavy Duty Leather Hollow Punch Set","","","","","","","","","","","","Silver","","","","","","Compact","","","",""
"SON-UTCHDF-10-WDN","","Universal Tool 10 Inch Chasing Hammer Dual Face 6oz Jewelry Metalworking Tool","","","","","","","","","","","","","","","","","","10""","","","",""
"SON-SMEEBO-83X51-ORNG","","ASR Outdoor Survival Blanket Mylar Extreme Emergency Accessory Orange","","","","","","","","","","","","","","","","","","83 x 51 inch","","","",""
"SON-HAPDSHPTS-4PC-SML-YLLW","","4pc Hook and Pick Deluxe Swivel Handle Precision Tool Set for Home Improvement","","","","","","","","","","","","","","","","","","","","","",""
"SON-CKK12ITSHSR-12E-SLVR","","Beille 12 Inch Steel Sharpening Rod for Knives Knife Sharpeners Kitchen Gadgets","","","","","","","","","","","","","","","","","","12 inches","","","",""
"SON-ESSBL-LG-SLVR","","Emergency Sleeping Bag Mylar Insulated Heat Light Weight 84x36 Inch","","","","","","","","","","","","","","","","","","Large","","","",""
"SON-HSSADF40IW-STD-WHT","","Hanging Strips Self Adhesive Hook and Loop 40 inch Decor Fastener - White","","","","","","","","","","","","White","","","","","","Standard","","","",""
"DEL-EXFOLBATHMITT-WHITE","","Universal Home Soothing Exfoliating Bath Mitt Shower Accessory - White","","","","","","","","","","","","White","","","","","","6.5""","","","",""
"SON-AOBSFARLTLS-5X5X1-RD","","ASR Outdoor Bike Safety Flashlight and Red LED Flasher 2pc","","","","","","","","","","","","","","","","","","5\"" x 5\"" x 1\""","","","",""
"SON-15IFSCFNP-15-ORNG","","Heavy Duty Flat Nail Puller Forged Steel Cats Paw Carpenters 15 Inches","Paw Patrol","","","","","","","","","","","","","","","","","15 Inch","","","",""
"SON-SDEPS-4PC","","Double Ended Steel Pick Set with Grooved Grip Metal Working Pottery Craft Tools","","","","","","","","","","","","Silver","","","","","","","","","",""
"UPD-4PCSTICKERS-BABYYODA-HPNR","","Star Wars ""The Child"" 4 Sheet Sticker Pad, 200+ Stickers","Licensed","","","Stationery","","","","","","","","Multi","","","","","","4pc","","","",""
"DLT-BIBLEBOOK-280505-2PK-ASST","","Colortivity Bible Fun Coloring Book with Activities for Kids 96pg 2pk Assorted","","","","","","","","","","","","Multi-colored","","","","","","Standard","","","",""
"DLT-LICENSEDMARKER-MINI-PARENT","","Licensed Characters Art Supplies Non-Toxic Mini Felt Marker Set for Kids - 8pc","","","","","","","","","","","","","","","","","","","","","",""
"UPD-AVENGERS-DARTBLASTER-28227AVG","","Marvel Avengers Super Hero Suction Dart Blaster with Targets","","","","","","","","","","","","","","","","","","Small","","","",""
"UPD-MINNAILKIT-4PC","","Minnie Mouse BFF Complete Manicure Pediure Girls Fashion Nail Kit - 4pc","Minnie Mouse","","","","","","","","","","","Pink","","","","","","Medium","","","",""
"DLX-SWIMGOGGLES-PARENT","","Kidplokio Kids Swimming Goggles Childrens Swim Mask and Carry Case (3 Colors)","","","","","","","","","","","","","","","","","","","","","",""
"DLX-WORKGLOVES-ORG","","Universal Tool One Size Hi-Vis PVC Dot Grip Safety Work Gloves Orange - 1 Pair","","","","","","","","","","","","","","","","","","One Size Fits Most","","","",""
"DOY-CERAMIC-WHT-10PK-PARENT","","ToolTreaux White Ceramic Box Cutter Utility Knife Replacement Blades Craft Supplies, 10pk","","","","","","","","","","","","","","","","","","","","","",""
"DOY-FLASHLIGHTSPYULTRAVIOLETLEAKS-KIT-2","","UV Spy Pen Invisible Ink Security Marker Blue and UV LED Flashlight","","","","","","","","","","","","","","","","","","","","","",""
"DOY-NORALACE-1200-PARENT","","ASR Tactical TitanLace 1200 Technora Work Boot Lace (Multiple Sizes and Colors)","","","","","","","","","","","","","","","","","","","","","",""
"SON-SAFETYGOGGLES","","Safety Goggles Eye Protection","","","","","","","","","","","","","","","","","","","","","",""
"SON-35EYELOUPE-BLK","","Jewelers Eye Loupe 3.5X Magnification for Precision Hobby Arts and Craft Projects","","","","","","","","","","","","Black","","","","","","3.5x","","","",""
"HWK-MYLAR-BLANKET","","ASR Outdoor First Aid Bug Out Emergency Light Mylar Foil Space Blanket","","","","","","","","","","","","","","","","","","52"" x 83.5""","","","",""
"HWK-NYTOOLBAG-AB74-16","","ToolTreaux Nylon Storage Tool Bag with Side Pockets and Shoulder Strap 15 x 9 In","","","","","","","","","","","","","","","","","","15"" x 9"" x 10""","","","",""
"SON-JEWELLOUPE-10XP","SON-JEWELLOUPE-PLASTIC-PARENT","Universal Tool 10X Plastic Jewelers Loupe 25mm Diameter Glass Lens Magnifier","","","","","","","","","","","","","","","","","","10X","","","",""
"HWK-NYTOOLBAG-AB77","","ToolTreaux Heavy Duty Tool Bag with Side Pockets Shoulder Strap 18 x 8.5 In","","","","","","","","","","","","","","","","","","18"" x 8.5"" x 11""","","","",""
"DOY-NORALACE-PARENT","","ASR Tactical TitanLace 950 Technora Work Boot Lace (Multiple Sizes and Colors)","","","","","","","","","","","","","","","","","","","","","",""
"DOY-PARALACE-PARENT","","ASR Outdoor 550 Paracord Hiking Boot Laces Upgraded Replacement Shoelaces (Multiple Sizes and Colors)","","","","","","","","","","","","","","","","","","","","","",""
"DOY-PARALACETV-GLOW-3FT","DOY-PARALACETV-PARENT-2","ASR Outdoor TraversaLace 550 Paracord Durable Survival Laces for Shoes and Hiking Boots, Glow In The Dark - 3ft, 1 Pair","","","","","","","","","","","","Glow","","","","","","36"" (4-5 Eyelets)","","","",""
"DOY-TS3STUDYSET-4PC","","Toy Story 3 Kids School Supplies Study Set Notebook Pencil Sharpener Eraser 4pc","","","","","","","","","","","","Blue","","","","","","4pc","","","",""
"DOY-WILD-ANIMAL-DAGGER-SET-BNDLE","","3pc Animal Head Fixed Blade Ornamental Dagger Collector Knife Decorative Gift Set, Wolf Eagle and Dragon","Standard","","","","","","","","","","","3pc Wolf, Eagle, Dragon","","","","","","13.5""","","","",""
"EVERTEK-UNIVERSALTOOL-CABLETESTER-6006","","Network Cable Tester and Modular Crimping Tool for Electronics Repair","","","","","","","","","","","","Multi","","","","","","Standard","","","",""
"SON-WR3I1MSSCFSM","","Water Resistant Match Stick Storage Container And Fire Starter Mirror - Orange","","","","","","","","","","","","","","","","","","Small","","","",""
"SON-TINDER-STICKS-12-PACK","","ASR Outdoor 12 Pack Slow Burning Water Resistant Tinder Sticks","","","","","","","","","","","","brown","","","","","","","","","",""
"SON-HACBPCMTS-8PC","","8pc Basic Pottery Kit Clay Molding Hobby Arts and Craft Tool Set for Beginners","","","","","","","","","","","","","","","","","","Medium","","","",""
"ZKT-TKRHBCCFZ-SML-BLCK","","Tactical Keyring Holder Belt Connector Clip ZT55","","","","","","","","","","","","Black","","","","","","Small","","","",""
"GWT-FSGB-MED-BRSS","","Brass Fort Smith Prison Guard Belt Buckle","","","","","","","","","","","","","","","","","","medium","","","",""
"HAWK-SLFHEALMAT-PARENT","","ToolTreaux DIY Craft Self Healing Cutting Mat Tool (2 Sizes and Colors)","","","","","","","","","","","","","","","","","","","","","",""
"HGR-CARGOSTABILIZERBAR-LARGE","","Heininger 4016 HitchMate Cargo Stabilizer Bar for Full-Size Trucks","","","","","","","","","","","","","","","","","","","","","",""
"HGR-HCSBS-SML-BLCK","","Hitchmate Cargo Stabilizer Bar for Truck Automotive Exterior Accessories - Small","","","","","","","","","","","","Black","","","","","","SMall","","","",""
"HGR-I6FUASNBAWPP-6FT","","Destination Gear 6ft Italian Market Patio Umbrella Blue and White Stripes with Tilt","","","","","","","","","","","","","","","","","","6","","","",""
"HGR-PTU6FBPP","","Destination Gear 6ft Whiskey Brown Palapa Tiki Umbrella for Patio with Tilt Shade","","","","","","","","","","","","","","","","","","6","","","",""
"HWC-AFL3X5SMBCPB-STD-BLCK","memo-cover-var","ASR Federal Minimalist Leather Memo Pad Notepad Holder Police Gear, Smooth Black, 3x5 inch","","","","","","","","Memo Pad","","","","Plain Black","","","","","","Standard","","","",""
"HWC-AFMBCBWP-STD-BLCK","memo-cover-var","ASR Federal Minimalist Leather Memo Pad Notepad Holder Police Gear, Basketweave Black, 3x5 inch","","","","","","","","Memo Pad","","","","Basket Weave","","","","","","Medium","","","",""
"HWC-GLOVEHOLDER-BLK","","ASR Federal Disposable Latex Glove Holder Duty Belt Hook Loop Closure EMT Supplies","","","Solid","","","","","","","","","Black","","","","","","4.5"" x 4""","","","",""
"HWK-1HMPC","","Metal Polish #1 Buffing Compound Removes Oxidation For Jewelry","","","","","","","","","","","","","","","","","","Medium","","","",""
"HWK-625HCCT","","Carving Tool 6.25 Inch Hobby Craft Pick Curved Chisel Clay Ceramics Woodworking","","","","","","","","","","","","","","","","","","","","","",""
"SON-5FT60IRTSMT","","Retractable Sewing Tape Measure 60 inch Tailor Seamstress for Arts and Crafts","","","","","","","","","","","","White","","","","","","","","","",""
"HWK-GOLDINGMOLD-500","","ASR Outdoor DIY 500 Gram Cast Iron Gold Ingot Mold to Make Your Own Gold Bars","","","","","","","","","","","","Black","","","","","","500g","","","",""
"HWK-NYLON-HAMMER","","Universal Tool 6 in 1 Multi-head Nylon Hammer","","","","","","","","","","","","","","","","","","9","","","",""
"HWK-TBPHDPSLFHAN-9P-PNK","","9 Pocket Tool Belt Heavy Duty Suede Leather For Hammer Nails, Pink Toolbelt","","","","","","","","","","","","","","","","","","9 pocket","","","",""
"HWK-TT-10WMINIGLUEGUN-3PC","","ToolTreaux 10 Watt Mini Glue Gun and Hot Glue Sticks Crafting Supplies Kit, 3pc","","","","","","","","","","","","White","","","","","","Small","","","",""
"HWK-TT-11PCKTTOOLBELT-TAN","HWK-TT-TTOOLBELT-TAN-PARENT","ToolTreaux 11 Pocket Heavy Duty Leather Tool Belt DIY, 36-50 Inch Waist Size","","","","","","","","","","","","Brown","","","","","","Large","","","",""
"HWK-TT-HOTGLUESTICKS-12PC-CLEAR","","ToolTreaux 4 Inch Clear Mini Glue Gun Hot Glue Sticks, Crafting Supplies, 12pcs","","","","","","","","","","","","Clear","","","","","","Small","","","",""
"HWK-TT-LGLEATHERTB-BROWN","","ToolTreaux 13 Pocket Oil Tanned Leather Tool Belt with 2 Hammer Loops, Brown","","","","","","","","","","","","Brown","","","","","","Large","","","",""
"HWK-TT-TNDLEATHER10PKTTP-BROWN","","ToolTreaux 10 Pocket Oil Tanned Leather Tool Pouch DIY Woodworking, 13 x 10 Inch","","","","","","","","","","","","Brown","","","","","","Medium","","","",""
"HWK-TTX-CRAFTCUTMAT-PARENT","","ToolTreaux Clear Craft Cutting Mat Art Supplies Hobby Tools (3 Sizes)","","","","","","","","","","","","Clear","","","","","","","","","",""
"HWK-TTX-PLATTESTKIT-3PC-BUN","JSP-TTX-ACIDTESTKIT-PARENT","ToolTreaux Platinum Testing Kit with Testing Stone, 3pc","","","","","","","","","","","","Clear","","","","","","Small","","","",""
"HWK-TTX-SLVRTESTKIT-3PC-BUN","","ToolTreaux Silver Testing Kit with Testing Stone, 3pc","","","","","","","","","","","","Black","","","","","","Small","","","",""
"JSP-TTX-ACIDTESTKIT-PARENT","","ToolTreaux Complete Gold Silver Platinum Testing Solution Kits with Stone","","","","","","","","","","","","","","","","","","","","","",""
"SON-FPPTFEAHR-SML-SLVR","","Fine Point Precision Tweezers Stainless Steel Expert Eyebrow Hair Removal Tool","","","","","","","","","","","","Silver","","","","","","Small","","","",""
"KEVLAR-CORD-ORANGE-50FT","KEVLAR-CORD-CSVAR-PARENT","Kevlar 200lb Strength Hobby Sport Survival Paracord Rope - Red, 50ft","","","","","","","","","","","","","","","","","","50ft","","","",""
"KOL-BARBIE-STAR-EARRINGS-PC316","","Girls Gold Star Bundle Set with Barbie Dangle Earrings Dress Up","Barbie","","","","","","","","","","","Gold","","","","","","3.25""","","","",""
"KOL-PETBOWL-DI153","","ASR Outdoor Folding Collapsible Waterproof Pet Travel Food Water Bowl with Clip","","","","","","","","","","","","","","","","","","6.5""","","","",""
"SON-AORUBZ500FR-11-BLCK","","ASR Outdoor 360 Degree Standard Plug-in UV Light Bug Zapper Metal Hanging Hook","","","","","","","","","","","","Black","","","","","","8.25""","","","",""
"LST-MILITRUCKCARRIER-GRN","","Kidplokio 11pc Army Military Semi Truck Toy Vehicle Transporter with 6 Diecast Cars Playset, Boys, Assorted Colors, Ages 3+","Cars","","","Army men","","","","","","","","Green","","","","","","Large","","","",""
"LST-CATCHBALL-ORNG","LST-CATCHBALL-PARENT","TychoTyke Toss and Catch Self Stick Paddle Game Set Orange","","","","","","","","","","","","Orange","","","","","","7.75\""","","","",""
"LST-DIECASTTRAILER-BLUE","LST-DIECASTTRAILER-PARENT","Semi Truck Transporter Trailer Race Car Auto Hauler Carrier Play Set - Blue","","","","","","","","","","","","Blue","","","","","","Large","","","",""
"LST-DINOPLAYSET-6PC","","Kidplokio Dinosaur Toy Assemble Pretend Play Set for Kids Large Dino Toys 6pc","","","","Dinosaurs","","","","","","","","Assorted","","","","","","6pc","","","",""
"LST-FAIRYTEASET-PNK","","Kidplokio Pink Fairytale Tea Party Pretend Playset 17pc Girls Toys Ages 3 and Up","Fairytale","","","Fairies","","","","Fairytale","","","","","","","","","","17pc","","","",""
"LST-FLYINGDISC-ORG","LST-FLYINGDISC-PARENT","TychoTyke Kids Light Up 10 Inch Flying Disc Outdoor Fun Picnic Park Toys Orange","","","","","","","","","","","","Orange","","","","","","10\""","","","",""
"LST-FLYINGDISC-ORG-KPKO","LST-FLYINGDISC-PARENT-KPKO","Kidplokio Light Up 10 Inch Flying Disc Kids Outdoor Summer Toy - Orange","","","","","","","","","","","","Orange","","","","","","10""","","","",""
"LST-FORESTTEASET-BLU","","Kidplokio 9pc Blue Enchanted Forest Tea Party Set for Little Girls, Ages 3 and Up","Forest","","","Forest","","","","Forest","","","","","","","","","","9pc","","","",""
"LST-FORESTTEASET-PINK","","Kidplokio 9pc Pink Enchanted Forest Tea Party Set for Little Girls, Ages 3 and Up","Forest","","","Forest","","","","Forest","","","","","","","","","","9pc","","","",""
"LST-KARAOKEMIC-PARENT","","Kidplokio Musical Microphone Pretend Play Karaoke Machine Kids MP3 Player","","","","Karaoke","","","","","","","","","","","","","","Large","","","",""
"LST-KIDSGOLFCADDYSET-2PK-BUNDLE","","(2 Pack) Kids Indoor Golf Club Toddler Activity Pretend Play Set, Ages 3-8","","","","","","","","","","","","2 Pack","","","","","","Medium","","","",""
"LST-KPKO-DANCEDINO-JQ2210-BRW","LST-KPKO-DANCEDINO-JQ2210-PARENT","Kidplokio RC Remote Control Dinosaur T Rex Toys for Boys, LED Lights Sounds, Brown, Ages 3+","Dinosaur","","","","","","","Robot Dinosaur","","","","Brown","","","","","","Large","","","",""
