"sku","parent.sku","name","season","tang_ebay","room","closure_amazon","head_material_type_amazon","hair_type_amazon","size_ebay","skin_type_amazon","blade_type_ebay","compatible_devices_amazon","blade_color_ebay","gender","battery_included_ebay","gun_type_ebay","finish_type_amazon","coarseness","cut","for_gun_make","compatible_model","form","thickness","size_type"
"SON-JEL14XMFPHCP-14X-BLCK","","Jewelers Eye Loupe 14X Magnification for Precision Hobby Arts and Craft Projects","","","","","","","","","","","","unisex","","","","","","","","","",""
"MCN-SCNRKFDGWPAB-2OZ-BLCK","","GEAR AID Aquaseal NEO Contact Cement for Neoprene and Wetsuit Repair, 1.5 fl oz","","","","","","","","","","","","","","","","","","","","","",""
"SON-HDLHPS-6PC-C-SLVR","","6pc Universal Heavy Duty Leather Hollow Punch Set","","","","","","","","","","","","Unisex","","","","","","","","","",""
"SON-CKK12ITSHSR-12E-SLVR","","Beille 12 Inch Steel Sharpening Rod for Knives Knife Sharpeners Kitchen Gadgets","","","","","","","","","","","","Unisex","","","","","","","","","",""
"SON-ESSBL-LG-SLVR","","Emergency Sleeping Bag Mylar Insulated Heat Light Weight 84x36 Inch","","","","","","","","","","","","unisex","","","","","","","","","",""
"SON-DHCSDBS-6PC","","6pc Diamond Drill Bit Hole Saw Set Core 5/32 - 1/2"" Tile Glass Marble","","","","","","","","","","","","Unisex","","","","","","","","","",""
"DEL-EXFOLBATHMITT-WHITE","","Universal Home Soothing Exfoliating Bath Mitt Shower Accessory - White","","","","","","","","","","","","unisex","","","","","","","","","",""
"SON-15IFSCFNP-15-ORNG","","Heavy Duty Flat Nail Puller Forged Steel Cats Paw Carpenters 15 Inches","","","","","","","","","","","","Unisex","","","","","","","","","",""
"UPD-MICKEY-JUMP-ROPE","UPD-DELUXEJUMPROPE-PARENT","Disney Mickey Mouse Roadster Racers Jump Rope Kids Exercise Toy","","","","","","","","","","","","","","","","","","","","","",""
"DLX-NAILFILES-18PC","","Home Essentials Nail Files Buffers Emery Boards Beauty Tools Set Mani Pedi 18pc","","","","","","","","","","","","female","","","","","","","","","",""
"SON-SAFETYGOGGLES","","Safety Goggles Eye Protection","","","","","","","","","","","","Unisex","","","","","","","","","",""
"SHM-UV9LF-SML-BLCK","","ASR Federal 51 LED UV Black Light 395nm Dual Mode Flashlight 6 Inch","","","","","","","","","","","","Unisex","","","","","","","","","",""
"HWK-MYLAR-BLANKET","","ASR Outdoor First Aid Bug Out Emergency Light Mylar Foil Space Blanket","","","","","","","","","","","","unisex","","","","","","","","","",""
"DOY-WILD-ANIMAL-DAGGER-SET-BNDLE","","3pc Animal Head Fixed Blade Ornamental Dagger Collector Knife Decorative Gift Set, Wolf Eagle and Dragon","","Full","","","","","","","Straightback","","Silver","Male","","","","","","","","","",""
"FLL-HNHSTBAT","","Flatline Ops Nylon Hanging Strap Bag Attachment Snap Hook (Tan)","","","","","","","","","","","","","","","","","","","","","",""
"SON-DHDCUT-2PC-4-SLVR","","7 Function Small Pocket Camping Utensil Flatware, Spoon Fork Knife","","","","","","","","","","","","Unisex","","","","","","","","","",""
"SON-SFKFHSS-P-GRY","","Small Field Knife Pocket Fishing Tackle Box Grooved Angle Sharpening Stone","","","","","","","","","","","","Unisex","","","","","","","","","",""
"SON-HACBPCMTS-8PC","","8pc Basic Pottery Kit Clay Molding Hobby Arts and Craft Tool Set for Beginners","","","","","","","","","","","","Unisex","","","","","","","","","",""
"SON-35ISTSSSTS-35-SLVR","","Stainless Steel Tailors Stork Craft Scissors Straight Sharp Tip, 3.5 inch","","","","","","","","","","","","Unisex","","","","","","","","","",""
"ZKT-TKRHBCCFZ-SML-BLCK","","Tactical Keyring Holder Belt Connector Clip ZT55","","","","","","","","","","","","","","","","","","","","","",""
"HAWK-SLFHEALMAT-GR","HAWK-SLFHEALMAT-PARENT","ToolTreaux DIY Craft Self Healing Cutting Mat Art Supply Tool 5 x 9 Inch - Green","","","","","","","","","","","","","","","","","","","","","",""
"SON-5FT60IRTSMT","","Retractable Sewing Tape Measure 60 inch Tailor Seamstress for Arts and Crafts","","","","","","","","","","","","Unisex","","","","","","","","","",""
"HWK-TBPHDPSLFHAN-9P-PNK","","9 Pocket Tool Belt Heavy Duty Suede Leather For Hammer Nails, Pink Toolbelt","","","","","","","","","","","","female","","","","","","","","","",""
"KOL-BARBIE-STAR-EARRINGS-PC316","","Girls Gold Star Bundle Set with Barbie Dangle Earrings Dress Up","","","","","","","","","","","","female","","","","","","","","","",""
"KOL-FRUITVEGGIEPEELER-PARENT","","Universal Handy Helpers Fruit and Vegetable Peeler Dishwasher Safe (2 Colors)","","","","","","","","","","","","unisex","","","","","","","","","",""
"SON-AORUBZ500FR-11-BLCK","","ASR Outdoor 360 Degree Standard Plug-in UV Light Bug Zapper Metal Hanging Hook","","","","","","","","","","","","unisex","","","","","","","","","",""
"LST-KARAOKE-KEYBOARD-A57","LST-KARAOKE-KEYBOARD-PARENT","KidPlay Products Little Pianist Singing Musical Karaoke Keyboard Lights Up Blue","","","","","","","","","","","","","","","","","","","","","",""
