"sku","parent.sku","brand_ebay","color","country_of_origin","type","model","features_ebay","theme","pattern","shape","prop65_warn_type","suitable_for","warranty","department_ebay","material","height","length","package_includes","number_of_pieces","weight","width","mpn","mpn_ebay","name"
"MCN-MEMNORABC-2OZ-CLR-2","","Gear Aid","Clear","United States","","MNE2MZNEOODRREMV-189","","","","","","","","","liquid","2","5","(1) 2oz MiraZyme Odor Remover","","0.2","2","36132","","Gear Aid Revivex Odor Eliminator, for Tents, Footwear and Sports Gear, 2 fl oz"
"MCN-MGAIWS","","Gear Aid","","United States","","20420-222","","","","","","","","","Spray","2","7","(1) 5oz Can of Revivex Instant Waterproofing Spray","","0.5","2","20420-222","","Gear Aid ReviveX Instant Waterproofing Spray for Outdoor Clothing Camping"
"MCN-MGARBDSB-1-BLCK","","Gear Aid","Black","United States","","80490","","","","","","","","","Plastic","4.5","0.5","(1)  Gear Aid Replacement Buckle Dual Snap Bar","","0.05","2.75","80490","","GEAR AID Dual Snap Bar Buckle, 1"""
"MCN-MGARBS-4O-CLR","","Gear Aid","Clear","United States","","22600","","","","","","","","","Waterproof","6.5","1.75","(1)  Gear Aid Rubber Boot Saver","","0.35","1.74","22600","","Gear Aid Rubber Boot Saver with UV Protection Outdoor Shoe Care Repair - Clear"
"MCN-MGARWRLGAC-4O","","Gear Aid","Standard","United States","","Revivex Leather Gel","","","","","","","","","Gel","2","5","(1) Leather Gel Water Repellent and Conditioner","","0.3","2","GARLWRC","","Gear Aid ReviveX Water Proofing Conditioning Gel for Leather Outdoor Footwear"
"MCN-MGAUCA25O-SML","","Gear Aid","Standard","United States","","10612-41","","","","","","","","","UV aquaseal","1","3","(1) Aquaseal UV Cure","","0.08","3","10612","","GEAR AID Aquaseal UV Adhesive for Instant Wader and Drysuit Repair, 0.25 oz"
"MCN-MGAUSS7STRAND-15-MCH","","Gear Aid","Mocha","United States","","80660","","","","","","","","","Nylon","0.5","4.25","*(1)- McNett Gear Aid 7-Strand 550 Paracord","","0.05","6","ASRO86120","","Gear Aid Ultra Strong 7-Strand 550 Paracord for Outdoor Camping Hiking Survival"
"MCN-MGAZP-2E-BLCK","","Gear Aid","Black","United States","","MCNETT80620","","","","","","","","","Plastic","0.5","5.5","(1)  Gear Aid Zipper Pulls","","0.1","2.75","MCNETT80620","","GEAR AID Zipper Pulls, Set of 2"
"MCN-MMEBLBCC10O-10OZ-3","","Gear Aid","","United States","","34118-937","","","","","","","","","","2","7","(1) 10oz BC Life","","0.67","2","34118-937","","BC Life BCD cleaning and maintenance 10 oz"
"MCN-MMESBDMPT125OZ-2","","Gear Aid","","United States","","40835-162","","","","","","","","","","3.7","1.75","(1) 1-1/4 oz   Sea Buff Dive Mask Precleaner","","0.1","0.8","40835-162","","GEAR AID Sea Buff Dive Mask and Slate Cleaner, 1.25 fl oz"
"MCN-MMESC4OZNCB","","Gear Aid","Multi Colored","United States","","14414-971","","","","","","","","","Liquid","3.5","2.13","(1) Seal Cement - 4oz","","0.34","2.13","14414","","GEAR AID Aquaseal NEO Contact Cement for Neoprene and Wetsuit Repair, 4 fl oz"
"MCN-MMESG14OPMARL","","Gear Aid","Multi Colored","United States","","26120","","","","","","","","","Liquid","6.38","4.38","(1)   Silicone Grease - 1/4 oz","","0.06","0.83","26120","","Silicone O Ring Valve Protection Grease for Diving Gear - 1/4 oz"
"MCN-MOMUAQDGTNBX-2PC-35X62-NVYBL","MCN-COMPACTTOWEL-PARENT","Gear Aid","Navy","China","","NBTowelXL-460","","","","","","","","","Microfiber","3","7","(1) X-Large Microfiber Towel
(1) Mesh Storage Bag","","0.64","2","NBTowelXL-460","","Microfiber Ultra Absorbent Quick Dry Gym Towel Outdoor - Navy Blue XL"
"MCN-MRLBCCC-4OZ","","Gear Aid","Multi Colored","United States","","MCNETT36250","","","","","","","","","Liquid","5.5","1.5","(1)-  ReviveX Boot Cleaner","","0.4","1.5","36250","","ReviveX Leather Boot Care Waterproof Cleaner Outdoor Recreation Repair - 4 oz"
"MCN-MTCARTRC-5FT-CLR-PARENT","","Gear Aid","","United States","","","","","","","","","","","","","","","","","","","","GEAR AID Tenacious Tape Repair and Seam Tape for Tents and Vinyl"
"MCN-MTODLCS25OWCC-2PC-C-CLR","","Gear Aid","Clear","United States","","44053-427","","","","","","","","","Patented","7","7","(1) 1/4 oz Op Drops(1) Cleaning Cloth Carrying Pouch","2","0.05","7","44053-427","","GEAR AID Op Drops Anti-Fog and Lens Cleaner for Eyewear and Optics, 0.25 oz"
"MCN-MUTPARMSDGS4OZ-4OZ-CLR-4","","Gear Aid","Clear","United States","","mmeuvt4-839","","","","","","","","","Pattented","2.5","6.5","(1) 4oz. Bottle UV Tech","","0.4","2.5","mmeuvt4-839","","Gear Aid UV Tech Protectant And Rejuvenator Marine Scuba Diving Gear 4oz"
"MCN-ODORELIMINATOR-GALLON","","","Clear","United States","","","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","30 Day Limited Against Defects","","Liquid","14","4","(1) Gallon of Revivex Odor Eliminator","","8.35","8","36119-1G","","Gear Aid Revivex Odor Eliminator for Tents, Footwear and Sports Gear, 1 Gallon"
"MCN-ODORREMOVER-10OZ-AMZN","MCN-ODORELIMINATOR-PARENT-PZ","","Standard","United States","","36115-352","","","","","","","","","Liquid","2","7","(1) 10 oz  Equipment Odor Remover","","0.67","2","36135","","Gear Aid Revivex Odor Eliminator,10oz"
"MCN-PCXHD-1100-BLCK-RFLCT-100FT-BUN","MCN-PCXHD-1100-BLCK-RFLCT-PARENT","","","","","","","","","","","","","","","","","","","","","","","Gear Aid Paracord and Carabiner 5.5 mm Heavy-Duty Cord for Camping - 100 Feet"
"MCN-POSHDFGCMWS-2PC-C-BLCK-AMZN","","Gear Aid","Black","United States","","80630-408","","","","","","","","","High Quality Plastic","0.8","4.4","2 Plastic Snap Hooks","","0.05","3.1","80630","","GEAR AID Snap Hooks, Set of 2"
"MCN-PROCLEANER-GALLON","","Gear Aid","Clear","United States","","","","","","","","","30 Day Limited Against Defects","","Pro Cleaner","8","14","(1) Revivex Down Cleaner - 1 Gallon","","8.35","8","GA36198","","Gear Aid Revivex Pro Cleaner for Synthetic Fabrics Outerwear Repair 1 Gallon"
"MCN-REVIVX-SEAMGRIPFC-BUNDLE-HPNR","","GEAR AID","","United States","","","","","","","","","","","Spray","2","7","(1) 2oz Seam Sure Seam Sealer(1) 5oz Can of Revivex Instant Waterproofing Spray","","0.5","2","20424","","GEAR AID 2pk Tent Waterproofing Spray and Sealer for Nylon Tents, Fast Cure Kit"
"MCN-REVIVX-SEAMGRIPTF-BUNDLE-HPNR","","","","United States","","","","","","","","","","","Spray","2","7","(1) 5oz Can of Revivex Instant Waterproofing Spray(1)  Gear Aid Tent Sure 4oz Bottle","","0.5","2","20423","","GEAR AID 2-Pack Bundle Tent Waterproofing Spray Kits for Nylon Tents"
"MCN-SEAGLD-AMZN-PARENT","","Gear Aid","","United States","","","","","","","","","","","","","","","","","","","","Sea Gold Antifog Gel Dive Mask Care"
"MCN-SEAMGRIP-REPAIRKIT-PARENT","","","","United States","","","","","","","","","","","","","","","","","","","","GEAR AID Seam Grip WP Field Repair Kit for Tents and Outdoor Gear"
"MCN-SEAMGRIP-TF-PARENT","","GEAR AID","","United States","","","","","","","","","","","","","","","","","","","","Gear Aid Seam Grip TF Tent Fabric Sealer for Waterproofing"
"MCN-SEAMGRIPWP-PARENT","","","","United States","","","","","","","","","","","","","","","","","","","","GEAR AID Seam Grip WP Waterproof Sealant and Adhesive for Tents and Outdoor Fabric, Clear"
"MCN-SEAM-SEALANT-SILNYLON-PATCHES-BUN","","GEAR AID","Clear","United States","","","","","","","","","","","Silicone","8","5","(1) Seam Grip Silicone Sealant, 1.5 oz(1) Tenacious Tape Silnylon Patches, 3”x5”","","0.12","1.13","10441","","Seam Grip SIL Silicone Sealant and Silnylon Patches for Silnylon Tents and Tarps"
"MCN-SSTSHDWS15OZ-SML-CLR","","Gear Aid","Clear","United States","","10440","","","","","","","","","Special","8","5","(1) SilNet - 1.5 oz","","0.12","1.13","10440","","Seam Grip SIL Silicone Sealant for Silnylon Tents and Tarps, Clear, 1.5 oz"
"MCN-STRAP-TENDER-AMZN","","Gear Aid","Black","China","","G270PT-448","","","","","","","","","Plastic","0.2","3.1","One Strap Tender","","0.01","4.4","80640","","GEAR AID Strap Tender for 1"" Webbing"
"MCN-TACMICRTERTOWEL-PARENT-HPN-2","","Gear Aid","","United States","","","","","","","","","","","","2","7","","","0.5","3","39751","","Gear Aid Tactical Ultra-Compact Microfiber Towel"
"MCN-TENACIOUSTAPE-PARENT-AMZ","","","","United States","Tape","","","","","","","","","","","6","6.5","","","1","4.5","74869","","Gear Aid Tenacious Tape Repair Tape for Fabric and Vinyl, 3"" x 20"""
"MCN-TENTAPE-GEARPATCHES-PARENT","","","","United States","","","","","","","","","","","","","","","","","","","","Gear Aid Tenacious Tape Gear Patches for Jacket, Tent and Outerwear Repair, 3"" x 20"""
"MCN-TTAPEREPAIRPATCHES-AMZ-PARENT","","","","United States","","","","","","","","","","","","0.5","7","","","0.04","3.5","CTTMRP-440","","GEAR AID Tenacious Tape Mini Patches to Repair Jackets, Tents and Rain Gear, 1.5""x2.5"""
"MCN-TTAPE-SILNYLON-3X5-PARENT","","GEAR AID","","United States","","","","","","","","","","","","","","","","","","","","GEAR AID Tenacious Tape Silnylon Patches for Silicone Tent and Tarp Repair, 3""x5"""
"MCN-ULCOMMICFIBTOW-PARENT-HPN","","Gear Aid","","United States","","","","","","","","","","","","3","7","","","0.5","2","41677","","Ultra-Compact Microfiber Towel - Various Colors"
"MCN-WASH-IN-10-OZ-AMZN","","","Standard","United States","","","","","","","","","","","Patented","2","7","(1) 10oz Revivex Waterproofing Soak","","0.82","2","36243","","Gear Aid Revivex Wash-In Water Repellent 10OZ"
"MCN-WASHINREPELLENT-GALLON","","Gear Aid","Clear","United States","","","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","30 Day Limited Against Defects","","Repellent","8","14","(1) Gallon of Revivex Wash-in Water Repellent","","8.35","8","GA36170","","Revivex Wash In Water Repellent Waterproof Fluid Non-toxic - 1 Gallon"
"MCN-ZIPPER-LUBE-91120","","Gear Aid","Standard","United States","","mmezt1874-804","","","","","","","","","Special Blend","1","6.5","(1) 1/2oz Tube of Zip Tech","","0.1","4.5","91120","","GEAR AID Zipper Lubricant Wax for Tents, Drysuits, Soft Coolers and more, includes 2 sticks"
"MET-AIDREVIVEXWATERPROOFING-COMBOKIT-2","","Gear Aid","Multi-Color","United States","","","","","","","","","","","","1","8.25","(1) 10oz Gear Aid Water Proofing(1) 12oz Rain Fabric Cleaning Concentrate","","0.75","4.25","MGARWP-10SCMB12CN","","Gear Aid Revivex Durable Water Proofing Combo Kit 10oz"
"MET-GEARAIDREVIVEXSPRAY-AMZN","MET-GEARAIDREVIVEXSPRAY-PARENT","","","","","","","","","","","","","","","","","","","","","","","GEAR AID Revivex Suede Protector and Fabric Water Repellent for Shoes and Boots, 4 fl oz, 2-pk"
"MET-WETSUITSHAMPOO-AMZN-HPN","","","Blue","United States","","","","","","","","","","","Shampoo","2.5","7.25","(1)  Wetsuit/Drysuit Shampoo - 10oz Bottle","","0.67","5","30140","","GEAR AID Revivex Wetsuit and Drysuit Shampoo, Cleaner and Conditioner, 10 fl oz"
"MET-WETSUITSHAMPOO-ODOR-BUN","","GEAR AID","Clear","United States","","","","","","","","","","","Blend","6","9","(1) Wetsuit & Drysuit Shampoo, 10 oz
(1) Odor Eliminator, 10 oz","","1.7","5","30141","","GEAR AID Wetsuit Cleaner and Conditioner for Neoprene, Odor Kit"
"NPT-8INPOCKETKNIFE-EAG","NPT-8INPOCKETKNIFE-PARENT","","","","","","","","","","","","","","","","","","","","","","","ASR Outdoor Back Lock Folding American Eagle Pocket Knife Collectible Gift, 8 inch"
"NPT-ASRO-9IN1SURVIVALKNIFE-BLK","","","Black","","","","Stainless Steel Construction","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Stainless Steel","1.75","5","(1) Multitool Folding Pocket Knife","","0.5","2","KB908CYWT","","ASR Outdoor 9 in 1 Multitool Folding Pocket Knife with G10 Handle, Black"
"NPT-ASTKUNAI-6PC","","","Multi","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Metal","1","6.5","(6) 6.5 Assorted Color Ninja Kunai","","0.5","2","6PCKUNAIASTSET","","ASR Outdoor 6 Piece 6.5 Inch Ninja Kunai Set Assorted Colors With Sheath Set"
"NPT-BEARKNIFE-BLACK","","ASR Outdoor","Black","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","None","","440 Stainless Steel","1","12.5","(1) ASR Outdoor Bowie Style Wildlife Collector's Knife - Howling Bear","","0.7","2","ASROBLKBEARD","","ASR Outdoor Collectible Dagger Bowie Knife Etched Bear Sheath Ergonomic Handle"
"NPT-BLKKNIFE-HWT258RW","","","Rainbow","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Stainless Steel","0.5","8.25","(1) ASR Tactical Knife with Sheath","","0.25","2","HWT258BK","","ASR Tactical Full Tang Clip Point Blade Slim Kydex Sheath Hook Handle - Rainbow"
"NPT-CHRKNIFE-HWT258CH","","","Chrome","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Stainless Steel","0.5","8.25","(1) ASR Tactical Knife with Sheath","","0.25","2","HWT258CH","","ASR Tactical Full Tang Clip Point Blade Slim Kydex Sheath Hook Handle - Chrome"
"NPT-EMSPOCKETKNIFE-ORG","","ASR Outdoor","Orange","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","30 Day Limited Against Defects","","3CR13 Steel","0.5","8.4","(1) ASR Outdoor EMS Emblem Pocket Knife","","0.26","1","ASROEMSPKORG","","ASR Outdoor Camping EMS Emblem Pocket Knife Spring Assisted Serrated Tanto Blade Orange"
"NPT-HDCAHWSB-2PC-STD-BLCK","","ASR Outdoor","Black","China","","H-75","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Steel","1","12","(1) Heavy Duty Axe(1) Protective Snap Sheath","2","1.5","3","H-7543","","ASR Outdoor Heavy Duty Camp Axe Hatchet with Sheath- Survival Prep"
"NPT-OPENRESCUEKNIFE-SILVER","","ASR Outdoor","Silver","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Steel","1","5","(1) 8.25 Inch Rescue Knife with Belt Clip Seat Belt Cutter","","0.3","1","ASROORKSIL","","ASR Outdoor 8.25 Inch Rescue Knife with Belt Clip Seat Belt Cutter"
"PARANECK-KNIFE-NEONGREEN","PARANECK-KNIFE-PARENT","","","","","","","","","","","","","","","","","","","","","","","ASR Tactical 6"" Survival Knife with Sheath 550 Paracord Wrapped Handle Full Tang Drop Point Fixed Blade, Green"
"SON-KCIPHAC-275-ASSRTD","SON-IDPILLHOLDER-PARENT","","","","","","","","","","","","","","","","","","","","","","","Mini Waterproof Container ID Pill Holder Vial  Key Chain with O Ring Seal (One Container)"
"SDT-HEAVYDUTYSTEADFASTBATTERIES","SON-HDASB-MED-BL-PARENT","","","","","","","","","","","","","","","","","","","","","","","Heavy Duty AA Steadfast Batteries - 12 Pack"
"SON-HDASB-MED-BL","SON-HDASB-MED-BL-PARENT","","","","","","","","","","","","","","","","","","","","","","","4pk Heavy Duty AA Steadfast Batteries"
"SHM-CERAMICMICROSTRIKER-WHT-STD","","ASR Outdoor","White","United States","","","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","30 Day Limited Against Defects","","Ceramic","0.1","1","(1) ASR Outdoor Ceramic Micro Striker/Scraper","","0.02","0.5","ASROCMSS","","ASR Outdoor Ceramic Micro Striker Scraper Create Sparks Emergency Fire Starter White"
"SHM-PSHKBZTB-SML-BLCK","SHM-PSHKBZTB-SML-BLCK-PARENT","","","","","","","","","","","","","","","","","","","","","","","Zak Tool ZT14 Handcuff Key Universal Fit Police Pen Style Pocket Clip"
"SHM-KIDFUN-REFLECTIONPAPER","SHM-SPYPAPERPAD-PARENT-2","","","","","","","","","","","","","","","","","","","","","","","32 Sheet Disappearing Notebook Dissolving Message Note Pad - Reflection Paper"
"SON-100PKZIPLOCKBAG-PARENT","","Universal","","","","3X4ZB-116","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","","1","4","","","0.56","4","3X4ZB-116","","100pc Self Locking Plastic Bags 2mm Thick All Purpose Storage Baggies"
"SON-11ISCCMTWCC-20PC-SML-SLVR","","","Silver","China","","11I1CCT-20PK-725","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Steel","2","5","*(20) ASR Outdoor 11 Function Multi-Tools","","1.2","2","11I1CCT-20PK-725","","(20 Pack) ASR Outdoor 11 in 1 Multi Function Credit Card Sized Tool"
"SON-12X36IGMMSBM-12X36-GRN-SM-3","","ASR Outdoor","Green","China","","GnMM1236","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Plastic","3","12","*(1) 12"" x 36"" Roll of Green Miner","","1.5","5","GnMM1236","","12x36in Green Miners Moss 10mm Thick Sluice Box Matting Gold Prospecting - Small"
"SON-12X36IGMMSBM-12X36-GRY-SM-4","","ASR Outdoor","Grey","China","","GMM1236","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Plastic","3","12","*(1) 12"" x 36"" Roll of Grey Miner","","1.5","5","GMM1236","","12x36in Grey Miners Moss 10mm Thick Sluice Box Matting Gold Prospecting - Small"
"SON-13IPOCSCHS-3PC-13-SLVR-6PK","","ASR Outdoor","Silver","China","","HANDSAW-977","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","steel","2","5","(12) Metal Handles
(12) Chain Blades","","0.5","4","HANDSAW-977","","6 Pack Portable Outdoor Camping Survival Wire Hand Saw With Two 35 cm Blades"
"SON-155BSSMRWZSS-155E-BLCK","","ASR Outdoor","Black","China","","KFD673-424","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Steel","2","16","*(1) 15.5\\\\\\\\\\\\\\\"" Black Stainless Steel Machete, RecurvedBlade with Zigzag Serrated Spine","","0.9","4","KFD673-424","","15.5"" Black Stainless Steel Machete, Recurved Blade with Zigzag Serrated Spine"
"SON-15CPHTFMM-MED-BRWN","","Universal Tool","Brown","China","","UTPCHT-S112-250","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Wood","2","15","* (1) 15"" Crucible Holding Tongs with Adjustable Diameter","","0.5","3.5","UTPCHT-S112-250","","Hardwood Handled 15"" Goldsmith Crucible Pot Holder With Adjustable Steel Tongs"
"SON-16FTHVMRR-16F-RD","SON-MARKINGRIBBON-PARENT","","","","","","","","","","","","","","","","","","","","","","","ASR Outdoor Hiking Gear 200ft High Visibility Marking Ribbon, Red"
"SON-20ITLWAC-10PC-STD-RD","","Universal Tool","Multi","China","","aUTAC20-565-581","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Lead","1","3","(2) Red Test Leads (2) Yellow Test Leads (2) Black Test Leads (2) White Test Leads (2) Green Test Leads","10","0.25","5","aUTAC20-565-581","","10pc Insulated Test Lead Cable with Alligator Clips Colorful Set - 20 Inch"
"SON-AO8IBGRGTGP-8-GREEN","SON-GOLDMININGPAN-PARENT","","","","","","","","","","","","","","","","","","","","","","","ASR Outdoor 8 inch Gold Pan with Dual Riffles for Gold Prospecting, Green"
"SON-AO14IBGRGTGP-12-BL","SON-GOLDMININGPAN-PARENT","","","","","","","","","","","","","","","","","","","","","","","ASR Outdoor 14 inch Gold Pan with Dual Riffles for Gold Prospecting, Blue"
"SON-COLLAPSBUCKET-10L-OD-CB10L","","ASR Outdoor","Grey","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Silicone","2","12.5","(1) ASR Outdoor Collapsible Gold Panning Bucket","","1.2","12.5","10LCGPBORG","","ASR Outdoor Grey and White Silicone Collapsible 10L Water Container Gold Panning Bucket"
"SON-MEBH-10PC-SML-SLVR","","","Silver","China","Bit Extension","MAGEX-1087-616","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","Drill","","","Steel","1","5","(10) Magnetic Extension Bit Holders","10","0.5","5","MAGEX-1087-616","","Universal Tool 10 Pack of .25in Hex Shank Magnetic Bit Extension Holder for Power Tools"
"SON-35STORK-SCISSORS-IR-TT","","","Silver","China","","","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Metal","1","7","","","0.1","3","TTSTRKSCIS35","","ToolTreaux Straight Blade Stainless Steel Stork Embroidery Scissors - 3.5 Inch"
"SON-3IN1CAMP-UTENSIL-2PK","SON-3IN1CUSKFS-3PC-ONE-SLVR-PARENT","","","","","","","","","","","","","","","","","","","","","","","ASR Outdoor (2-Pack) Camping Utensil Set Army Military MRE Chow Set"
"SON-425SHTTNSB-425","","Universal Tool","Silver","China","","HTTN-1","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Steel","1","5","*(1) 4.25 inch Thread Nipper","","0.05","1","HTTN-1","","Shear Scissors Blades Sharp Heat Treated Thread Nipper 4.25 inches"
"SON-45IPT-45-SLVR-2","","Universal Tool","Silver","India","","4PPUT","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Metal","0.5","6","*(1) 4 Prong Pick-Up Tool","","0.2","1","4PPUT","","4.5 Inch 4 Prong Metal Pick-Up Tool Hobby Crafts Jewelry Making with Case"
"SON-500-LUMEN-WORKLIGHT","","Universal Tool","black","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","30 Day Limited Against Defects","","Plastic","1","5.5","(1) Work Light","","1","2.5","500LUMEN","","Universal Tool - 500 Lumen 5w COB 12SMD - Multipurpose Emergency Work Light"
"SON-53HSSDB116IS-10PC-5316-SLVR","","Universal Tool","Silver","China","","","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Stainless Steel","1","3","* (10) High Speed #53 1/16 inch Shank Drill Bits* (1) Storage Container","","0.05","1","53SDB-1","","10pc #53 High Speed Steel Drill Bits 1/16 Inch Shank"
"SON-57HSSDB116IS-10PC-5716-SLVR","","Universal Tool","silver","China","","","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Stainless Steel","1","3","* (10) High Speed #57 1/16 inch Shank Drill Bits* (1) Storage Container","","0.05","1","57SDB-1","","High Speed Steel Drill Bits 1/16 Inch Shank 10pc 57"
"SON-5INFOLDINGKNIFE-BLK","","ASR Outdoor","Black","China","","","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","30 Day Limited Against Defects","","440 Stainless Steel","0.5","5","(1) ASR Outdoor Folding Knife","","0.28","1","ASRO5INFKBLK","","ASR Outdoor Thumb Assisted Folding Knife Belt Clip Seat Belt Cutter Window Punch"
"SON-5INFOLDINGKNIFE-SLV","","ASR Outdoor","Silver","China","","","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","30 Day Limited Against Defects","","440 Stainless Steel","0.5","5","(1) ASR Outdoor Folding Knife","","0.28","1","ASRO5INFKSLV","","ASR Outdoor Thumb Assisted Folding Knife Belt Clip Seat Belt Cutter Punch Silver"
"SON-ZAPPER-MP-4BL","","ASR Outdoor","Orange","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","30 Day Limited Against Defects","","Plastic","5.5","4","(1) Lantern(1) MicroUSB Cord","","0.62","4.5","RLBZ","","ASR Outdoor 360 Rechargeable All-Weather Mosquito Trap Bug Zapper Portable LED Lantern"
"SON-AO125IGPSSFGP-LG-ORG","SON-SANDSCOOPER-PARENT","","","","","","","","","","","","","","","","","","","","","","","ASR Outdoor 12.5 Inch Large Sand Scoop Plastic Trowel for Metal Detector Gold Panning, Orange"
"SON-6IBSPSSS-6-SLVR","","Universal Hobby","Stainless Steel","China","","BTS-1","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Steel","1","7","*(1) Blunt Tip Craft Scissors","","0.09","3","BTS-1","","Stainless Steel Scissors Heavy Duty 6 inch Blade Blunt Tip"
"SON-6MMWBHWBACA-BL","","ASR Outdoor","Blue","China","","SONWAR288337","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Metal","5","2","*(1) Water Bottle Holder with Aluminum Carabiner","","0.1","0.5","SONWAR288337","","ASR Outdoor Universal Water Bottle Holder With Blue Aluminum Carabiner Clip Attachment"
"SON-7DCFFS6DG-6PC-7E-RD","","ToolTreaux","Red","China","","74336DF2-667","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Steel","0.2","8.1","(6) 7\\\\\\\"" Diamond Coated Flat Files(1) Plastic Protection Case","7","0.4","3.2","74336DF2-667","","ToolTreaux 6 Piece Diamond Coated Flat File Set, Steel Files Assorted Grits 6pc"
"SON-7SNFBT-STD-SLVR","","Universal","Silver","China","Nail File","7SNF","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Metal","1","7","(1) 7\"" Sapphire Nail File(1) Plastic Sheath","2","0.01","1","7SNF","","7 Inch Sapphire Nail File Home Manicure Pedicure Tool Beauty and Personal Care"
"SON-82SSSS-BUN-HPN","","","","China","","SS8-8955","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","","2","10","*(1) 8"" Sharpening Stone (120/240)","","1.2","7","SS8-8955-BN-HP","","8"" 2 Sided Knife Blade Sharpener Sharpening Stone"
