"sku","parent.sku","brand_ebay","color","country_of_origin","type","model","features_ebay","theme","pattern","shape","prop65_warn_type","suitable_for","warranty","department_ebay","material","height","length","package_includes","number_of_pieces","weight","width","mpn","mpn_ebay","name"
"SON-JEWELLOUPE-10XP-TT","SON-JEWELLOUPE-10X-PARENT-TT","","Plastic - 25mm","India","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Plastic","1","1","(1) 10X Jewelers Loupe","","0.08","1.5","UT10XJLPL","","ToolTreaux 10X Jewelers Loupe 25mm Diameter Glass Lens Magnifier Plastic"
"SON-JUMBOTWEEZER-4PC-IR-TT","","","Silver","China","","","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Stainless Steel","0.25","14","","","0.43","4","3PCJTWEZSET","","ToolTreaux Stainless Steel Jumbo Tweezer Set Serrated Tips Secure Grip - 3pc"
"SON-LSTTSWC1210A8I-4PC-14X4X25-SLVR","","Universal Tool","Silver","China","","","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Stainless Steel","0.25","14","(1) 3pc Tweezer Set(1) Carrying Case","4","0.43","4","LTS-3","","3pc Large Serrated Tweezer Tong Set with Case 12, 10, and 8 Inch"
"SON-LEDWORKLIGHT-LARGE-BLACKORANGE","","Universal Tool","Black and Orange","China","","","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Nylon","4.75","6.25","(1) 750 Lumen LED Work Light","","0.75","1.75","FL9115-10W","","750 Lumen Durable Portable Work Light Indoor Outdoor Multi Use Black"
"SON-LIGHT-FL8825-12COB","","ASR Outdoor","Black","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","30 Day Limited Against Defects","","Plastic","1","2.5","(1) Light","","0.16","2.5","HCL","","ASR Outdoor 3 Stage Super Bright Hanging Puck Light,  240 Lumen COB LED"
"SON-MINERMOSS-12X36BLU-HPNR","","","Blue","China","","","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Rubber","1","36","","","1.5","12","","","SE GP-MT415-3BL 12"" x 36"" Blue Miner's Moss (Sluice Box Matting)"
"SON-MINERMOSS-12X36GRN-HPNR","","","Green","China","","","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Rubber","1","36","","","1.5","12","","","SE GP-MT415-2GG 12"" x 36"" Green Miner's Moss (Sluice Box Matting)"
"SON-MINERMOSS-12X36GRY-HPNR","","","Grey","China","","","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","","1","36","","","1.5","12","","","SE GP-MT415-1GR 12"" x 36"" Grey Miner's Moss (Sluice Box Matting)"
"SON-MULTI-COLOR-HEADLAMP-FL8219-5","","ASR Outdoor","Black","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","30 Day Limited Against Defects","","Plastic","3","6.5","(1) Headlamp","","0.13","5.5","MCHL","","ASR Outdoor 4 in 1 350 Lumen Multi Color Tilting Head Lamp Camping Garden Hiking"
"SON-PJEGFTSD-7PC-SML-SLVR","","Universal Tool","Silver","China","","654468-775","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Metal","1","5","(1) Set of 7 Flat Tip Screw Driver","1","0.1","4","654468-775","","ToolTreaux 7pc Precision Jewelers Eyeglass Repair Kit Screwdriver Set Hobby Tools"
"SON-NECKKNIFE-BLU","SON-NECKKNIFE-PARENT","","","","","","","","","","","","","","","","","","","","","","","4 Inch ASR Outdoor Fixed Blade Tanto Point Neck Knife - Blue"
"SON-OEHWPASBC-2","","Universal Tool","","China","","CC4074-433","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","","2","8","*(1) Emergency Hammer
*(1) Mounting Bracket","","0.3","3","CC4074-433","","Orange Emergency Hammer Window Punch and Seat Belt Cutter"
"SON-PAKAWOODKNIFE-3IN","SON-PAKAWOODKNIFE-PARENT","","","","","","","","","","","","","","","","","","","","","","","ASR Outdoor Paka Wood Pocket Knife Folding Blade 440 Stainless Steel Clip Point"
"SON-PARACORDBRACELETKIT-1OPC","","ASR Outdoor","Multi-colored","China","","","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","30 Day Limited Against Defects","","Paracord","2","11","(10) 10ft Paracord(10) Buckle Sets","","0.67","7","ASROPBK10PC","","ASR Outdoor Assorted Camo Design Paracord Bracelet Kit with Buckles 10ft Each"
"SON-UT22KGMS-3625L-BLCK","SON-MARKINGSTAMP-PARENT","Universal Tool","Black","China","","22KMST-871","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Stainless Steel","1","4","(1) Universal Tool 22k Gold Marking Stamp","1","0.1","1","22KMST-871","","Universal Tool 22k Gold Marking Stamp for Jewelry Metalworking Arts and Crafts"
"SON-PFSWKC-2PC-4-ORNG","","ASR Outdoor","Orange","China","","ASRO2PCFKC-3-34","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","polypropelene","3","4","*(1) Larger Funnel *(1) Smaller Funnel","","0.2","3","ASRO2PCFKC-3-34","","(2 Piece) ASR Outdoor Plastic Funnel Set with Key Chains for Camping Hiking"
"SON-PHONESTAND-FL89026TL","","Universal","White","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","30 Day Limited Against Defects","","Plastic","4.5","8.5","(1) Lamp(1) Micro USB Charger","","0.66","4","E-TL120","","Universal Rechargeable Phone Stand Table Lamp Touch Switch 120 Lumen"
"SON-PISTOLKIT-66PC","","ASR Outdoor","Black","China","","","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Metal","3","4","(1) Hard Shell Case(3) Cleaning Rods(2) Patch Holders (50) Cleaning Patches(4) Copper Brushes(1) Nylon Brush(1) Attachable Handle(4) Cleaning Jags(1) Pick & Scraper","","0.44","4","66PCPISTOLKIT","","ASR Outdoor 66pc Pistol Cleaning Kit In Zippered Shell Case"
"SON-PLASTICDROPPERS-50PACK-BUN","SON-PLASTICDROPPERS-PARENT","","","","","","","","","","","","","","","","","","","","","","","(50 Pack) ASR Outdoor Plastic Dropper Pipette Gold Panning 5.5 Inch - 3mL"
"SON-PLASTICDROPPERS-50PACK-BUN-HPNR","","","Clear","China","","","","","","","WARNING: This product can expose you to chemicals including {CHEMNAME1}, which is known to the State of California to cause cancer, birth defects or other reproductive harm. For more information, go to: www.P65Warnings.ca.gov","","","","Plastic","2","7","","","0.14","5","","","SE GP3-PD55 Prospector's Choice Plastic Disposable Droppers (50 PC.)"
"SON-POCKETKNIFE-BLK","","ASR Outdoor","Black","China","","","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Stainless Steel","1.5","6.5","*(1) Pocket Knife","1","0.2","2.5","AR837","","ASR Outdoor Sleek EDC 7"" Folding Pocket Knife Drop Point Blade, Black"
"SON-POCKET-KNIFE-KFD702","","ASR Outdoor","Black","China","","","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","30 Day Limited Against Defects","","Aluminum","1","4.4","(1) Pocket Knife(1) Carrying Case","","0.18","2","PKLBAB","","ASR Outdoor Sleek 7"" Folding Pocket Knife Drop Point Blade, Black"
"SON-POCKETSLUICEBOX-GRN-AMZ-HPN","","","Green","China","","","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","TPR","1.25","12","","","0.46","5.5","","","SE Prospector's Choice Pocket Sized Sluice Box - GP-SB36PT"
"SON-POLISHINGWHEEL-2IN","","Universal Tool","White","China","","","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","30 Day Limited Against Defects","","Muslin","2","2","(1) Polishing Wheel","","0.1","2","UTPBW2IN","","Universal Tool Cloth Polishing Buff Wheel 2 Inch Diameter Soft Muslin"
"SON-PONCHO-GRN","","","Green","China","","","","","","","WARNING: This product may contain chemicals known to the State of California to cause cancer, birth defects or other reproductive harm","","","","Polyethylene","1","5","(1) ASR Outdoor Green Emergency Poncho","","0.05","6","ASROGEP272","","ASR Outdoor Emergency Poncho Green Polyethylene Rain Gear Camping One Size"
