category_id,category_name,upc_essential
4090,1960-Now,NO
13986,Pre-1920,NO
13987,1920-39,NO
13988,1940-59,NO
165656,"Unspecified, Unknown Date",NO
4091,1960-Now,NO
13990,Pre-1940,NO
13991,1940-59,NO
165657,"Unspecified, Unknown Date",NO
1439,1970-Now,NO
13993,Pre-1900,NO
13994,1900-39,NO
13995,1940-69,NO
165663,"Unspecified, Unknown Date",NO
4092,1960-Now,NO
29466,1900-1939,NO
29467,1940-59,NO
156492,Pre-1800,NO
156493,1800-1899,NO
165658,"Unspecified, Unknown Date",NO
29490,Programs,NO
3633,Other Vintage Greeting Cards,NO
35890,Birthday,NO
35891,Christmas,NO
35892,Valentine's Day,NO
156504,Animals,NO
156505,Victorian,NO
156506,Unused Vintage,NO
156507,Mixed Lots,NO
556,1960-79,NO
41184,Pre-1940,NO
41190,1940-59,NO
41394,"Unspecified, Unknown Date",NO
156485,1980-Last Year,NO
156486,"Current Year, Next Year",NO
156487,Perpetual Calendars,NO
126,1960-Now,NO
41185,1940-59,NO
41188,1900-20,NO
41189,1920-39,NO
41191,"Unspecified, Unknown Date",NO
156494,Pre-1800,NO
156495,1800-99,NO
156489,Pre-1900,NO
156490,1900-49,NO
156491,1950-Now,NO
165661,"Unspecified, Unknown Date",NO
477,Other Collectible Matchbooks,NO
156497,Advertisements,NO
156498,"Hotels, Motels",NO
156499,"Lounges, Bars",NO
156500,Restaurants,NO
156501,"Vehicles, Transportation",NO
156502,International Locations,NO
156503,US Locations,NO
165659,Gift Wrap,NO
165660,Matchbox Labels,NO
165662,Napkins,NO
165664,Stationery,NO
168047,Bank Checks & Drafts,NO
140,Other Vintage Disneyana,NO
1152,Housewares,NO
1385,"Apparel, Accessories",NO
1386,"Animation Art, Cels",NO
1387,"Posters, Prints, Lithos",NO
1388,Books,NO
1391,Figurines,NO
1392,Holiday,NO
1393,Jewelry,NO
1394,"Pins, Buttons",NO
1395,Plush Toys,NO
1396,Premiums,NO
1397,Records,NO
1398,"Toys, Games, Puzzles",NO
1399,"Watches, Timepieces",NO
13847,Paper,NO
13848,Theme Park Souvenirs,NO
14287,Cards,NO
138,Other Disneyana,NO
142,Plush Toys,NO
144,"Posters, Prints & Lithos",NO
1371,"Animation Art, Cels",NO
1372,Books,NO
1373,Collector Clubs,NO
1378,Jewelry,NO
1379,Limited Editions,NO
1380,Theme Park Souvenirs,NO
1381,Premiums,NO
1382,"Records, Tapes & CDs",NO
1383,"Toys, Games & Puzzles",NO
1384,"Watches, Timepieces",NO
13841,Cast Member Exclusives,NO
13842,Coins,NO
13843,"Mugs, Glasses",NO
13844,"Paper, Notepads",NO
13845,Plates,NO
13846,Snowglobes,NO
1370,Other Disney Apparel & Accs,NO
35840,"Coats, Jackets, Outerwear",NO
35841,Costumes,NO
35842,Hats,NO
35843,T-Shirts,NO
88883,"Ties, Neckties",NO
35844,Banks,NO
35845,Bottles,NO
35846,Calendars,NO
35847,Clocks & Radios,NO
1375,Other Contemp Disney Figurines,NO
35849,Cinderella,NO
35850,Donald Duck,NO
35851,Goofy,NO
35852,Mickey Mouse,NO
35853,Minnie Mouse,NO
35854,Sleeping Beauty,NO
35855,Snow White,NO
35856,Winnie the Pooh,NO
50759,Beauty & The Beast,NO
50760,Little Mermaid,NO
50761,Peter Pan,NO
88891,Nightmare Before Christmas,NO
95117,Alice in Wonderland,NO
156297,WDCC,NO
156306,Pixar Characters,NO
35857,Frames,NO
35858,Keychains,NO
35859,"Lunchboxes, Thermoses",NO
35860,Phones,NO
35861,Signs,NO
35862,Stickers & Decals,NO
1376,Other Contemp Holiday Disney,NO
35887,Ornaments,NO
35888,Stockings,NO
143,Other Disney Pins & Patches,NO
38005,Cast Member Exclusives,NO
38006,Disney Cruise Line,NO
38007,Disney Store,NO
38008,"Holiday, Christmas",NO
38011,Disneyland/DCA,NO
38012,Disneyland Paris,NO
38013,Tokyo Disneyland,NO
38014,Walt Disney World,NO
165493,Hong Kong Disneyland,NO
38009,Other Disney Characters,NO
50763,"Belle, Beauty & The Beast",NO
50764,Chip & Dale,NO
50765,Cinderella,NO
50766,Donald Duck,NO
