category_id,category_path,listing_count
122838,"Home & Garden|Tools & Workshop Equipment|Power Tool & Air Tool Accessories|Saw Blades|Other Saw Blades",2
16507,"Crafts|Stamping & Embossing|Tools & Equipment",2
16040,"Sporting Goods|Camping & Hiking|Outdoor Sleeping Gear|Other Outdoor Sleeping Gear",2
83893,"Crafts|Beads & Jewelry Making|Bead Storage & Jewelry Display",2
39729,"Collectibles|Tools, Hardware & Locks|Tools|Carpentry, Woodworking|Axes, Hatchets",2
71161,"Sporting Goods|Water Sports|Scuba & Snorkeling|Masks",2
102951,"Home & Garden|School Supplies|Markers & Crayons",2
260384,"Home & Garden|Kids & Teens at Home|Kitchen & Dining|Cups, Mugs & Glasses",2
19170,"Toys & Hobbies|Preschool Toys & Pretend Play|Dinosaurs",2
45112,"Business & Industrial|Office|Office Supplies|Calendars & Planners|Blank Diaries & Journals",2
29524,"Home & Garden|Tools & Workshop Equipment|Measuring & Layout Tools|Measuring Tapes & Rulers",2
177918,"Toys & Hobbies|Diecast & Toy Vehicles|Play Sets",2
11735,"Toys & Hobbies|Educational|Music & Art",2
177058,"Home & Garden|Kids & Teens at Home|Kitchen & Dining|Water Bottles & Vacuum Flasks",2
34002,"Crafts|Scrapbooking & Paper Crafts|Scrapbooking|Scrapbooking Embellishments|Scrapbooking Stickers",2
20688,"Home & Garden|Kitchen, Dining & Bar|Bar Tools & Accessories|Corkscrews & Openers",2
71482,"Business & Industrial|Retail & Services|Security & Surveillance|Other Retail Security",2
85917,"Home & Garden|Tools & Workshop Equipment|Workshop Equipment|Tie Downs & Straps",2
183808,"Business & Industrial|Cleaning & Janitorial Supplies|Pest Control Supplies|Pest Trap Parts & Accessories|Pest Trap Sticky Paper",2
102953,"Home & Garden|School Supplies|Pens & Pencils",2
62134,"Sporting Goods|Fitness, Running & Yoga|Fitness Equipment & Gear|Jump Ropes",2
159758,"Health & Beauty|Oral Care|Dental Floss & Flossers",2
134570,"Crafts|Kids' Crafts|Stickers",2
52482,"Sporting Goods|Camping & Hiking|Hiking Gear|GPS & Compasses",2
234,"Toys & Hobbies|Games|Other Games",2
98968,"Travel|Travel Accessories|Money Belts & Wallets",2
111292,"Sporting Goods|Hunting|Range & Shooting Equipment|Clay Target Shooting",2
19074,"Toys & Hobbies|Electronic, Battery & Wind-Up|Friction|1970-Now",2
183191,"Crafts|Needlecrafts & Yarn|Embroidery & Cross Stitch|Hand Embroidery Tools & Accs|Embroidery Scissors",2
2646,"Toys & Hobbies|Preschool Toys & Pretend Play|Brio",2
13844,"Collectibles|Disneyana|Contemporary (1968-Now)|Paper, Notepads",2
152934,"Toys & Hobbies|Diecast & Toy Vehicles|Construction Equipment|Contemporary Manufacture",2
32885,"Home & Garden|Kitchen, Dining & Bar|Baking Accs. & Cake Decorating|Rolling Pins",2
183125,"Crafts|Multi-Purpose Craft Supplies|Adhesives & Tape|Other Adhesives & Tape",2
183133,"Crafts|Leathercrafts|Leathercraft Tools|Hammer & Mallets",2
145993,"Toys & Hobbies|Outdoor Toys & Structures|Sand & Water Toys|Water Toys",2
181040,"Home & Garden|Yard, Garden & Outdoor Living|Weed & Pest Control|Insect & Grub Control|Insect Zappers",2
260134,"Home & Garden|Household Supplies & Cleaning|Laundry Supplies|Detergents, Softeners & Stain Removers",2
39730,"Collectibles|Tools, Hardware & Locks|Tools|Carpentry, Woodworking|Hammers",2
115280,"Sporting Goods|Golf|Golf Clubs & Equipment|Golf Clubs",2
29577,"Sporting Goods|Water Sports|Scuba & Snorkeling|Knives",2
52509,"Sporting Goods|Hunting|Hunting Accessories|Other Hunting Accessories",2
3628,"Collectibles|Pez, Keychains, Promo Glasses|Keychains|Modern (1970-Now)",2
180998,"Home & Garden|Yard, Garden & Outdoor Living|Garden Structures & Shade|Umbrellas",2
33089,"Home & Garden|Tools & Workshop Equipment|Tool Boxes & Storage|Tool Boxes",2
20695,"Home & Garden|Kitchen, Dining & Bar|Dinnerware & Serveware|Mugs",2
87089,"Sporting Goods|Water Sports|Kayaking, Canoeing & Rafting|Accessories",2
181959,"Business & Industrial|Test, Measurement & Inspection|Leads & Probes|Multimeter Test Leads",2
10034,"Home & Garden|Home Décor|Other Home Décor",1
112601,"Home & Garden|Home Improvement|Home Security|Safes",1
31387,"Jewelry & Watches|Watches, Parts & Accessories|Watches|Wristwatches",1
179791,"Sporting Goods|Boxing, Martial Arts & MMA|Training Equipment & Supplies|Other Combat Sport Training",1
175750,"Home & Garden|Bedding|Blankets & Throws",1
178968,"Home & Garden|Tools & Workshop Equipment|Measuring & Layout Tools|Chalk Lines & Marking Tools",1
83982,"Crafts|Multi-Purpose Craft Supplies|Crafting Tools|Cutting Tools|Craft Knives & Blades",1
177887,"Sporting Goods|Hunting|Range & Shooting Equipment|Benches & Rests",1
180927,"Crafts|Sewing|Closures & Connectors|Hook & Loop Tape",1
45452,"Baby|Bathing & Grooming|Health & Grooming",1
88433,"Everything Else|Every Other Thing",1
177907,"Sporting Goods|Hunting|Range & Shooting Equipment|Other Range & Shooting Equipment",1
158439,"Collectibles|Militaria|Surplus|Personal, Field Gear|Dog Tags",1
183235,"Crafts|Scrapbooking & Paper Crafts|Scrapbooking|Scrapbooking Tools|Paper Trimmers",1
112581,"Home & Garden|Lamps, Lighting & Ceiling Fans|Lamps",1
181412,"Sporting Goods|Camping & Hiking|Outdoor Survival Gear|Emergency Blankets",1
107956,"Health & Beauty|Makeup|Makeup Sets & Kits",1
139864,"Home & Garden|Yard, Garden & Outdoor Living|Garden Clothing & Protective Gear|Gardening Gloves & Knee Pads",1
37574,"Crafts|Home Arts & Crafts|Framing & Matting|Mat Cutting Tools & Supplies",1
51169,"Computers/Tablets & Networking|Computer Cables & Connectors|Cabling Tools",1
20638,"Home & Garden|Kitchen, Dining & Bar|Flatware, Knives & Cutlery|Knife Blocks & Storage",1
21231,"Sporting Goods|Winter Sports|Skiing, Snowboarding & Snowshoeing|Accessories|Racks & Carriers",1
82599,"Health & Beauty|Makeup|Makeup Tools & Accessories|Eyelash Tools",1
183394,"Home & Garden|Yard, Garden & Outdoor Living|Outdoor Lighting|String Lights",1
111261,"Sporting Goods|Camping & Hiking|Outdoor Sleeping Gear|Blankets, Liners & Pillows",1
165638,"Collectibles|Pens & Writing Instruments|Pens|Ballpoint Pens|Handmade Pens",1
42632,"Home & Garden|Tools & Workshop Equipment|Measuring & Layout Tools|Other Measuring & Layout Tools",1
41369,"Crafts|Home Arts & Crafts|Metalworking",1
170626,"Home & Garden|Household Supplies & Cleaning|Laundry Supplies|Lint Removers",1
145943,"Toys & Hobbies|Electronic, Battery & Wind-Up|Battery Operated|1990-Now|Radios, Musical Toys",1
181407,"Sporting Goods|Camping & Hiking|Water Bottles & Hydration|Portable Water Filters",1
258334,"Business & Industrial|CNC, Metalworking & Manufacturing|Woodworking Supplies|Carving Tools & Chisels|Chisels",1
72667,"Sporting Goods|Fishing|Fishing Equipment|Scales",1
257817,"Business & Industrial|Healthcare, Lab & Dental|Medical, Lab & Dental Supplies|Diagnostic Penlights",1
102954,"Home & Garden|School Supplies|Stamps & Stickers",1
183100,"Crafts|Art Supplies|Painting Supplies|Painting Tools & Accessories|Painting Stencils",1
177006,"Home & Garden|Kitchen, Dining & Bar|Kitchen Storage & Organization|Vacuum Flasks & Mugs",1
11662,"Collectibles|Kitchen & Home|Kitchen Tools & Gadgets|Graters & Zesters",1
36345,"Business & Industrial|CNC, Metalworking & Manufacturing|Workholding & Toolholding|Workholding|Other Workholding",1
182183,"Toys & Hobbies|Radio Control & Control Line|RC Model Vehicles & Kits|Cars, Trucks & Motorcycles",1
20561,"Home & Garden|Home Décor|Clocks|Wall Clocks",1
51023,"Toys & Hobbies|Wholesale Lots|Diecast Toy Vehicles",1
134765,"Crafts|Beads & Jewelry Making|Beading & Jewelry Making Tools|Jewelry Pliers & Shears",1
67678,"Health & Beauty|Vision Care|Low Vision Magnifiers",1
79619,"Home & Garden|Kids & Teens at Home|Bedding|Sheets",1
102950,"Home & Garden|School Supplies|Notebooks & Binders",1
160677,"Crafts|Home Arts & Crafts|Woodworking|Wood Carving Hand Tools",1
183936,"Business & Industrial|Fasteners & Hardware|Fastening Pins|Hairpin & Straight Cotter Pins",1
11737,"Toys & Hobbies|Educational|Science & Nature|Other Science & Nature Toys",1
260330,"Jewelry & Watches|Watches, Parts & Accessories|Watch Accessories|Boxes & Cases",1
258289,"Business & Industrial|CNC, Metalworking & Manufacturing|Semiconductor & PCB Manufacturing Equipment|Semiconductor Test & Assembly Equipment|Testing Equipment",1
475,"Collectibles|Knives, Swords & Blades|Other Collectible Blades",1
19100,"Toys & Hobbies|Games|Board & Traditional Games|Vintage Manufacture",1
117386,"Baby|Feeding|Cups, Dishes & Utensils|Feeding Sets",1
87125,"Sporting Goods|Camping & Hiking|Hiking Backpacks|Hydration Packs",1
29464,"Collectibles|Cultures & Ethnicities|Western Americana|Belt Buckles",1
183696,"Crafts|Beads & Jewelry Making|Beading & Jewelry Making Tools|Jewelry Punches & Stamps",1
183145,"Crafts|Leathercrafts|Leather Treatments & Paints|Polishing & Creasing Tools",1
53152,"Business & Industrial|Facility Maintenance & Safety|Personal Protective Equipment (PPE)|Ear Plugs & Ear Muffs|Ear Plugs",1
65976,"Sporting Goods|Fishing|Clothing, Shoes & Accessories|Coats, Jackets & Vests",1
11742,"Toys & Hobbies|Outdoor Toys & Structures|Other Outdoor Toys, Structures",1
75235,"Sporting Goods|Camping & Hiking|Camping Knives & Tools|Camping Knives",1
261974,"Jewelry & Watches|Children's Jewelry|Bracelets & Charms",1
145939,"Toys & Hobbies|Educational|Reading & Writing|Grade School",1
87122,"Sporting Goods|Camping & Hiking|Hiking Backpacks|Daypacks",1
262378,"Pottery & Glass|Decorative Cookware, Dinnerware & Serveware|Mugs",1
124821,"Business & Industrial|CNC, Metalworking & Manufacturing|Welding & Soldering Equipment|Soldering/Desoldering Equipment & Accessories|Solder & Soldering Consumables|Solder",1
257906,"Business & Industrial|Office|Office Supplies|Pens, Pencils & Markers|Ballpoint & Rollerball Pens",1
16038,"Sporting Goods|Camping & Hiking|Camping Furniture",1
27414,"Sporting Goods|Fishing|Fishing Equipment|Other Fishing Equipment",1
129609,"Home & Garden|Household Supplies & Cleaning|Cleaning Tools|Sponges & Scourers",1
180940,"Health & Beauty|Health Care|Ear Care|Ear Plugs",1
158951,"Sporting Goods|Fitness, Running & Yoga|Clothing & Accessories|Safety & Reflective Gear",1
134568,"Crafts|Kids' Crafts|Craft Books",1
