category_id,category_path,listing_count,upc_support,ean_support,isbn_support
109514,"Business & Industrial|Facility Maintenance & Safety|Public Safety Staff Equipment|Police & Turnout Gear|Police & Security Handcuffs",3,ENABLED,DISABLED,DISABLED
2996,"Clothing, Shoes & Accessories|Men|Men's Accessories|Wallets",3,ENABLED,DISABLED,DISABLED
28109,"Crafts|Art Supplies|Drawing & Lettering Supplies|Art Pens & Markers",3,ENABLED,DISABLED,DISABLED
19171,"Toys & Hobbies|Preschool Toys & Pretend Play|Dishes, Tea Sets",3,ENABLED,DISABLED,DISABLED
1187,"Toys & Hobbies|Robots, Monsters & Space Toys|Space Toys|1970-Now",3,ENABLED,DISABLED,DISABLED
52357,"Clothing, Shoes & Accessories|Men|Men's Accessories|Bags",3,ENABLED,DISABLED,DISABLED
183319,"Crafts|Sculpting, Molding & Ceramics|Other Sculpting Supplies",3,ENABLED,DISABLED,DISABLED
50602,"Consumer Electronics|Multipurpose Batteries & Power|Single Use Batteries",3,ENABLED,DISABLED,DISABLED
65965,"Sporting Goods|Camping & Hiking|Outdoor Survival Gear|Insect Nets",3,ENABLED,DISABLED,DISABLED
63505,"Home & Garden|Kitchen, Dining & Bar|Bar Tools & Accessories|Flasks",3,ENABLED,DISABLED,DISABLED
168867,"Sporting Goods|Camping & Hiking|Flashlights, Lanterns & Lights|Lanterns",3,ENABLED,DISABLED,DISABLED
75234,"Sporting Goods|Camping & Hiking|Camping Knives & Tools|Camping Hatchets & Axes",3,ENABLED,DISABLED,DISABLED
52509,"Sporting Goods|Hunting|Hunting Accessories|Other Hunting Accessories",2,ENABLED,DISABLED,DISABLED
71482,"Business & Industrial|Retail & Services|Security & Surveillance|Other Retail Security",2,ENABLED,DISABLED,DISABLED
33089,"Home & Garden|Tools & Workshop Equipment|Tool Boxes & Storage|Tool Boxes",2,ENABLED,DISABLED,DISABLED
111292,"Sporting Goods|Hunting|Range & Shooting Equipment|Clay Target Shooting",2,ENABLED,DISABLED,DISABLED
260134,"Home & Garden|Household Supplies & Cleaning|Laundry Supplies|Detergents, Softeners & Stain Removers",2,ENABLED,DISABLED,DISABLED
25846,"Home & Garden|Kitchen, Dining & Bar|Bakeware|Other Bakeware & Ovenware",2,ENABLED,DISABLED,DISABLED
156462,"Collectibles|Militaria|Current Militaria (2001-Now)|Original Items|Personal, Field Gear|Dog Tags",2,DISABLED,DISABLED,DISABLED
52510,"Sporting Goods|Hunting|Scopes, Optics & Lasers|Scope Mounts & Accessories",2,ENABLED,DISABLED,DISABLED
16507,"Crafts|Stamping & Embossing|Tools & Equipment",2,ENABLED,DISABLED,DISABLED
16040,"Sporting Goods|Camping & Hiking|Outdoor Sleeping Gear|Other Outdoor Sleeping Gear",2,REQUIRED,DISABLED,DISABLED
83893,"Crafts|Beads & Jewelry Making|Bead Storage & Jewelry Display",2,REQUIRED,DISABLED,DISABLED
102951,"Home & Garden|School Supplies|Markers & Crayons",2,REQUIRED,DISABLED,DISABLED
