"sku","parent.sku","name","age_range_description_amazon","blade_material_type_amazon","capacity_amazon","character","character_amazon","fabriccareinstruction_walmart","handle_material_amazon","item_shape_amazon","model_name_amazon","number_of_items_amazon","occasion_type_amazon","occasion_walmart","pattern_name_amazon","power_source_type_amazon","recommendeduse_walmart","shape_walmart","style","style_amazon","theme_amazon","theme_walmart","type_of_tool","voltage_amazon"
"MCN-GASG1OZGRT-1OZT-CLR-2PK","MCN-SEAMGRIPWP-PARENT","GEAR AID Seam Grip WP Waterproof Sealant and Adhesive for Tents and Outdoor Fabric, Clear, 1 oz","","","","","","","","","","","","","","","","","","","","","",""
"MCN-GASG1OZGRT-1OZT-CLR-3PK","MCN-SEAMGRIPWP-PARENT","GEAR AID Seam Grip WP Waterproof Sealant and Adhesive for Tents and Outdoor Fabric, Clear, 1 oz, 3-pk","","","","","","","","","","","","","","","","","","","","","",""
"MCN-GATTMCFSTP-2PC-3X5-CLR","MCN-GATTMCFSTP-2PC-3X5-CLR-PARENT","GEAR AID Tenacious Tape Flex Patches for Vinyl and Fabric Repair, Clear, two 3"" x 5"" Patches","","","","","","","","","","","","","","","","","","","","","",""
"MCN-GATTMCFSTP-2PC-3X5-CLR-2PK","MCN-GATTMCFSTP-2PC-3X5-CLR-PARENT","GEAR AID Tenacious Tape Flex Patches for Vinyl and Fabric Repair, Clear, two 3"" x 5"" Patches, 2-pk","","","","","","","","","","","","","","","","","","","","","",""
"MCN-GATTMCFSTP-2PC-3X5-CLR-WAL-RVW","MCN-GATTMCFSTP-2PC-3X5-CLR-PARENT","GEAR AID Tenacious Tape Flex Patches for Vinyl and Fabric Repair, Clear, two 3"" x 5"" Patches","Adult","","","","","","","","","","","","","","patches. repairs, holes, rips, outdoors equiptment","","","","","Outdoor, Camping, Hiking","",""
"MCN-GATTMCFSTP-SQUIRRL","MCN-TENTAPE-GEARPATCHES-PARENT","GEAR AID Tenacious Tape Gear Patches for Jacket, Tent and Outerwear Repair, Camping, 3""x20""","","","","","","","","","","","","","","","","","","","","","",""
"MCN-GATTMCFSTP-SQUIRRL-2PK","MCN-TENTAPE-GEARPATCHES-PARENT","GEAR AID Tenacious Tape Gear Patches for Jacket, Tent and Outerwear Repair, Camping, 3""x20"", 2-pk","","","","","","","","","","","","","","","","","","","","","",""
"MCN-IMFRKSDWR-3PC-10X6-BLCK","MCN-IMFRKSDWR-3PC-10X6-BLCK-PARENT","GEAR AID Wetsuit Repair Kits with Iron-On Neoprene Patch, Fix Seams and Tears","","","","","","","","","","","","","","","","","","","","","",""
"MCN-IMFRKSDWR-3PC-10X6-BLCK-2PK","MCN-IMFRKSDWR-3PC-10X6-BLCK-PARENT","GEAR AID Wetsuit Repair Kit with Iron-On Neoprene Patch, Fix Seams and Tears, 2-pk","","","","","","","","","","","","","","","","","","","","","",""
"MCN-MGAA8OZWGRA-8OZ-CLR","MCN-AQUASEAL-PARENT","GEAR AID Aquaseal FD Flexible Repair Adhesive for Outdoor Gear and Vinyl, Clear Glue, 8 oz","Adult","","","","","","","","","","","","","manual","Camping, Gear Repair, Outdoor","","8 Ounce","8 oz","","","",""
"MCN-MGAA8OZWGRA-8OZ-CLR-AMZN-HVAR","MCN-AQUASEAL-PARENT","Gear Aid Aquaseal Aquaseal FD Flexible Durable Repair Adhesive - 8oz","Adult","","","","","","","","","","","","","","Camping, Gear Repair, Outdoor","","8 Ounce","8 Ounce","","","",""
"MCN-MTCARTRC-5FT-CLR","MCN-MTCARTRC-5FT-CLR-PARENT","GEAR AID Tenacious Tape Repair and Seam Tape for Tents and Vinyl, Clear Roll, 1.5""x 60""","","","","","","","","","","","","","","","","","","","","","",""
"MCN-MGATSPWS-S-CLR","MCN-SEAMGRIP-TF-PARENT","GEAR AID Seam Grip TF Tent Fabric Sealer for Waterproofing, Clear, 4 fl oz","","","","","","","","","","","","","","","","","","","","","",""
"MCN-MGATSPWS-S-CLR-2PK","MCN-SEAMGRIP-TF-PARENT","GEAR AID Seam Grip TF Tent Fabric Sealer for Waterproofing, Clear, 4 fl oz, 2-pk","","","","","","","","","","","","","","","","","","","","","",""
"MCN-MGATTWP-STD-BLCK-2","MCN-TENTAPE-GEARPATCHES-PARENT","GEAR AID Tenacious Tape Gear Patches for Jacket, Tent and Outerwear Repair, 3""x20"", Wildlife, 3""x20""","","","","","","","","","","","","","","","","","","","","","",""
"MCN-MGATTWP-STD-BLCK-2PK","MCN-TENTAPE-GEARPATCHES-PARENT","GEAR AID Tenacious Tape Gear Patches for Jacket, Tent and Outerwear Repair, 3""x20"", Wildlife, 3""x20"", 2-pk","","","","","","","","","","","","","","","","","","","","","",""
"MCN-MINIPATCH-CLR-AMZN","MCN-TTAPEREPAIRPATCHES-AMZ-PARENT","GEAR AID Tenacious Tape Mini Patches to Repair Jackets, Tents and Rain Gear, Clear, 1.5""x2.5""","","","","","","","","","","","","","","","","","","","","","",""
"MCN-MINIPATCH-CLR-AMZN-2PK","MCN-TTAPEREPAIRPATCHES-AMZ-PARENT","GEAR AID 2-Pack Tenacious Tape Mini Patches to Repair Jackets, Tents and Rain Gear, Clear","","","","","","","","","","","","","","","","","","","","","",""
"MCN-MINIPATCH-CLR-AMZN-2PK-LH","MCN-TTAPEREPAIRPATCHES-AMZ-PARENT","GEAR AID 2-Pack Tenacious Tape Mini Patches to Repair Jackets, Tents and Rain Gear, Clear","","","","","","","","","","","","","","","","","","","","","",""
"MCN-MINIPATCH-CLRBLK-AMZN","MCN-TTAPEREPAIRPATCHES-AMZ-PARENT","GEAR AID Tenacious Tape Mini Patches to Repair Jackets, Tents and Rain Gear, Black and Clear, 1.5""x2.5""","","","","","","","","","","","","","","","","","","","","","",""
"MCN-MINIPATCH-CLRBLK-AMZN-2PK","MCN-TTAPEREPAIRPATCHES-AMZ-PARENT","GEAR AID 2-Pack Tenacious Tape Mini Patches to Repair Jackets, Tents and Rain Gear, Black and Clear","","","","","","","","","","","","","","","","","","","","","",""
"MCN-MINITAPE-PATCHES-BLK-AMZN","MCN-TTAPEREPAIRPATCHES-AMZ-PARENT","GEAR AID Tenacious Tape Mini Patches to Repair Jackets, Tents and Rain Gear, Black, 1.5""x2.5""","","","","","","","","","","","","","","","","","","","","","",""
"MCN-MINITAPE-PATCHES-BLK-AMZN-2PK","MCN-TTAPEREPAIRPATCHES-AMZ-PARENT","GEAR AID 2-Pack Tenacious Tape Mini Patches to Repair Jackets, Tents and Rain Gear, Black","","","","","","","","","","","","","","","","","","","","","",""
"MCN-MINITAPE-PATCHES-BLK-AMZN-2PK-LH","MCN-TTAPEREPAIRPATCHES-AMZ-PARENT","GEAR AID 2-Pack Tenacious Tape Mini Patches to Repair Jackets, Tents and Rain Gear, Black","","","","","","","","","","","","","","","","","","","","","",""
"MCN-MINITAPE-PATCHES-BLK-AMZN-LH","MCN-TTAPEREPAIRPATCHES-AMZ-PARENT","GEAR AID Tenacious Tape Mini Patches to Repair Jackets, Tents and Rain Gear, Black, 1.5""x2.5""","","","","","","","","","","","","","","","","","","","","","",""
"MCN-MPCLAWFHAOSE-SML-PNK-2","MCN-CAMOFORM-EBAY2-PARENT","Gear Aid Pink Camo Lightweight Adhesive Wrap Hunting Outdoor Equipment","","","","","","","","","","","","","","","","","","","","","",""
"MCN-MTCARTRC-5FT-CLR-2PK","MCN-MTCARTRC-5FT-CLR-PARENT","GEAR AID Tenacious Tape Repair and Seam Tape for Tents and Vinyl, Clear Roll, 1.5""x 60"", 2-Pk","","","","","","","","","","","","","","","","","","","","","",""
"MCN-SEAGB-COMBO-KIT-AMZVAR-HPR","MCN-SEAGLD-AMZN-PARENT","Sea Gold Anti Fog Gel and Sea Buff Dive Mask Precleaner Combo Pack","","","","","","","","","","","","","","","","","","","","","",""
"MCN-SEAGOLDGEL-2PK-AMZN-HPNR","MCN-SEAGLD-AMZN-PARENT","GEAR AID Sea Gold Anti-Fog Gel Coating for SCUBA Dive Masks, 1.25 fl oz, 2-pk","Adult","","","","","","","","","","","","","","Camping, Gear Repair, Outdoor","","","1.25 fl oz - 2 Pack","","","",""
"MCN-SEAGOLDGEL-AMZN-HPNR","MCN-SEAGLD-AMZN-PARENT","GEAR AID Sea Gold Anti-Fog Gel Coating for SCUBA Dive Masks, 1.25 fl oz","Adult","","","","","","","","","","","","","","Camping, Gear Repair, Outdoor","","","1.25 fl oz","","","",""
"MCN-SGFRKFGA-SML-2PK","MCN-SEAMGRIP-REPAIRKIT-PARENT","GEAR AID Seam Grip WP Field Repair Kit for Tents and Outdoor Gear, Clear, 0.25 oz, 2-pk","Adult","","","","","","","","","","","","","","Camping, Gear Repair, Outdoor","","","0.25 oz - 2 Pack","","","",""
"MCN-TTAPEOUTDOOR-BLK","MCN-TENTAPE-GEARPATCHES-PARENT","GEAR AID Tenacious Tape Gear Patches for Jacket, Tent and Outerwear Repair, Outdoor, 3""x20""","Adult","","","","","","","","","","","","","","Camping, Gear Repair, Outdoor","","","Outdoor Patches","","Outdoor, Camping, Hiking","",""
"MCN-TTAPEOUTDOOR-BLK-2PK","MCN-TENTAPE-GEARPATCHES-PARENT","GEAR AID Tenacious Tape Gear Patches for Jacket, Tent and Outerwear Repair, Outdoor, 3""x20"", 2-pk","Adult","","","","","","","","","","","","","","Camping, Gear Repair, Outdoor","","","Outdoor Patches - 2 Pack","","","",""
"MCN-TTAPE-SILNYLON-3X5","MCN-TTAPE-SILNYLON-3X5-PARENT","GEAR AID Tenacious Tape Silnylon Patches for Silicone Tent and Tarp Repair, 3""x5""","","","","","","","","","","","","","","","","","","","","","",""
"MCN-TTAPE-SILNYLON-3X5-2PK","MCN-TTAPE-SILNYLON-3X5-PARENT","GEAR AID Tenacious Tape Silnylon Patches for Silicone Tent and Tarp Repair, 2-pk","","","","","","","","","","","","","","","","","","","","","",""
"SON-15X15SLPB-100PC-15X15-CLR","SON-100PKZIPLOCKBAG-PARENT","Self Locking Plastic Bag All Purpose Storage Baggies - 100 Pack 1.5 x 1.5 Inches","Adult","","","","","","","","","","","","","","storage, beading, art, organizer, hobby","","","","","","",""
"SON-2X2SLPB-100PC-2X2-CLR","SON-100PKZIPLOCKBAG-PARENT","Self Locking Plastic Bags All Purpose Storage Baggies 100 pack - 2 x 2 Inches","Adult","","","","","","","","","","","","","","storage, beading, art, organizer, hobby","","","","","","",""
